"Condition","Cell_Type","Mean","SD"
"AChR_MG","B cells",13.9941426408608,4.81675392447647
"AChR_MG","Basophils",0.403020767776349,0.250704988187205
"AChR_MG","CD4+ T cells",29.0084713726588,6.09609587140609
"AChR_MG","CD8+ T cells",3.49627701106106,2.52153557031968
"AChR_MG","Dendritic cells",1.02445847695467,0.273175295105256
"AChR_MG","Monocytes",21.2900658826408,6.78953043130873
"AChR_MG","NK cells",17.6110238161923,8.14128158291303
"AChR_MG","Neutrophils",1.1427750473537,1.42191865352638
"AChR_MG","Progenitors",0.0962867234120041,0.0585793885022618
"AChR_MG","T cells",11.9334782610896,4.55398519391972
"Healthy","B cells",11.5002021630708,3.64164889253064
"Healthy","Basophils",0.396973071869234,0.378431847025746
"Healthy","CD4+ T cells",31.3276834639599,7.634184392197
"Healthy","CD8+ T cells",7.88002210322342,4.87626828521844
"Healthy","Dendritic cells",0.982878280457775,0.398970602020997
"Healthy","Monocytes",17.8994557609511,4.80670929567751
"Healthy","NK cells",15.0414782228803,8.00239859138671
"Healthy","Neutrophils",0.704266789430074,0.973710574461997
"Healthy","Progenitors",0.0550750073083353,0.0267335035621544
"Healthy","T cells",14.2119651368492,6.80211427681859
"SNMG_Post","B cells",7.72929793855971,4.54699574630342
"SNMG_Post","Basophils",0.428357734586404,0.34174096553793
"SNMG_Post","CD4+ T cells",27.4126571353307,12.592891974783
"SNMG_Post","CD8+ T cells",4.53924880168976,2.8222044578099
"SNMG_Post","Dendritic cells",0.731280849778617,0.296706554307695
"SNMG_Post","Monocytes",23.3302235767849,7.17826691672159
"SNMG_Post","NK cells",19.4176775480549,11.1226973459243
"SNMG_Post","Neutrophils",2.4186106007407,4.0078049058777
"SNMG_Post","Progenitors",0.120234560481997,0.0944759283139484
"SNMG_Post","T cells",14.3561333741404,5.98833976218667
"SNMG_Pre","B cells",8.30158265062298,5.37234541750885
"SNMG_Pre","Basophils",0.364923586645947,0.246231902708622
"SNMG_Pre","CD4+ T cells",27.7100533420769,10.2837856629628
"SNMG_Pre","CD8+ T cells",3.95380947009956,3.36296406691044
"SNMG_Pre","Dendritic cells",0.7218434154757,0.210092858879222
"SNMG_Pre","Monocytes",23.366981570451,6.5587795241011
"SNMG_Pre","NK cells",22.9194507162679,9.28289283184763
"SNMG_Pre","Neutrophils",0.898527410528286,1.13000054492943
"SNMG_Pre","Progenitors",0.126185871065998,0.0781256560420187
"SNMG_Pre","T cells",11.9960529309771,6.79269207859137
