"Sample","Condition","Cell_Type","n"
"A1","AChR_MG","B cells",1145
"A1","AChR_MG","Basophils",25
"A1","AChR_MG","CD4+ T cells",2141
"A1","AChR_MG","CD8+ T cells",185
"A1","AChR_MG","Dendritic cells",37
"A1","AChR_MG","Monocytes",1146
"A1","AChR_MG","NK cells",484
"A1","AChR_MG","Neutrophils",20
"A1","AChR_MG","Progenitors",8
"A1","AChR_MG","T cells",269
"A10","AChR_MG","B cells",1524
"A10","AChR_MG","Basophils",115
"A10","AChR_MG","CD4+ T cells",3369
"A10","AChR_MG","CD8+ T cells",526
"A10","AChR_MG","Dendritic cells",127
"A10","AChR_MG","Monocytes",2363
"A10","AChR_MG","NK cells",2749
"A10","AChR_MG","Neutrophils",551
"A10","AChR_MG","Progenitors",17
"A10","AChR_MG","T cells",1698
"A2","AChR_MG","B cells",1189
"A2","AChR_MG","Basophils",22
"A2","AChR_MG","CD4+ T cells",2103
"A2","AChR_MG","CD8+ T cells",335
"A2","AChR_MG","Dendritic cells",95
"A2","AChR_MG","Monocytes",2776
"A2","AChR_MG","NK cells",585
"A2","AChR_MG","Neutrophils",88
"A2","AChR_MG","Progenitors",5
"A2","AChR_MG","T cells",512
"A3","AChR_MG","B cells",1446
"A3","AChR_MG","Basophils",6
"A3","AChR_MG","CD4+ T cells",2739
"A3","AChR_MG","CD8+ T cells",142
"A3","AChR_MG","Dendritic cells",83
"A3","AChR_MG","Monocytes",1950
"A3","AChR_MG","NK cells",1085
"A3","AChR_MG","Neutrophils",30
"A3","AChR_MG","Progenitors",2
"A3","AChR_MG","T cells",823
"A4","AChR_MG","B cells",1156
"A4","AChR_MG","Basophils",68
"A4","AChR_MG","CD4+ T cells",1536
"A4","AChR_MG","CD8+ T cells",173
"A4","AChR_MG","Dendritic cells",152
"A4","AChR_MG","Monocytes",2865
"A4","AChR_MG","NK cells",1859
"A4","AChR_MG","Neutrophils",213
"A4","AChR_MG","Progenitors",3
"A4","AChR_MG","T cells",1946
"A5","AChR_MG","B cells",1701
"A5","AChR_MG","Basophils",23
"A5","AChR_MG","CD4+ T cells",3425
"A5","AChR_MG","CD8+ T cells",156
"A5","AChR_MG","Dendritic cells",128
"A5","AChR_MG","Monocytes",2533
"A5","AChR_MG","NK cells",2399
"A5","AChR_MG","Neutrophils",3
"A5","AChR_MG","Progenitors",14
"A5","AChR_MG","T cells",1894
"A6","AChR_MG","B cells",2662
"A6","AChR_MG","Basophils",60
"A6","AChR_MG","CD4+ T cells",3994
"A6","AChR_MG","CD8+ T cells",360
"A6","AChR_MG","Dendritic cells",135
"A6","AChR_MG","Monocytes",2452
"A6","AChR_MG","NK cells",1924
"A6","AChR_MG","Neutrophils",4
"A6","AChR_MG","Progenitors",24
"A6","AChR_MG","T cells",1298
"A7","AChR_MG","B cells",551
"A7","AChR_MG","Basophils",24
"A7","AChR_MG","CD4+ T cells",2953
"A7","AChR_MG","CD8+ T cells",145
"A7","AChR_MG","Dendritic cells",56
"A7","AChR_MG","Monocytes",1911
"A7","AChR_MG","NK cells",3441
"A7","AChR_MG","Neutrophils",277
"A7","AChR_MG","Progenitors",2
"A7","AChR_MG","T cells",1030
"A8","AChR_MG","B cells",1173
"A8","AChR_MG","Basophils",63
"A8","AChR_MG","CD4+ T cells",3458
"A8","AChR_MG","CD8+ T cells",528
"A8","AChR_MG","Dendritic cells",134
"A8","AChR_MG","Monocytes",1509
"A8","AChR_MG","NK cells",3192
