"Sample","Condition","Cell_Type","n","Percentage"
"A1","AChR_MG","B cells",1145,20.970695970696
"A1","AChR_MG","Basophils",25,0.457875457875458
"A1","AChR_MG","CD4+ T cells",2141,39.2124542124542
"A1","AChR_MG","CD8+ T cells",185,3.38827838827839
"A1","AChR_MG","Dendritic cells",37,0.677655677655678
"A1","AChR_MG","Monocytes",1146,20.989010989011
"A1","AChR_MG","NK cells",484,8.86446886446886
"A1","AChR_MG","Neutrophils",20,0.366300366300366
"A1","AChR_MG","Progenitors",8,0.146520146520147
"A1","AChR_MG","T cells",269,4.92673992673993
"A10","AChR_MG","B cells",1524,11.6880128844237
"A10","AChR_MG","Basophils",115,0.881969476186824
"A10","AChR_MG","CD4+ T cells",3369,25.8378710023775
"A10","AChR_MG","CD8+ T cells",526,4.0340516910806
"A10","AChR_MG","Dendritic cells",127,0.974001073701971
"A10","AChR_MG","Monocytes",2363,18.122555410691
"A10","AChR_MG","NK cells",2749,21.0829051307616
"A10","AChR_MG","Neutrophils",551,4.22578418590383
"A10","AChR_MG","Progenitors",17,0.130378096479791
"A10","AChR_MG","T cells",1698,13.0224710483933
"A2","AChR_MG","B cells",1189,15.4215304798962
"A2","AChR_MG","Basophils",22,0.285343709468223
"A2","AChR_MG","CD4+ T cells",2103,27.2762645914397
"A2","AChR_MG","CD8+ T cells",335,4.34500648508431
"A2","AChR_MG","Dendritic cells",95,1.23216601815824
"A2","AChR_MG","Monocytes",2776,36.0051880674449
"A2","AChR_MG","NK cells",585,7.5875486381323
"A2","AChR_MG","Neutrophils",88,1.14137483787289
"A2","AChR_MG","Progenitors",5,0.0648508430609598
"A2","AChR_MG","T cells",512,6.64072632944228
"A3","AChR_MG","B cells",1446,17.4091018540814
"A3","AChR_MG","Basophils",6,0.0722369371538647
"A3","AChR_MG","CD4+ T cells",2739,32.9761618107392
"A3","AChR_MG","CD8+ T cells",142,1.70960751264146
"A3","AChR_MG","Dendritic cells",83,0.999277630628461
"A3","AChR_MG","Monocytes",1950,23.477004575006
"A3","AChR_MG","NK cells",1085,13.0628461353239
"A3","AChR_MG","Neutrophils",30,0.361184685769323
"A3","AChR_MG","Progenitors",2,0.0240789790512882
"A3","AChR_MG","T cells",823,9.90849987960511
"A4","AChR_MG","B cells",1156,11.5936215023568
"A4","AChR_MG","Basophils",68,0.681977735432755
"A4","AChR_MG","CD4+ T cells",1536,15.4046735533046
"A4","AChR_MG","CD8+ T cells",173,1.73503159161569
"A4","AChR_MG","Dendritic cells",152,1.5244208203791
"A4","AChR_MG","Monocytes",2865,28.7333266472771
"A4","AChR_MG","NK cells",1859,18.6440677966102
"A4","AChR_MG","Neutrophils",213,2.13619496539966
"A4","AChR_MG","Progenitors",3,0.030087253033798
"A4","AChR_MG","T cells",1946,19.5165981345903
"A5","AChR_MG","B cells",1701,13.8563049853372
"A5","AChR_MG","Basophils",23,0.187357445421962
"A5","AChR_MG","CD4+ T cells",3425,27.8999674160964
"A5","AChR_MG","CD8+ T cells",156,1.27077223851417
"A5","AChR_MG","Dendritic cells",128,1.04268491365266
"A5","AChR_MG","Monocytes",2533,20.6337569240795
"A5","AChR_MG","NK cells",2399,19.5421961550994
"A5","AChR_MG","Neutrophils",3,0.0244379276637341
"A5","AChR_MG","Progenitors",14,0.114043662430759
"A5","AChR_MG","T cells",1894,15.4284783317041
"A6","AChR_MG","B cells",2662,20.6148842251994
"A6","AChR_MG","Basophils",60,0.464648029117943
"A6","AChR_MG","CD4+ T cells",3994,30.9300704716177
"A6","AChR_MG","CD8+ T cells",360,2.78788817470766
"A6","AChR_MG","Dendritic cells",135,1.04545806551537
"A6","AChR_MG","Monocytes",2452,18.9886161232866
"A6","AChR_MG","NK cells",1924,14.8997134670487
"A6","AChR_MG","Neutrophils",4,0.0309765352745295
"A6","AChR_MG","Progenitors",24,0.185859211647177
"A6","AChR_MG","T cells",1298,10.0518856965848
"A7","AChR_MG","B cells",551,5.30317613089509
"A7","AChR_MG","Basophils",24,0.230991337824832
"A7","AChR_MG","CD4+ T cells",2953,28.4215591915303
"A7","AChR_MG","CD8+ T cells",145,1.39557266602502
"A7","AChR_MG","Dendritic cells",56,0.53897978825794
"A7","AChR_MG","Monocytes",1911,18.3926852743022
"A7","AChR_MG","NK cells",3441,33.1183830606352
"A7","AChR_MG","Neutrophils",277,2.6660250240616
"A7","AChR_MG","Progenitors",2,0.0192492781520693
"A7","AChR_MG","T cells",1030,9.91337824831569
"A8","AChR_MG","B cells",1173,10.1374124967591
"A8","AChR_MG","Basophils",63,0.544464609800363
"A8","AChR_MG","CD4+ T cells",3458,29.8850574712644
"A8","AChR_MG","CD8+ T cells",528,4.56313196785066
"A8","AChR_MG","Dendritic cells",134,1.15806758274998
"A8","AChR_MG","Monocytes",1509,13.0412237490277
"A8","AChR_MG","NK cells",3192,27.5862068965517
"A8","AChR_MG","Neutrophils",10,0.0864229539365656
"A8","AChR_MG","Progenitors",12,0.103707544723879
"A8","AChR_MG","T cells",1492,12.8943047273356
"A9","AChR_MG","B cells",1797,12.9466858789625
"A9","AChR_MG","Basophils",31,0.223342939481268
"A9","AChR_MG","CD4+ T cells",4475,32.2406340057637
"A9","AChR_MG","CD8+ T cells",1351,9.73342939481268
"A9","AChR_MG","Dendritic cells",146,1.05187319884726
"A9","AChR_MG","Monocytes",2015,14.5172910662824
"A9","AChR_MG","NK cells",1627,11.7219020172911
"A9","AChR_MG","Neutrophils",54,0.389048991354467
"A9","AChR_MG","Progenitors",20,0.144092219020173
"A9","AChR_MG","T cells",2364,17.0317002881844
"H1","Healthy","B cells",879,10.5408322340808
"H1","Healthy","Basophils",14,0.167885837630411
"H1","Healthy","CD4+ T cells",3681,44.1419834512531
"H1","Healthy","CD8+ T cells",733,8.79002278450654
"H1","Healthy","Dendritic cells",39,0.467681976256146
"H1","Healthy","Monocytes",1277,15.3135867610025
"H1","Healthy","NK cells",683,8.19043050725507
"H1","Healthy","Neutrophils",27,0.323779829715793
"H1","Healthy","Progenitors",2,0.0239836910900588
"H1","Healthy","T cells",1004,12.0398129272095
"H10","Healthy","B cells",945,9.54159935379645
"H10","Healthy","Basophils",135,1.36308562197092
"H10","Healthy","CD4+ T cells",2514,25.3836833602585
"H10","Healthy","CD8+ T cells",1492,15.064620355412
"H10","Healthy","Dendritic cells",68,0.686591276252019
"H10","Healthy","Monocytes",1483,14.9737479806139
"H10","Healthy","NK cells",1127,11.3792407108239
"H10","Healthy","Neutrophils",326,3.29159935379645
"H10","Healthy","Progenitors",1,0.0100969305331179
"H10","Healthy","T cells",1813,18.3057350565428
"H2","Healthy","B cells",1003,11.5274106424549
"H2","Healthy","Basophils",13,0.149408114009884
"H2","Healthy","CD4+ T cells",2620,30.1114814389151
"H2","Healthy","CD8+ T cells",267,3.06861280312608
"H2","Healthy","Dendritic cells",67,0.770026433743248
"H2","Healthy","Monocytes",1592,18.2967475002873
"H2","Healthy","NK cells",977,11.2285944144351
"H2","Healthy","Neutrophils",14,0.160901045856798
"H2","Healthy","Progenitors",6,0.0689575910814849
"H2","Healthy","T cells",2142,24.6178600160901
"H3","Healthy","B cells",1087,13.7160883280757
"H3","Healthy","Basophils",16,0.201892744479495
"H3","Healthy","CD4+ T cells",2810,35.4574132492114
"H3","Healthy","CD8+ T cells",765,9.65299684542587
"H3","Healthy","Dendritic cells",80,1.00946372239748
"H3","Healthy","Monocytes",1630,20.5678233438486
"H3","Healthy","NK cells",761,9.60252365930599
"H3","Healthy","Neutrophils",89,1.12302839116719
"H3","Healthy","Progenitors",4,0.0504731861198738
"H3","Healthy","T cells",683,8.61829652996845
"H4","Healthy","B cells",1198,14.4633586864663
"H4","Healthy","Basophils",20,0.241458408789086
"H4","Healthy","CD4+ T cells",2353,28.407581794036
"H4","Healthy","CD8+ T cells",1384,16.7089218882048
"H4","Healthy","Dendritic cells",152,1.83508390679705
"H4","Healthy","Monocytes",1894,22.8661113123264
"H4","Healthy","NK cells",588,7.09887721839913
"H4","Healthy","Neutrophils",14,0.16902088615236
"H4","Healthy","Progenitors",4,0.0482916817578172
"H4","Healthy","T cells",676,8.16129421707111
"H5","Healthy","B cells",500,5.67601316835055
"H5","Healthy","Basophils",54,0.613009422181859
"H5","Healthy","CD4+ T cells",1686,19.1395164036781
"H5","Healthy","CD8+ T cells",354,4.01861732319219
"H5","Healthy","Dendritic cells",93,1.0557384493132
"H5","Healthy","Monocytes",1972,22.3861959359746
"H5","Healthy","NK cells",2588,29.3790441593824
"H5","Healthy","Neutrophils",81,0.919514133272789
"H5","Healthy","Progenitors",5,0.0567601316835055
"H5","Healthy","T cells",1476,16.7555908729708
"H6","Healthy","B cells",1273,15.2181709503885
"H6","Healthy","Basophils",27,0.322773460848775
"H6","Healthy","CD4+ T cells",2904,34.7160789001793
"H6","Healthy","CD8+ T cells",416,4.97310221159594
"H6","Healthy","Dendritic cells",66,0.789001793185894
"H6","Healthy","Monocytes",2151,25.7142857142857
"H6","Healthy","NK cells",717,8.57142857142857
"H6","Healthy","Neutrophils",8,0.0956365809922295
"H6","Healthy","Progenitors",4,0.0478182904961148
"H6","Healthy","T cells",799,9.55170352659892
"H7","Healthy","B cells",600,5.51774875850653
"H7","Healthy","Basophils",14,0.128747471031819
"H7","Healthy","CD4+ T cells",3817,35.1020783520324
"H7","Healthy","CD8+ T cells",805,7.40297958432959
"H7","Healthy","Dendritic cells",105,0.965606032738643
"H7","Healthy","Monocytes",1240,11.4033474342468
"H7","Healthy","NK cells",2753,25.3172705536141
"H7","Healthy","Neutrophils",12,0.110354975170131
"H7","Healthy","Progenitors",7,0.0643737355159095
"H7","Healthy","T cells",1521,13.9874931028141
"H8","Healthy","B cells",1422,13.8758782201405
"H8","Healthy","Basophils",23,0.224434035909446
"H8","Healthy","CD4+ T cells",2316,22.5995316159251
"H8","Healthy","CD8+ T cells",715,6.97697111631538
"H8","Healthy","Dendritic cells",81,0.7903981264637
"H8","Healthy","Monocytes",1289,12.5780640124902
"H8","Healthy","NK cells",1802,17.583918813427
"H8","Healthy","Neutrophils",51,0.497658079625293
"H8","Healthy","Progenitors",11,0.107338017174083
"H8","Healthy","T cells",2538,24.7658079625293
"H9","Healthy","B cells",2465,14.9249212884476
"H9","Healthy","Basophils",92,0.557035601840639
"H9","Healthy","CD4+ T cells",6312,38.2174860741099
"H9","Healthy","CD8+ T cells",354,2.14337612012594
"H9","Healthy","Dendritic cells",241,1.45919108743037
"H9","Healthy","Monocytes",2460,14.8946476144345
"H9","Healthy","NK cells",3644,22.0634536207314
"H9","Healthy","Neutrophils",58,0.351174618551707
"H9","Healthy","Progenitors",12,0.0726568176313877
"H9","Healthy","T cells",878,5.31605715669654
"N10a","SNMG_Pre","B cells",591,5.87008343265793
"N10a","SNMG_Pre","Basophils",45,0.446960667461263
"N10a","SNMG_Pre","CD4+ T cells",2189,21.7421533571712
"N10a","SNMG_Pre","CD8+ T cells",317,3.14858959078268
"N10a","SNMG_Pre","Dendritic cells",63,0.625744934445769
"N10a","SNMG_Pre","Monocytes",2904,28.8438617401669
"N10a","SNMG_Pre","NK cells",2719,27.0063567739372
"N10a","SNMG_Pre","Neutrophils",37,0.367500993245928
"N10a","SNMG_Pre","Progenitors",33,0.32777115613826
"N10a","SNMG_Pre","T cells",1170,11.6209773539928
"N10b","SNMG_Post","B cells",539,5.22337435798042
"N10b","SNMG_Post","Basophils",110,1.06599476693478
"N10b","SNMG_Post","CD4+ T cells",2332,22.5990890590173
"N10b","SNMG_Post","CD8+ T cells",339,3.28520205446264
"N10b","SNMG_Post","Dendritic cells",88,0.852795813547824
"N10b","SNMG_Post","Monocytes",3198,30.9913751332493
"N10b","SNMG_Post","NK cells",1932,18.7227444519818
"N10b","SNMG_Post","Neutrophils",478,4.6322318054075
"N10b","SNMG_Post","Progenitors",35,0.339180153115612
"N10b","SNMG_Post","T cells",1268,12.2880124043027
"N1a","SNMG_Pre","B cells",924,10.3033006244425
"N1a","SNMG_Pre","Basophils",15,0.167261373773417
"N1a","SNMG_Pre","CD4+ T cells",2217,24.721231043711
"N1a","SNMG_Pre","CD8+ T cells",53,0.590990187332739
"N1a","SNMG_Pre","Dendritic cells",72,0.8028545941124
"N1a","SNMG_Pre","Monocytes",1909,21.2867975022302
"N1a","SNMG_Pre","NK cells",2150,23.9741302408564
"N1a","SNMG_Pre","Progenitors",14,0.156110615521855
"N1a","SNMG_Pre","T cells",1614,17.9973238180196
"N1b","SNMG_Post","B cells",1292,12.4434171241452
"N1b","SNMG_Post","Basophils",5,0.0481556390253299
"N1b","SNMG_Post","CD4+ T cells",2929,28.2095733410382
"N1b","SNMG_Post","CD8+ T cells",112,1.07868631416739
"N1b","SNMG_Post","Dendritic cells",94,0.905326013676202
"N1b","SNMG_Post","Monocytes",1804,17.374554560339
"N1b","SNMG_Post","NK cells",2203,21.2173745545603
"N1b","SNMG_Post","Progenitors",19,0.182991428296253
"N1b","SNMG_Post","T cells",1925,18.539921024752
"N2a","SNMG_Pre","B cells",354,4.1485995546701
"N2a","SNMG_Pre","Basophils",50,0.585960389077698
"N2a","SNMG_Pre","CD4+ T cells",3758,44.0407828430798
"N2a","SNMG_Pre","CD8+ T cells",716,8.39095277159264
"N2a","SNMG_Pre","Dendritic cells",63,0.7383100902379
"N2a","SNMG_Pre","Monocytes",1872,21.938356967069
"N2a","SNMG_Pre","NK cells",999,11.7074885737724
"N2a","SNMG_Pre","Neutrophils",21,0.246103363412633
"N2a","SNMG_Pre","Progenitors",4,0.0468768311262159
"N2a","SNMG_Pre","T cells",696,8.15656861596156
"N2b","SNMG_Post","B cells",415,4.06862745098039
"N2b","SNMG_Post","Basophils",81,0.794117647058823
"N2b","SNMG_Post","CD4+ T cells",4864,47.6862745098039
"N2b","SNMG_Post","CD8+ T cells",699,6.85294117647059
"N2b","SNMG_Post","Dendritic cells",77,0.754901960784314
"N2b","SNMG_Post","Monocytes",2322,22.7647058823529
"N2b","SNMG_Post","NK cells",727,7.12745098039216
"N2b","SNMG_Post","Neutrophils",14,0.137254901960784
"N2b","SNMG_Post","Progenitors",6,0.0588235294117647
"N2b","SNMG_Post","T cells",995,9.75490196078431
"N3a","SNMG_Pre","B cells",787,7.74987690792713
"N3a","SNMG_Pre","Basophils",8,0.0787789266371246
"N3a","SNMG_Pre","CD4+ T cells",3657,36.0118168389956
"N3a","SNMG_Pre","CD8+ T cells",6,0.0590841949778434
"N3a","SNMG_Pre","Dendritic cells",113,1.11275233874938
"N3a","SNMG_Pre","Monocytes",3208,31.590349581487
"N3a","SNMG_Pre","NK cells",2352,23.1610044313146
"N3a","SNMG_Pre","Progenitors",11,0.108321024126046
"N3a","SNMG_Pre","T cells",13,0.128015755785327
"N3b","SNMG_Post","B cells",895,7.2545999837886
"N3b","SNMG_Post","Basophils",4,0.0324227932236362
"N3b","SNMG_Post","CD4+ T cells",4333,35.1219907595039
"N3b","SNMG_Post","CD8+ T cells",128,1.03752938315636
"N3b","SNMG_Post","Dendritic cells",147,1.19153765096863
"N3b","SNMG_Post","Monocytes",3067,24.8601767042231
"N3b","SNMG_Post","NK cells",3362,27.2513577044662
"N3b","SNMG_Post","Progenitors",20,0.162113966118181
"N3b","SNMG_Post","T cells",381,3.08827105455135
"N4a","SNMG_Pre","B cells",1774,17.2450665888986
"N4a","SNMG_Pre","Basophils",4,0.0388840283853407
"N4a","SNMG_Pre","CD4+ T cells",2648,25.7412267910956
"N4a","SNMG_Pre","CD8+ T cells",7,0.0680470496743463
"N4a","SNMG_Pre","Dendritic cells",48,0.466608340624089
"N4a","SNMG_Pre","Monocytes",1693,16.4576650140955
"N4a","SNMG_Pre","NK cells",3960,38.4951881014873
"N4a","SNMG_Pre","Progenitors",14,0.136094099348693
"N4a","SNMG_Pre","T cells",139,1.35121998639059
"N4b","SNMG_Post","B cells",840,9.12349299446074
"N4b","SNMG_Post","Basophils",27,0.293255131964809
"N4b","SNMG_Post","CD4+ T cells",1163,12.6316932768546
"N4b","SNMG_Post","CD8+ T cells",399,4.33365917236885
"N4b","SNMG_Post","Dendritic cells",16,0.173780818942109
"N4b","SNMG_Post","Monocytes",1395,15.1515151515152
"N4b","SNMG_Post","NK cells",3951,42.9130009775171
"N4b","SNMG_Post","Neutrophils",45,0.488758553274682
"N4b","SNMG_Post","Progenitors",8,0.0868904094710546
"N4b","SNMG_Post","T cells",1363,14.8039535136309
"N5a","SNMG_Pre","B cells",2183,18.0056087099967
"N5a","SNMG_Pre","Basophils",63,0.519630484988453
"N5a","SNMG_Pre","CD4+ T cells",5081,41.9086110194655
"N5a","SNMG_Pre","CD8+ T cells",677,5.58396568789179
"N5a","SNMG_Pre","Dendritic cells",91,0.750577367205543
"N5a","SNMG_Pre","Monocytes",1357,11.1926756845925
"N5a","SNMG_Pre","NK cells",819,6.75519630484988
"N5a","SNMG_Pre","Progenitors",9,0.0742329264269218
"N5a","SNMG_Pre","T cells",1844,15.2095018145826
"N5b","SNMG_Post","B cells",1876,18.4102060843965
"N5b","SNMG_Post","Basophils",47,0.461236506378803
"N5b","SNMG_Post","CD4+ T cells",4178,41.0009813542689
"N5b","SNMG_Post","CD8+ T cells",574,5.63297350343474
"N5b","SNMG_Post","Dendritic cells",89,0.873405299313052
"N5b","SNMG_Post","Monocytes",1134,11.1285574092247
"N5b","SNMG_Post","NK cells",647,6.34936211972522
"N5b","SNMG_Post","Neutrophils",2,0.0196270853778214
"N5b","SNMG_Post","Progenitors",3,0.0294406280667321
"N5b","SNMG_Post","T cells",1640,16.0942100098135
"N6a","SNMG_Pre","B cells",763,7.39126222997191
"N6a","SNMG_Pre","Basophils",40,0.387484258452
