"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",9.34745506931428e-47,1.50816695706054,0.87,0.782,3.42126202991972e-42
"CD83",1.52173996016762e-28,0.979742384406787,0.665,0.445,5.56972042820951e-24
"JUND",9.37758642634427e-27,0.533134843188312,0.979,0.968,3.43229040790627e-22
"CD79B",2.5397114852118e-24,-0.554887970706911,0.784,0.919,9.29559800702371e-20
"EIF1",8.07033163185042e-21,0.283388980445866,0.996,0.998,2.95382208057357e-16
"SRSF5",3.07375296779844e-18,-0.403253131318302,0.86,0.936,1.12502432374391e-13
"HLA-C",3.27657920965976e-18,-0.324055271544789,0.974,0.996,1.19926075652757e-13
"ACTR3",7.54195339001448e-18,-0.647436578287047,0.446,0.631,2.7604303602792e-13
"ARL6IP5",1.04942541779669e-17,-0.647432706729917,0.478,0.655,3.84100197167767e-13
"TMSB4X",3.99471455706668e-16,-0.262821014179798,0.995,1,1.46210547503197e-11
"TSC22D3",6.70575328239289e-16,0.430350044202622,0.92,0.886,2.45437275888862e-11
"PSMB9",2.6940891585274e-15,-0.6142478648804,0.487,0.663,9.86063572912615e-11
"BTG1",2.09965745851265e-14,0.326881829471526,0.996,0.996,7.68495626390216e-10
"MS4A1",2.11989820041774e-14,-0.354446232118649,0.881,0.941,7.75903940334898e-10
"KIAA0040",4.30021681043636e-14,-0.950482146464414,0.273,0.437,1.57392235478781e-09
"RAC2",5.58159419154078e-14,-0.541733487243951,0.553,0.714,2.04291929004584e-09
"GRASP",1.69623037321035e-13,1.67027316742188,0.184,0.071,6.2083727889872e-09
"AL139020.1",2.04546454945905e-13,-1.94066508694848,0.053,0.162,7.48660479747507e-09
"MTRNR2L1",7.89162783622892e-13,-0.984607083646768,0.136,0.28,2.88841470433815e-08
"PELI1",1.09617303782087e-12,1.02885103203535,0.367,0.224,4.01210293572816e-08
"TRAF3IP3",2.6628963016362e-12,-0.66121214113853,0.368,0.517,9.74646675361864e-08
"AHSA1",7.99077411049925e-12,-1.15822566183536,0.114,0.238,2.92470323218383e-07
"RNASE6",8.80944168483845e-12,-1.0582201396968,0.164,0.3,3.22434375106772e-07
