"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HLA-DRB1",3.865718161086e-46,0.686481911902112,0.99,0.982,1.41489150413909e-41
"FOSB",1.05188857680581e-42,-6.14574021499246,0.011,0.238,3.85001737996695e-38
"FKBP5",3.13791059641061e-34,-2.39096349792167,0.073,0.324,1.14850665739225e-29
"RPL37A",2.04666178715236e-29,0.27630413979508,0.999,1,7.49098680715635e-25
"HLA-DRA",1.60029950853419e-28,0.357494755113653,0.994,0.989,5.85725623118601e-24
"IGHA1",9.11499370465221e-28,-1.8763929540388,0.127,0.377,3.33617884583976e-23
"IGHD",6.17210088324091e-27,0.851123549982168,0.784,0.556,2.25905064427501e-22
"HLA-DPB1",2.53894380653654e-25,0.382692422066976,0.995,0.992,9.29278822630439e-21
"TXNIP",6.63684073255694e-25,-0.606789843021581,0.984,0.994,2.42915007652317e-20
"RPLP1",6.97570996517143e-25,-0.262851985821665,1,1,2.55317960435239e-20
"LINC01781",5.26096573865699e-24,-1.55710816080103,0.166,0.399,1.92556607000585e-19
"DDIT4",6.36238822248849e-24,-1.69391317800434,0.116,0.337,2.32869771331301e-19
"AC020916.1",1.59769916872258e-23,-4.47520893024785,0.012,0.15,5.84773872744152e-19
"ZFP36L2",1.86165538090015e-23,-0.750641765087163,0.739,0.905,6.81384485963264e-19
"HLA-DPA1",1.37227951921536e-22,0.393314955642935,0.989,0.99,5.02268026828013e-18
"CD74",1.73189133198188e-22,0.278996446488616,0.998,0.998,6.33889546418687e-18
"RPS14",1.53819063952592e-21,-0.258186408131698,1,1,5.62993155972883e-17
"HSPA8",3.79160828125318e-21,-0.96344254399865,0.355,0.604,1.38776654702148e-16
"WEE1",4.88946145353514e-21,-2.21432622540732,0.059,0.229,1.7895917866084e-16
"BCL7A",3.07688391520765e-20,1.38877763510747,0.473,0.267,1.12617028180515e-15
"HLA-DQB1",4.74535469747691e-20,0.531999107522971,0.957,0.929,1.73684727282352e-15
"ZBTB16",7.02393517703402e-20,-1.81477148732627,0.082,0.259,2.57083051414622e-15
"TMSB10",9.67060974440197e-20,0.318377759796432,1,0.998,3.53953987254856e-15
"CD83",2.06627973241468e-19,0.765283257401112,0.665,0.44,7.56279044861098e-15
"TCL1A",1.84666118937357e-18,0.650574352130681,0.664,0.382,6.75896461922619e-14
"MT-ND3",9.87830476627835e-18,0.297570260682291,0.994,1,3.61555832750554e-13
"MYADM",2.83965930559827e-17,-2.55698171769847,0.051,0.19,1.03934370244202e-12
"LGALS1",3.16310295373216e-17,-1.44809994625207,0.166,0.356,1.15772731209551e-12
"CRIP1",3.28253989297239e-17,-0.935332491386491,0.444,0.66,1.20144242622682e-12
"MIDN",6.6473314058228e-17,-2.09533052870504,0.074,0.225,2.4329897678452e-12
"AHNAK",3.37707380537077e-16,-0.84752011813123,0.339,0.564,1.23604278350375e-11
"BTG1",5.63291517671133e-16,0.368094609406781,0.996,0.99,2.06170328382811e-11
"VIM",7.82135453636216e-16,-0.711955567109558,0.618,0.77,2.86269397385391e-11
"DAAM1",3.47404970645088e-15,-1.33799224781457,0.131,0.303,1.27153693305809e-10
"MEF2C",4.13327218300845e-15,0.577723809358074,0.848,0.789,1.51281895170292e-10
"FOXP1",7.81033474866488e-15,0.587405781275423,0.842,0.784,2.85866062135883e-10
"H3F3B",9.55705522617459e-15,0.330127252255159,0.986,0.989,3.49797778333216e-10
"SELL",4.68290125493319e-14,0.738749164658275,0.654,0.536,1.7139886883181e-09
"MTRNR2L12",4.75391107516872e-14,0.422960440005024,0.977,0.966,1.7399789926225e-09
"ACTG1",4.89788379814274e-14,-0.446987172241351,0.721,0.857,1.79267444895822e-09
"FOS",6.20230270582691e-14,-3.16213375183204,0.137,0.279,2.27010481335971e-09
"TNFRSF13B",6.49332266990223e-14,-1.19143655746348,0.133,0.296,2.37662103041091e-09
"IGHA2",7.48123574383379e-14,-2.12385189269378,0.072,0.201,2.73820709460061e-09
"SOCS1",9.06822587277732e-14,-1.19667867036749,0.1,0.254,3.31906135169523e-09
"HLA-DMA",9.36962737361394e-14,0.571774164425128,0.841,0.76,3.42937731501644e-09
"IDS",1.27214239827421e-13,-1.15422870638766,0.265,0.444,4.65616839192343e-09
"SSPN",1.39652542560451e-13,-1.8948214809291,0.048,0.166,5.11142271025507e-09
"MT-ND2",5.03759942663161e-13,0.265315982041043,0.994,0.998,1.84381176614143e-08
"HIPK2",7.53316353964555e-13,-1.40699202977429,0.1,0.242,2.75721318714567e-08
"LMNA",9.15824555624562e-13,-2.98564304236436,0.019,0.106,3.35200945604146e-08
"BLK",1.50808991456021e-12,-0.730082100193888,0.313,0.51,5.51975989628182e-08
"SMDT1",1.53984758950632e-12,0.575504464506269,0.732,0.633,5.63599616235208e-08
"COCH",1.86284900873052e-12,-1.95872935109496,0.031,0.129,6.81821365685457e-08
"AFF3",6.05490211842888e-12,0.5664599339393,0.722,0.62,2.21615472436615e-07
"FTH1",1.12949820520923e-11,0.318607868964711,0.995,0.997,4.13407638088632e-07
"PRDM1",1.58850808478564e-11,-1.6472366105713,0.047,0.153,5.81409844112391e-07
"CLEC2D",1.97912018766964e-11,0.769376327246259,0.541,0.396,7.24377779888965e-07
"RNASE6",2.10210706403967e-11,-1.00268776239837,0.164,0.319,7.69392206509158e-07
"APLP2",2.8240611880182e-11,0.905744867956753,0.433,0.287,1.03363463542654e-06
"CDKN1A",3.06296478754968e-11,-1.9339009018241,0.046,0.147,1.12107574189106e-06
"CFLAR",3.41583912293837e-11,-0.781229395856948,0.284,0.454,1.25023127738667e-06
"IGHG1",4.19556676482709e-11,1.67276897686824,0.108,0.245,1.53561939159436e-06
"NPM1",4.53618816821262e-11,-0.277968337463124,0.936,0.984,1.6602902314475e-06
"PLPP5",7.33077041698527e-11,0.711084918225332,0.564,0.417,2.68313528032078e-06
"SESN1",9.84862699904409e-11,-1.02771721882192,0.138,0.28,3.60469596792013e-06
"S100A10",1.00774467534829e-10,-0.912262129562798,0.354,0.517,3.68844628624226e-06
"AIM2",1.41799635855644e-10,-0.948878747240153,0.094,0.217,5.19000847195242e-06
"LIME1",1.63501416614778e-10,-1.46639858662228,0.079,0.192,5.98431534951748e-06
"FAM111B",2.27894954405051e-10,2.10871225304987,0.174,0.066,8.34118322617928e-06
"ADGRE5",2.70956628541179e-10,-1.23780917449087,0.111,0.237,9.9172835612357e-06
"IGHG2",2.82569124170049e-10,-1.32873345842336,0.064,0.171,1.0342312513748e-05
"PPP1R15A",2.85786228407948e-10,-1.52397858305399,0.261,0.393,1.04600617459593e-05
"RPS26",3.3127878917324e-10,0.634902776953409,0.87,0.873,1.21251349625298e-05
"LINC00926",3.59752845031115e-10,0.551397707093167,0.771,0.728,1.31673138809839e-05
"DUSP2",5.33099790040353e-10,-1.65216919533459,0.082,0.19,1.95119854152669e-05
"COTL1",5.55332197859133e-10,-0.458727373669214,0.454,0.636,2.03257137738421e-05
"CLECL1",5.95555024226969e-10,-1.02248605236377,0.133,0.267,2.17979094417313e-05
"RGS1",6.49067706744489e-10,-2.04700014376093,0.052,0.147,2.3756527134555e-05
"GAPDH",6.99547004617065e-10,-0.538773538007528,0.597,0.72,2.56041199159892e-05
"YBX3",9.18011491566393e-10,0.45254694960058,0.587,0.417,3.36001386028216e-05
"TAGAP",9.90421268147972e-10,0.783904337919745,0.567,0.465,3.62504088354839e-05
"TSTD1",1.1598840020035e-09,0.680233615300479,0.616,0.527,4.245291435733e-05
"CD69",1.16200827875729e-09,0.37701027824517,0.667,0.515,4.25306650107958e-05
"MTRNR2L1",1.21215587096435e-09,-0.774193966856075,0.136,0.274,4.43661170331661e-05
"C16orf54",1.23303967744743e-09,-1.14013897511097,0.105,0.221,4.51304852342535e-05
"ELL2",1.43116804418256e-09,-1.61279995466878,0.054,0.15,5.2382181585126e-05
"KLF10",1.77370369841517e-09,-1.47826839140757,0.059,0.156,6.49193290656937e-05
"VOPP1",1.97318859231958e-09,-0.741149793485753,0.19,0.34,7.22206756674891e-05
"TUBB6",2.20391775324908e-09,-1.82240135029275,0.026,0.101,8.06655936866696e-05
"PTGES3",2.253797630744e-09,-0.433630395905233,0.482,0.659,8.24912470828611e-05
"PTPN18",2.73341078904258e-09,-0.945160048057404,0.137,0.266,0.000100045568289747
"CXCR4",2.85334166495755e-09,0.329358172097224,0.947,0.945,0.000104435158279111
"TOR3A",3.21218112802469e-09,-0.907634938160281,0.091,0.205,0.000117569041466832
"TMEM123",3.36171690455653e-09,0.635779663489382,0.598,0.501,0.000123042200423674
"ANXA2",4.10629863364423e-09,-0.666488048269804,0.177,0.314,0.000150294636290012
"VASP",4.36791563717449e-09,-0.644545579858408,0.265,0.422,0.000159870080236224
"TLE1",6.54872880423421e-09,-0.47114618034328,0.379,0.562,0.000239690022963776
"TMEM238",7.00371347956967e-09,-0.857793932307059,0.115,0.232,0.000256342917065729
"H1FX",7.69087715138051e-09,0.760876027653454,0.48,0.346,0.000281493794617678
"RILPL2",1.00643082020884e-08,-0.71491183797178,0.127,0.251,0.000368363744504637
