"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS29",2.43752284197322e-27,0.28748051789796,1,1,8.92157735390617e-23
"MT-ND3",4.59095914726292e-17,0.376826435385246,1,0.998,1.6803369574897e-12
"RPL38",4.6074045380641e-15,0.268929072058121,0.998,0.995,1.68635613497684e-10
"FOSB",1.95722174222829e-13,2.63129884289454,0.238,0.092,7.16362729872976e-09
"AC020916.1",8.8375039939166e-13,3.34485548723231,0.15,0.034,3.23461483681341e-08
"NR4A2",6.94181235846599e-10,2.38963974139439,0.219,0.099,2.54077274132214e-05
"CDKN1A",1.13651113770739e-09,2.36207196763858,0.147,0.045,4.15974441512283e-05
"CSRNP1",1.02403968667822e-08,1.90723819017898,0.167,0.065,0.000374808765721094
"MYADM",6.53469288929232e-08,1.87379267304987,0.19,0.089,0.00239176294440988
"PPP1R15A",3.06914367321453e-07,1.56735659274932,0.393,0.295,0.0112333727583325
"ZNF706",4.44925173448072e-07,-0.42112721800581,0.467,0.629,0.0162847062733729
"NR4A1",1.40204733676421e-06,2.43962157612248,0.105,0.035,0.0513163345729068
"FOS",1.40860876259727e-06,2.44576352126704,0.279,0.186,0.0515564893198227
"KDM6B",1.57117071817617e-06,1.33620443146479,0.242,0.139,0.0575064194559661
"YPEL5",5.51428528448252e-06,1.24237563565655,0.509,0.443,0.201828355697345
"RHOQ",1.02269468399778e-05,0.83460156350131,0.312,0.21,0.374316481290028
"C14orf119",1.35078726578362e-05,-1.12078507070177,0.071,0.148,0.494401647149462
"HLA-DQB1",1.43378294602251e-05,-0.250307055192506,0.929,0.971,0.524778896073698
"YWHAZ",1.84846040309886e-05,0.307863775060589,0.902,0.894,0.676554992138214
"ZNF331",1.86640005876001e-05,1.7526732277919,0.213,0.129,0.68312108550675
"JUND",2.29122997030889e-05,0.735068698616891,0.952,0.977,0.838613081432757
"MRFAP1L1",2.73391580350449e-05,-0.958164277437625,0.082,0.161,1
"RASGEF1B",3.30370576291662e-05,1.41187392934115,0.159,0.086,1
"CHCHD10",3.3296120120885e-05,-0.32385524305195,0.589,0.698,1
"LMNA",3.46972342894133e-05,2.0985742694999,0.106,0.045,1
"PLCG2",4.5453983254993e-05,-0.330552578630971,0.593,0.695,1
"PER1",5.13078111990149e-05,1.38019410376296,0.124,0.059,1
"CD81",5.82694507132714e-05,-0.287002362291496,0.633,0.752,1
"AL121944.1",6.14828210037079e-05,1.09442081001895,0.171,0.096,1
"MRPS18C",6.22562702541852e-05,-0.63218249140481,0.222,0.319,1
"CHCHD1",6.67765110003285e-05,-0.814805916592374,0.134,0.218,1
"ARL4A",6.87736414687558e-05,0.839491619641194,0.337,0.248,1
"CCR7",7.5018226237898e-05,-0.465658280847388,0.3,0.411,1
"PSMA3-AS1",8.49723821594766e-05,0.599919138576311,0.438,0.342,1
"PSMA6",0.00010484230623411,-0.445489873122917,0.288,0.399,1
"CORO1A",0.000123636553506818,-0.327352543361994,0.749,0.839,1
"RRAGA",0.000137540418342696,-0.683063200858076,0.135,0.218,1
"AC044849.1",0.000142576791498675,1.15841554411492,0.153,0.084,1
"FKBP5",0.000143786542558193,-0.459538543973507,0.324,0.43,1
"DAPP1",0.000145581820321104,-0.47720768186905,0.359,0.453,1
"AC011939.2",0.000187469128538088,1.30879236033843,0.114,0.055,1
"IRS2",0.000208435056755276,1.30680214130496,0.153,0.087,1
"EIF2S2",0.000228249272513572,-0.368522247297404,0.391,0.5,1
"ING1",0.000230263884272137,-0.658330781683946,0.118,0.195,1
"ATP10D",0.000235413283424276,1.00889247922566,0.151,0.084,1
"PPP6R3",0.000247169917912859,-0.591213326659963,0.155,0.24,1
"PPP2R1A",0.000254494711074741,-0.586307453688016,0.161,0.245,1
"CCT4",0.000272156786968799,-0.414866775556209,0.319,0.426,1
"CKLF",0.000275081652127435,-0.699968085816012,0.213,0.295,1
"EMP3",0.000281536038399976,-0.276588374684746,0.686,0.779,1
"PSMB8",0.000283493177054544,-0.352370775062746,0.424,0.547,1
"SFPQ",0.000303454756660691,0.534087995849309,0.556,0.498,1
"COPS3",0.00035031147312488,-0.783113907787952,0.129,0.2,1
"MCL1",0.000360343395192413,0.748032119327259,0.398,0.326,1
"DYNC1LI1",0.000396599587522802,-0.745887331662508,0.14,0.215,1
"IMPDH2",0.000421982108093871,-0.46570662540862,0.267,0.361,1
"PAK1IP1",0.000424279345512379,-0.82297602314675,0.06,0.117,1
"RGS1",0.000426655321020523,1.27378617031069,0.147,0.084,1
"DUSP2",0.000449032902912775,0.829883258719866,0.19,0.119,1
"PNO1",0.000456005456642174,-0.810399154490796,0.09,0.156,1
"ZNF302",0.0004641315425769,-0.676191807107196,0.13,0.206,1
"KLF6",0.000515537297609049,0.827264235793809,0.696,0.701,1
