"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AREG",9.35630749244568e-16,1.82312528661267,0.471,0.229,3.42450210531004e-11
"IRS2",2.23545376369278e-11,1.36191870375631,0.441,0.24,8.18198432049196e-07
"TXNIP",1.61626792616654e-10,0.745706629635325,0.826,0.677,5.91570223656214e-06
"ACOX1",2.81563225728215e-09,0.867577690299847,0.507,0.316,0.000103054956248784
"IFI44L",1.35392041466043e-07,2.33584038838961,0.137,0.037,0.00495548410969865
"MTRNR2L1",3.15818750583554e-06,-0.970459155601146,0.108,0.231,0.115592820901086
"ETV3",6.05041944577395e-06,1.1782666774227,0.203,0.094,0.221451402134772
"ASAH1",6.06517102073811e-06,0.833546547324266,0.4,0.263,0.221991324530035
"SLC39A10",1.34497412249324e-05,0.93192368152344,0.321,0.197,0.492273978573752
"ZFP36L2",1.7977552860011e-05,0.704483447806058,0.471,0.343,0.657996412229262
"TNFAIP3",1.92681281472408e-05,1.56351008647342,0.279,0.172,0.705232758317159
"NAMPT",2.10761531827923e-05,0.4195180719926,0.721,0.6,0.771408282643381
"XAF1",2.37347119848842e-05,0.931188522702143,0.309,0.19,0.868714193358745
"PLIN2",2.80947775763638e-05,-1.29853885177099,0.086,0.185,1
"FAM133B",2.94895910683245e-05,0.585233548423757,0.453,0.311,1
"S100A11",4.93667015680807e-05,-0.822258363013161,0.297,0.421,1
"RSAD2",5.40254184940445e-05,2.29790094996873,0.103,0.034,1
"ZCCHC2",6.48193630015782e-05,1.05621362783516,0.15,0.064,1
"EGR1",7.54544548683091e-05,-1.28908078945957,0.076,0.165,1
"ACTG1",7.87095071806777e-05,-0.590035038955447,0.586,0.691,1
"CNN2",0.000166957067689246,-0.714226004395395,0.257,0.375,1
"CD55",0.00019501943360636,0.417327446298573,0.424,0.304,1
"UHRF2",0.000196579077237865,0.880079755552744,0.216,0.121,1
"MXD1",0.000198324994656878,0.421974180470372,0.699,0.584,1
"SELENOK",0.000265607350639737,0.604052428803234,0.505,0.389,1
"TRIM22",0.000280436849403246,1.27168511712992,0.221,0.133,1
"ABHD5",0.000313199430721417,0.323274660547145,0.657,0.533,1
"DUSP6",0.000348009357644565,-0.303694591601806,0.493,0.618,1
"EIF4A1",0.000364538014389283,-0.573649827821791,0.382,0.501,1
"NCF1",0.000383064406408638,-0.715876097760193,0.353,0.46,1
"MALAT1",0.000388202385371841,0.286988223829601,0.998,1,1
"SAMSN1",0.000388778593912713,0.494210590791863,0.679,0.579,1
"CD84",0.000402078230777478,-0.751821648286022,0.238,0.343,1
"DYNLL1",0.000463424409390496,-0.732899210999547,0.154,0.252,1
"CFL1",0.000517564119297942,-0.477996743660236,0.397,0.515,1
"PTPN6",0.000555284971418071,-0.816722621017815,0.216,0.316,1
"FAM117A",0.000591568276382564,-0.841246067822027,0.142,0.233,1
"KLRG1",0.000637582319622264,-0.907345039916089,0.105,0.19,1
"CLINT1",0.000644693257766949,-0.433018795845918,0.456,0.554,1
"NEAT1",0.000649336488238359,0.411184535304105,0.929,0.918,1
"BCL2L11",0.00065654328920935,1.4061453015053,0.11,0.048,1
"UGP2",0.000680997512859241,0.692678699500954,0.488,0.403,1
"MBNL1",0.000711984011775745,-0.370628648909843,0.549,0.654,1
"RCSD1",0.000727455501751414,-0.450879537115679,0.375,0.485,1
"CDKN1B",0.000733579084502001,0.798512732330015,0.346,0.252,1
"LSP1",0.000750143555076655,-0.820110042784328,0.203,0.3,1
"RPS26",0.000760955090410303,1.16087755817874,0.358,0.286,1
"C9orf16",0.000895609337262903,-0.874940655301432,0.157,0.249,1
"PPP1CA",0.000955292285779973,-0.482802994142766,0.147,0.24,1
"MX2",0.000969679049529635,1.22677179968262,0.186,0.112,1
"RNF103",0.000979171127401944,0.699979728606523,0.238,0.146,1
"MYH9",0.00100719397681323,-0.439567640342291,0.561,0.643,1
"ETS2",0.00103210146059675,0.75228183194019,0.275,0.181,1
"PSMD2",0.00135141222362121,-1.17558039426429,0.056,0.119,1
"GLUL",0.00140116335971426,0.619830591269665,0.449,0.355,1
"WASF2",0.00146518470930854,-0.721824001345959,0.216,0.304,1
"LDLR",0.00147725527856738,-0.897235697309852,0.13,0.211,1
"PPP2R2D",0.00160456536109636,1.07026947339464,0.142,0.076,1
"EBLN3P",0.00160468994911753,-1.02066277752923,0.088,0.16,1
"TDP2",0.00184941699739663,-0.879604420376651,0.051,0.112,1
"CPD",0.00185613318203631,0.854011131986853,0.115,0.055,1
"UBL5",0.00186048993660797,-0.686645893996534,0.181,0.272,1
"BIRC3",0.00189083350452238,0.625291068450993,0.571,0.485,1
"SLC33A1",0.00192834709726888,-0.907977925290655,0.056,0.117,1
"MCTP2",0.00194923252109227,0.665576627200749,0.238,0.153,1
"EIF1AX",0.00195153488015977,-0.816249100118096,0.176,0.263,1
"TES",0.00208089617203175,-0.714833819698823,0.194,0.281,1
"DCTN3",0.00213781264357418,-1.32240055831329,0.066,0.128,1
"KCNK6",0.00214063154384957,-0.99152378883464,0.096,0.167,1
"MYO1F",0.00215358333366857,-0.430411892596782,0.431,0.526,1
"GALC",0.00216795263699766,0.540696978671987,0.203,0.124,1
"GATA2",0.00221205511429576,-0.460987154935218,0.647,0.703,1
"PARP1",0.00228722746347756,-1.25274570704346,0.083,0.149,1
"GCSAML",0.00230332344631426,-0.448736840075196,0.446,0.542,1
"MLLT3",0.00233197504116421,-1.09329230346935,0.054,0.112,1
"CD63",0.00236959088002629,-0.466959668403713,0.24,0.336,1
"SOCS1",0.00243273487990982,0.577937473915579,0.353,0.268,1
"FBXL3",0.00246610190940273,-0.770218275508257,0.098,0.169,1
"DGKZ",0.00246908212965501,-0.794650190942216,0.223,0.314,1
"CCDC84",0.0026090897194563,0.78850384493196,0.115,0.057,1
"PCNX1",0.00286594602668648,0.823426556542922,0.39,0.314,1
"EIF2AK2",0.00286986204442777,0.61219524003561,0.275,0.195,1
"MTRNR2L12",0.00294461571496239,0.304101810348246,0.613,0.529,1
"JAZF1",0.00307704736300411,-1.00785093700778,0.078,0.142,1
"KLF9",0.00316227840255455,0.927598552848273,0.152,0.087,1
"TRIM25",0.00320320257564437,0.935148394938944,0.145,0.08,1
"DDX60L",0.00322986338842658,0.581979883172274,0.142,0.078,1
"SH3KBP1",0.00338617809465275,-0.881977453584385,0.15,0.224,1
"RPS6KA1",0.00345622897489853,-0.577572157668577,0.061,0.121,1
"RNPEPL1",0.0034882520484932,-0.397814945477562,0.135,0.215,1
"TXN",0.00356354362437642,-0.483338544664446,0.135,0.217,1
"VASP",0.00374802250255524,-0.409261836812302,0.331,0.435,1
"CDC26",0.0038119980629146,-1.31092398436736,0.049,0.103,1
"CHD1",0.00393741003789626,0.777585282453722,0.284,0.208,1
"BTG2",0.00394197308177984,-0.92692879737308,0.341,0.421,1
"MAP3K8",0.0039736195946398,0.467701641498861,0.414,0.325,1
"PRNP",0.00412597976253989,-0.368369428873525,0.409,0.51,1
"EIF3M",0.00470793771582061,-0.824804250055166,0.098,0.165,1
"FBXW11",0.00471668713097585,-1.36473843394366,0.051,0.103,1
"WDR1",0.00494337180984029,-0.745324408410825,0.191,0.268,1
"NFE2",0.00497245817557219,-0.917710900229864,0.137,0.206,1
"METTL7A",0.00497719719037294,-0.344432916305627,0.103,0.174,1
"IFI44",0.00521085404635474,0.879130859145357,0.113,0.059,1
"PPP1R18",0.00534088827138767,-0.710434984067486,0.154,0.229,1
"NSRP1",0.0053999660876303,1.15715551654571,0.14,0.082,1
"SMAD7",0.00561024752245901,-1.07485801966629,0.071,0.128,1
"PRELID1",0.00562889335892331,-0.619112541163518,0.096,0.16,1
"AC114760.2",0.00575125856662768,0.987857943526083,0.115,0.062,1
"PELI1",0.00586614776424568,0.679372732563051,0.186,0.119,1
"PSMB9",0.0060552555174957,-0.660834863085781,0.162,0.24,1
"CLIC1",0.00609754686489088,-0.487637403142457,0.206,0.288,1
"HCLS1",0.00630138262498962,-0.500201278443993,0.186,0.263,1
"WDR83OS",0.00632282994934229,-0.513921916292915,0.113,0.181,1
"SMARCA5",0.00637283504843817,-0.836709119282181,0.132,0.201,1
"HSP90AA1",0.00638522738204728,-0.464566766353257,0.35,0.43,1
"TBCB",0.00649749592028584,-0.751663140358229,0.061,0.117,1
"HACD4",0.00655464576801645,-0.848812051452707,0.11,0.174,1
"DUT",0.00682847281353375,-0.960367263152085,0.061,0.114,1
"CTDNEP1",0.00714719836069244,-1.18039147671764,0.096,0.156,1
"APBB1IP",0.00718841141833083,-0.509555230868563,0.164,0.24,1
"MRPL41",0.00724168433308727,-0.710592220512852,0.086,0.146,1
"RUNX1",0.00725796652116724,-0.290715009821607,0.674,0.737,1
"ODF2L",0.00744671972215266,-0.749103218992634,0.056,0.108,1
"EVI2B",0.007512877410386,-0.626476402728918,0.282,0.357,1
"MEAF6",0.00751922427017016,-0.842519191760371,0.093,0.153,1
"TUBB4B",0.00772920718931473,-0.736868068039025,0.098,0.16,1
"UFL1",0.00777606722010782,-0.886575939199175,0.051,0.101,1
"HSPA8",0.0078315152670096,-0.798108601980437,0.159,0.227,1
"PPIP5K2",0.00797036524974771,-0.544036312206334,0.076,0.133,1
"ABHD2",0.00799148202952016,0.566424415998089,0.186,0.121,1
"TMBIM6",0.00800749602808509,-0.357524789135568,0.37,0.458,1
"SNU13",0.00807261229706205,-0.693388037054492,0.12,0.185,1
"MAPKAPK2",0.00811924498295339,-0.734119644994469,0.081,0.14,1
"CDC42SE2",0.00843026985638984,0.476648061875305,0.485,0.41,1
"THSD7A",0.00872209002770045,1.03114081992919,0.115,0.064,1
"HLA-C",0.00885629431504676,-0.28582053295356,0.627,0.696,1
"RNF6",0.009181156454618,-0.808136181017112,0.054,0.103,1
"VPS13A",0.00923925848725761,-0.632524211753684,0.174,0.245,1
"NOP10",0.00929370505553251,-0.730495950460018,0.096,0.156,1
"SNRNP200",0.00940371874030373,-0.675804970728383,0.199,0.272,1
"LAMTOR5",0.00941414250725182,-0.716235862147283,0.103,0.165,1
"RPS20",0.009422305479821,-0.346851998997552,0.431,0.501,1
"SPN",0.00948784454171281,-0.807548166147368,0.123,0.185,1
"POLR3E",0.0098463445703763,1.03551107524655,0.108,0.059,1
"ATP6V0B",0.00989205729743254,-0.837903126226202,0.096,0.153,1
"ATRX",0.010006347065254,-0.456463797213393,0.321,0.405,1
"HBB",0.0102854429654168,0.670204727547895,0.475,0.398,1
"CORO1A",0.0102958263716149,-0.397208166633424,0.37,0.455,1
"NXF1",0.0103237433947073,-0.491756227144234,0.064,0.117,1
"NDEL1",0.0106018532485332,0.39612781916245,0.221,0.151,1
"PSMA7",0.0106818625891562,-0.500105402655513,0.216,0.288,1
"GNAQ",0.010737627607203,0.43277352659401,0.505,0.446,1
"IL1RL1",0.010899184240862,1.07744012816593,0.203,0.144,1
"SRI",0.0109991018314695,-0.657925627693024,0.152,0.22,1
"MRPL42",0.0111494320030939,-0.996323448865091,0.064,0.114,1
"RIPOR2",0.0112151916250954,-0.253196237054849,0.618,0.682,1
"TNRC6A",0.0113298901011203,-0.626830332169373,0.093,0.151,1
"PF4",0.0114732511483944,-0.833862867913196,0.333,0.4,1
"GRAP2",0.0115598543858443,0.668472709637387,0.137,0.082,1
"UBTF",0.0116079001155954,-0.73235759729934,0.098,0.158,1
"PAG1",0.0116526809651455,0.490716629387556,0.642,0.602,1
"RNF145",0.0118358330618133,-0.712559117203389,0.118,0.178,1
"HSD17B4",0.0120304845826695,-0.603296023152121,0.086,0.142,1
"DDT",0.0120525969810428,-0.785530054121768,0.098,0.156,1
"CASP3",0.012055151042282,0.82028165114855,0.27,0.206,1
"NSD1",0.0120609094598688,-0.605566820203088,0.15,0.215,1
"CTR9",0.012255601947405,-0.812320767360129,0.081,0.135,1
"MX1",0.0126212583914365,0.849148492080802,0.137,0.085,1
"TMED10",0.0126510803562037,-0.642932745149438,0.135,0.199,1
"NIPBL",0.013193162668638,-0.358753177609556,0.297,0.382,1
"SMARCE1",0.0132054699193983,0.816988487036116,0.208,0.146,1
"COMMD6",0.0132554712889093,-0.41415666476432,0.287,0.364,1
"ERAP2",0.0133047781120616,-0.58371527351693,0.127,0.188,1
"FYB1",0.0133288698239985,-0.329592273660369,0.373,0.449,1
"ORAI1",0.0134805053536089,-0.419169560629937,0.098,0.158,1
"KRIT1",0.0136124370464284,-1.14784282360112,0.066,0.114,1
"PAK2",0.0141976099415904,-0.326355149612853,0.321,0.398,1
"ZNF75A",0.0143150738220707,-1.57344937352377,0.064,0.11,1
"STK17B",0.0144331493067629,0.393426514390201,0.684,0.638,1
"DENND1B",0.0145272799924084,0.68479044509142,0.228,0.165,1
"GSTO1",0.0146387907355422,-0.647499171778978,0.15,0.215,1
"LEPROT",0.0153834634322825,-0.50388072931076,0.11,0.169,1
"KLC1",0.0156374671018752,0.444540002041556,0.147,0.092,1
"EPM2AIP1",0.0158934828262849,0.494171992870071,0.164,0.11,1
"MICOS10",0.0163432551567964,-0.549035306288053,0.123,0.181,1
"PLEKHA2",0.0166371801123071,0.290305076714408,0.414,0.339,1
"CELF1",0.016773252794271,-0.364366855411934,0.25,0.33,1
