"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HBB",5.73129155345946e-16,1.50680246433454,0.475,0.714,2.0977100214817e-11
"XAF1",6.33503811415005e-14,1.92691970810749,0.309,0.097,2.31868730016006e-09
"MX2",4.36497595208538e-13,3.50183583150194,0.186,0.028,1.59762484822277e-08
"IFI44L",7.27920126190347e-12,5.43593936105032,0.137,0.01,2.66426045386929e-07
"FKBP5",1.22364299607742e-10,-1.89409031998492,0.147,0.327,4.47865572994295e-06
"ZBTB16",5.50769890635462e-10,-2.56829449907208,0.076,0.228,2.01587287671486e-05
"IFI44",2.13670514864519e-09,4.03041392890101,0.113,0.01,7.82055451455627e-05
"RSAD2",5.66115540827671e-09,3.65688223880171,0.103,0.008,0.000207203949098336
"EIF2AK2",1.91085141736434e-08,1.3200525429352,0.275,0.115,0.000699390727269521
"MX1",8.53777525872044e-08,4.03748127939794,0.137,0.033,0.00312491112244427
"FOSL2",5.9634492000349e-07,0.840895213398147,0.397,0.24,0.0218268204170477
"HSH2D",1.34197278313737e-06,0.739852976435544,0.441,0.279,0.0491175458356109
"ISG15",1.40488158203109e-06,1.90775890793329,0.186,0.074,0.0514200707839198
"TSC22D3",2.21335256955727e-06,-1.19093780492423,0.373,0.488,0.0810109173983656
"ADAR",2.50896587240837e-06,1.03168912884175,0.409,0.263,0.0918306598960188
"PTGDR2",2.87995034178016e-06,-2.12054503886664,0.059,0.159,0.105409062459496
"CREM",4.99747360125876e-06,1.55527628293542,0.172,0.066,0.182912531279672
"IRF9",8.27894995602057e-06,1.48029729245801,0.211,0.1,0.303017847340309
"KLF9",1.07619861085031e-05,-1.44220744893362,0.152,0.269,0.393899453557322
"RHEX",1.21612054983884e-05,-1.16492744688315,0.054,0.148,0.445112282446512
"LINC01578",1.41470291127645e-05,0.554206361275318,0.659,0.542,0.517795412556294
"PLEKHA2",1.48828792021413e-05,0.615573332010552,0.414,0.261,0.544728261677574
"CD55",1.59863245202004e-05,0.584033063893607,0.424,0.274,0.585115463763856
"ZCCHC2",1.77348862371131e-05,1.40726502643092,0.15,0.056,0.649114571164577
"TXNIP",2.24198258781658e-05,-0.458843208117014,0.826,0.852,0.820588046966748
"ALAS1",2.47251522993488e-05,-1.3018969274651,0.118,0.225,0.904965299308466
"SAMSN1",2.47906731796468e-05,0.691720774150836,0.679,0.586,0.907363429048254
"NEAT1",2.80683130068221e-05,0.588465833915818,0.929,0.887,1
"IL2RA",3.21559104531986e-05,-1.39692626730788,0.044,0.125,1
"POLR2J3",3.78050639104527e-05,0.730786031078966,0.358,0.23,1
"PPIP5K2",4.54204681744636e-05,-1.26955070258392,0.076,0.169,1
"MALAT1",5.06979492610113e-05,0.352705169082792,0.998,0.995,1
"STAT1",5.43276381916289e-05,1.36011575704562,0.199,0.097,1
"ZFP36L2",5.94757829625077e-05,-0.885429038714429,0.471,0.547,1
"TACC1",6.65474681414312e-05,0.616242955005007,0.321,0.194,1
"SOCS2",7.30175821463269e-05,0.537113611621604,0.571,0.437,1
"GALC",8.30102150041314e-05,0.850672292645009,0.203,0.102,1
"ATP10D",9.86259549344236e-05,0.434612025289294,0.787,0.685,1
"TYMP",0.000105914056596773,1.09231287766469,0.208,0.11,1
"DDX60L",0.000106485631424705,1.18520965273003,0.142,0.059,1
"CEBPB",0.000120830135140036,-0.695401278394062,0.38,0.488,1
"CLC",0.000139603817060386,-0.599462663929151,0.537,0.645,1
"MTRNR2L12",0.000165755950610244,0.418218690568801,0.613,0.483,1
"HBA2",0.000170776331648092,2.35059813628924,0.113,0.21,1
"PLAUR",0.000171235825968663,1.28212556284633,0.118,0.043,1
"HLA-DPA1",0.000192745436197392,1.84710309421402,0.125,0.051,1
"OTUD5",0.000229347191937828,0.952787735821555,0.159,0.074,1
"TPM3",0.000233747772480612,0.404541559715734,0.627,0.509,1
"PARP9",0.000256002863865712,1.72075849876941,0.105,0.038,1
"HDC",0.000259154274461667,0.373315520654474,0.703,0.593,1
"KLF6",0.000263249113423886,0.488560665662646,0.605,0.494,1
"AP001020.2",0.000264204772310071,1.22352918726878,0.132,0.056,1
"FAM133B",0.000266894290238153,0.481207911552359,0.453,0.33,1
"UBL5",0.000332541740692189,-0.970280277803773,0.181,0.284,1
"BIRC3",0.000333944188412151,0.670724343639046,0.571,0.458,1
"METTL7A",0.000341584293996644,-0.825945972365832,0.103,0.194,1
"SP110",0.000369234589230215,0.663263962349218,0.262,0.159,1
"HPS4",0.000376006184491726,1.14940076426746,0.137,0.061,1
"ATXN7",0.000390367743591005,0.573248002717337,0.5,0.379,1
"SAP30",0.000421804615628024,-1.51076462797294,0.044,0.11,1
"RUNX2",0.000437423794010834,-1.38658669111784,0.086,0.166,1
"UHRF2",0.000498609608409269,0.704890766221124,0.216,0.12,1
"CALM2",0.000537702488191103,-0.869924967247715,0.424,0.506,1
"LSP1",0.00056992344646665,-1.09953963584958,0.203,0.299,1
"ZNF394",0.000610277356428883,0.640877575191986,0.238,0.143,1
"S100A11",0.000705446001288388,-0.700283724386093,0.297,0.409,1
"SEPTIN2",0.00077841224279101,0.763704967635335,0.306,0.207,1
"CRBN",0.0007878029671595,0.46204180377621,0.402,0.289,1
"WASF2",0.000800614333140327,-1.05019468613804,0.216,0.302,1
"TRIM22",0.000840955019350365,1.12009768255239,0.221,0.136,1
"NAMPT",0.000951047269359022,0.396237711921317,0.721,0.619,1
"RPLP2",0.0010099838502997,-0.344632356176625,0.483,0.591,1
"CD200R1",0.00102210695250769,0.471661055986525,0.304,0.197,1
"KCNE1",0.00108354286200412,-1.2035556234132,0.091,0.166,1
"ATP2A3",0.00126176559250013,0.643151243462363,0.275,0.179,1
"IL1RL1",0.00157640523723109,-0.478834483421069,0.203,0.302,1
"ETS2",0.00157918951454541,0.569452437826432,0.275,0.176,1
"PSMC2",0.00158489179005316,-2.10618242518955,0.044,0.1,1
"PLIN2",0.00163493257314198,-0.884402904836063,0.086,0.159,1
"TNPO3",0.00167220773409974,1.23458155247216,0.13,0.064,1
"BORCS5",0.00174573816277093,1.08985080313873,0.115,0.054,1
"HELZ2",0.00179357154578695,0.8677970319907,0.135,0.066,1
"EPSTI1",0.00183559298848039,1.1134916940841,0.13,0.064,1
"DNAJC2",0.00192889093201864,-1.24280644017587,0.081,0.148,1
"GRIPAP1",0.0019411733864701,0.950450779200301,0.108,0.049,1
"UBE2J2",0.00207054553888039,1.39661500018395,0.103,0.046,1
"HBA1",0.00216067672858421,2.52160957011578,0.044,0.102,1
"TPT1",0.00229420497364333,-0.387965973435088,0.725,0.76,1
"LY6E",0.00282431694929909,1.29898314277116,0.145,0.079,1
"GK5",0.00283273182918135,0.464219151061908,0.36,0.256,1
"HLA-DRA",0.00291184845057667,1.41925795662984,0.118,0.059,1
"AC004951.1",0.00295088593358333,0.98783868741045,0.164,0.095,1
"RIPOR2",0.00299622214810829,-0.347453772143097,0.618,0.688,1
"PTPN7",0.00301124007927301,0.84419676423979,0.23,0.151,1
"TNFAIP8",0.00302744316716289,-0.483173420269549,0.355,0.445,1
"CDC73",0.00303700477898931,0.655422929929317,0.145,0.077,1
"CASP8AP2",0.00305130198158372,-0.919635644906314,0.098,0.169,1
"DENR",0.00307749853273097,-0.746115121594435,0.167,0.246,1
"PAG1",0.00347503356199351,0.514633184749043,0.642,0.586,1
"AP1G1",0.00363628380488201,0.591945702114193,0.181,0.107,1
"NDEL1",0.00400892051715004,0.417801374514238,0.221,0.138,1
"HMGB2",0.00413906519202187,-0.780338350791812,0.38,0.448,1
"ARHGDIB",0.00428091088051203,-0.419275904769993,0.456,0.529,1
"CHIC2",0.00462662730968289,-1.28639766322484,0.076,0.136,1
"POLR2E",0.00463402911031237,0.678958328819758,0.103,0.049,1
"JOSD1",0.00487986378976708,0.877023779752037,0.196,0.125,1
