"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MCTP2",2.91832748085199e-09,-1.38160631282578,0.238,0.413,0.000106813704126664
"SYTL3",1.9774054094021e-08,-0.869149746523638,0.258,0.432,0.000723750153895263
"PAG1",3.81422508580815e-08,-0.818253650787356,0.586,0.709,0.00139604452365664
"AREG",4.29248978710329e-08,-0.662679497667576,0.527,0.696,0.00157109418697768
"BIRC3",3.72352427367317e-07,-0.921666183242932,0.458,0.606,0.0136284711940712
"SAT1",5.77194797432899e-07,-0.596606081849552,0.691,0.787,0.0211259067808415
"SAMSN1",8.26582097736081e-06,-0.612214321799173,0.586,0.67,0.302537313592383
"KLF2",1.11011010507141e-05,0.467439092419574,0.79,0.723,0.406311399557187
"CREM",1.31917493153011e-05,-1.37527586551804,0.066,0.164,0.482831216689335
"IL1RL1",3.34884456056549e-05,-0.997355272671049,0.302,0.438,1
"FKBP5",5.50801852535617e-05,-0.709930022601852,0.327,0.44,1
"PHF20",0.000113959960911408,-1.2319035415645,0.156,0.255,1
"NIBAN1",0.000124363611519884,-0.681263874561101,0.312,0.432,1
"PELI1",0.000159547637402821,-0.581588976676238,0.156,0.27,1
"SSH2",0.000199241965305385,-0.500050917976399,0.35,0.468,1
"TNFAIP3",0.000202067351786086,-0.407058929733716,0.21,0.319,1
"CD55",0.000209918308039066,-0.646968867072266,0.274,0.391,1
"PDE3B",0.000227727769309799,-1.64978192766397,0.113,0.198,1
"DHX8",0.000375989802837805,-0.975794421984547,0.041,0.106,1
"MTMR6",0.000394521663347559,-1.09586990464129,0.049,0.117,1
"IRAK3",0.000399613955629943,-0.82084459344921,0.102,0.191,1
"S100A9",0.000408291279547879,-1.07148811487911,0.153,0.247,1
"SMAD7",0.000474462454890679,-1.30854859655812,0.038,0.1,1
"RUNX2",0.00049101705581251,1.20754266970714,0.166,0.089,1
"AKAP13",0.000503434466002999,-0.54350968398203,0.494,0.594,1
"PDE4A",0.000609857932464416,-1.09201488540648,0.069,0.143,1
"YIPF4",0.000643203115635998,-0.516616594819036,0.207,0.315,1
"CDK17",0.000763603359131303,-0.90818767150654,0.151,0.243,1
"PHTF2",0.000764791378792768,-0.68043026447623,0.192,0.294,1
"MAP3K5",0.000827011470096613,-0.719159075745565,0.148,0.238,1
"TACC1",0.00101746263411914,-0.62668535694227,0.194,0.291,1
"DEGS1",0.00102994799720265,-1.01428052506452,0.064,0.132,1
"AFF1",0.00114071579900948,0.857787663169047,0.184,0.109,1
"KLHL36",0.0011422609313096,-1.14899537723985,0.082,0.153,1
"HPS4",0.00122497686937955,-0.970455607908601,0.061,0.128,1
"PRKX",0.00127216981747616,-0.764111462104512,0.302,0.396,1
"VPS37B",0.00165694450827612,-0.891347588744356,0.133,0.215,1
"DDX5",0.00181828142985078,0.269450361455259,0.841,0.802,1
"ADAR",0.00199479030487406,-0.561295189414198,0.263,0.36,1
"SH3GLB1",0.0020901054804795,0.764171941255057,0.312,0.228,1
"CDC73",0.00217750265639942,-0.733743318368602,0.077,0.145,1
"OTUD5",0.00231084639242255,-0.8234145116741,0.074,0.14,1
"CD69",0.00239381558353509,-0.368553376960554,0.455,0.555,1
"CELF2",0.00243814906850336,-0.35941956164002,0.747,0.787,1
"SATB1",0.00247120691836505,-0.40903965782601,0.243,0.34,1
"ELF2",0.00249507985562274,-0.566251321129204,0.151,0.234,1
"FOSL2",0.0025422451834698,-0.49545670758493,0.24,0.33,1
"ASAH1",0.0026942104186089,-0.653460207446785,0.322,0.411,1
"SMAP2",0.00297055599271966,-0.479068072307639,0.251,0.332,1
"FDFT1",0.00301909408514427,-0.972534630559535,0.061,0.121,1
"MT-ATP8",0.00306064471845408,-0.413676547843395,0.253,0.349,1
"TSEN54",0.00324433924833075,-1.05151010563918,0.077,0.138,1
"SDHAF2",0.00339115643238783,-0.628687743713123,0.046,0.1,1
"STARD4",0.00358978887446968,-0.433477535755245,0.281,0.379,1
"PDE4D",0.00362239944640307,-0.73535495415065,0.095,0.162,1
"SENP2",0.00385707893074913,-1.24365640933364,0.051,0.104,1
"NEAT1",0.00403860179351455,-0.327240202774801,0.887,0.947,1
"AP2S1",0.00419008899250615,-1.02720532117989,0.064,0.121,1
"LYST",0.00419037418190622,0.773805355526089,0.21,0.14,1
"FAM192A",0.00426250200710791,-0.835081878804626,0.051,0.104,1
"UGP2",0.00449592510529482,-0.253668886319864,0.517,0.611,1
"TRIM38",0.0045190202103745,-0.358669754115151,0.215,0.302,1
"RAB27A",0.00467349703297214,0.541554832747919,0.45,0.36,1
"IL18R1",0.00479573073110717,-1.02072513967561,0.092,0.155,1
"SLA",0.0048305030341843,-1.15785953690173,0.092,0.153,1
"RAB31",0.00490219772900427,-0.520514109154691,0.381,0.46,1
