"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",4.67661849994453e-79,1.97688728354169,0.942,0.904,1.7116891371647e-74
"SRSF5",1.05854347903217e-42,-0.633815067749883,0.884,0.97,3.87437498760564e-38
"RPS21",2.83850158841515e-39,0.281562030625389,1,1,1.03891996637583e-34
"RPL37A",4.61077730868215e-36,0.295431794179319,0.999,0.999,1.68759060275075e-31
"TMBIM6",5.96716815254292e-14,-0.561554977616498,0.565,0.722,2.18404321551223e-09
"GIMAP4",2.02665117387869e-13,-0.547133593285719,0.556,0.732,7.41774596151338e-09
"S100A11",9.74269151492718e-13,-0.70171817833526,0.423,0.588,3.5659225213785e-08
"TAGAP",2.03925015397861e-12,-0.896273891723458,0.237,0.407,7.46385948857712e-08
"HLA-C",1.15855799923085e-11,-0.261906063283808,0.996,0.996,4.24043813298483e-07
"HSP90AA1",3.61717805791865e-11,-0.422702667478688,0.756,0.845,1.32392334097881e-06
"CISH",4.62280506264054e-10,-1.70213981829466,0.031,0.116,1.69199288097706e-05
"PSMB9",9.67059964437141e-10,-0.519803305313824,0.501,0.658,3.53953617583638e-05
"TRMT112",1.24097074343797e-09,-0.500329710971626,0.443,0.596,4.54207701805732e-05
"ARPC1B",1.63326970635026e-09,-0.372088224300819,0.641,0.77,5.97793045221259e-05
"EPSTI1",1.63919627823679e-09,-1.1454253196972,0.118,0.235,5.99962229797449e-05
"CDK2AP2",1.80895562817029e-09,-1.08292317809529,0.086,0.195,6.62095849466607e-05
"GIMAP7",1.8691094705546e-09,-0.33674665210549,0.82,0.893,6.84112757317691e-05
"GBP1",2.0515332152732e-09,-1.30802147475567,0.081,0.186,7.50881672122145e-05
"MTRNR2L1",2.47376079256932e-09,-0.958815157198975,0.09,0.203,9.05421187688295e-05
"DDX5",2.87234658901034e-09,-0.252266876745951,0.956,0.982,0.000105130757504367
"CCT5",3.18253474535806e-09,-0.785909784041741,0.199,0.338,0.00011648395421485
"DNAJA1",4.45396289405859e-09,-0.854032233130892,0.206,0.336,0.000163019495885438
"PSMB8",4.87978098014893e-09,-0.510245001040799,0.417,0.575,0.000178604863654431
"ACAP1",1.11909539174344e-08,-0.516429726443193,0.412,0.566,0.000409600104332016
"TNFSF10",1.19214104193435e-08,-1.05223566598318,0.105,0.213,0.000436335542758391
"LEPROTL1",1.30526187348782e-08,0.38569351635184,0.829,0.795,0.000477738898315278
"HSPA8",1.37205862345249e-08,-0.340602536900458,0.758,0.865,0.000502187176769845
"TMEM35B",1.63819420271049e-08,-1.07302412047055,0.108,0.216,0.000599595460134068
"PTPRC",1.9716499809647e-08,-0.289145208491124,0.915,0.961,0.000721643609532889
"ICAM2",5.11430046328245e-08,-0.761639862495825,0.197,0.321,0.00187188511256601
"TRAC",5.22527205149589e-08,-0.324363025507977,0.845,0.91,0.00191250182356801
"ORAI1",6.30751127903153e-08,-0.781646901697326,0.163,0.282,0.00230861220323833
"SUSD3",7.49710932387492e-08,-0.763573991495446,0.203,0.324,0.00274401698363146
"HSPE1",9.48730772830861e-08,-0.450563797484359,0.42,0.558,0.00347244950163823
"SPN",1.0564406659854e-07,-0.642251939782998,0.209,0.334,0.00386667848157318
"GIMAP1",1.45886640001459e-07,-0.509652445051111,0.386,0.521,0.00533959691069341
"ACTG1",1.56898880814283e-07,-0.260993592961134,0.922,0.965,0.00574265593668355
"CD53",1.84334703940049e-07,-0.485763823416787,0.419,0.544,0.00674683449890972
"JPT1",2.44556345257665e-07,-0.696508233511228,0.184,0.302,0.00895100679277578
"CD27",2.62010504716409e-07,-0.431901892600179,0.474,0.612,0.0095898464831253
"LINC01578",2.66162587541734e-07,0.288241001627644,0.869,0.86,0.00974181686661502
"GBP4",2.71348320819432e-07,-0.909627667182036,0.144,0.247,0.00993161989031202
"ACTR3",3.59013500603804e-07,-0.366761038105202,0.501,0.636,0.0131402531355998
"DNMT1",4.70378783053256e-07,-0.626927087208137,0.219,0.334,0.0172163338385322
"EGLN2",8.80324021698562e-07,-0.947605530864793,0.078,0.163,0.0322207395181891
"TMBIM4",9.6572504987385e-07,-0.401027397742678,0.463,0.598,0.0353465025504328
"CYLD",9.79563544221296e-07,-0.387212965690715,0.498,0.614,0.0358530052820436
"LCK",1.12011317700678e-06,-0.354052397592875,0.6,0.692,0.0409972623916251
"MTDH",1.12118310016021e-06,-0.356975113356555,0.493,0.638,0.0410364226489638
"TRAF3IP3",1.15955305282448e-06,-0.306978553563879,0.681,0.776,0.0424408012864288
"HNRNPF",1.20330581977156e-06,-0.390808927653746,0.443,0.562,0.0440421963094587
"S100A6",1.28308229184819e-06,-0.268554897235641,0.942,0.964,0.0469620949639356
