"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HBB",2.25122601710323e-45,-1.33474235422464,0.621,0.843,8.23971234519952e-41
"MT-ATP6",5.02093360415736e-43,-0.332898850185067,0.996,1,1.83771190845763e-38
"MT-CO1",2.70936355177969e-27,-0.278255845785401,0.993,1,9.91654153586883e-23
"MT-CYB",9.06376424099873e-23,-0.260257243738771,0.995,1,3.31742834984795e-18
"H3F3B",6.32634365725379e-21,0.380345020126652,0.994,0.98,2.31550504199146e-16
"SRSF5",1.33569210907568e-19,-0.469317661538692,0.891,0.957,4.88876668842788e-15
"IFI44L",4.70999490961797e-14,3.65366116105577,0.107,0.008,1.72390523686927e-09
"MT-ND5",5.95590373785362e-14,-0.335682440418693,0.979,0.992,2.1799203270918e-09
"MALAT1",5.21480801509348e-13,0.297933381087654,1,1,1.90867188160437e-08
"ISG20",7.87061668850459e-13,-0.445712927293323,0.691,0.797,2.88072441415956e-08
"DSEL",8.3699135745143e-13,-1.05915171304258,0.151,0.295,3.06347206740798e-08
"HBA2",1.2129804955018e-11,-1.51823257890834,0.148,0.28,4.43962991158612e-07
"LINC01578",2.59702602504667e-11,0.368243775295892,0.881,0.82,9.50537495427331e-07
"SMDT1",2.62053313409974e-11,0.389203353297933,0.844,0.746,9.59141332411845e-07
"ZBTB16",3.53870017440077e-11,-1.7388956088709,0.034,0.118,1.29519965083243e-06
"LINC01138",1.08613838310788e-10,0.674278388832889,0.567,0.426,3.97537509601315e-06
"CIRBP",1.18438883150051e-10,0.320224967747119,0.944,0.921,4.33498156217503e-06
"DDIT4",2.32005651089905e-10,-0.670577600197386,0.424,0.552,8.49163883554161e-06
"FKBP5",2.38645310754449e-10,-0.590576124581492,0.424,0.567,8.73465701892359e-06
"MGAT4A",4.60558019346935e-10,0.445152921015681,0.751,0.634,1.68568840661171e-05
"S100B",1.27174843123564e-09,-1.27831503663412,0.138,0.251,4.65472643316557e-05
"VAMP2",1.63562437365948e-09,0.453894801867853,0.706,0.605,5.98654877003106e-05
"ACTG1",1.11424376340764e-08,-0.259921538256334,0.969,0.979,0.000407824359844829
"NDFIP1",7.42989449794398e-08,-0.428693135050627,0.683,0.761,0.00271941568519248
"NFKBIA",7.80427385762401e-08,0.546597099651062,0.631,0.536,0.00285644227462896
"PASK",1.49583059295989e-07,-0.564894360501327,0.217,0.339,0.00547488955329251
"ANKRD12",1.84198306434945e-07,0.473237888014444,0.642,0.546,0.00674184221382543
"LIMD2",1.96787354898514e-07,0.336550581297773,0.834,0.821,0.00720261397664053
"C1orf162",2.01067536113251e-07,-0.780019188198972,0.258,0.369,0.00735927288928109
"LBR",2.26335487770793e-07,-0.67604089983309,0.223,0.339,0.00828410518789881
"FBLN5",2.55249195192699e-07,-1.19262655478167,0.076,0.156,0.00934237579324797
"CARS",3.10166516763138e-07,-0.574004667698908,0.308,0.431,0.0113524046800476
"HBA1",3.46740705935233e-07,-1.78074146030801,0.052,0.121,0.0126910565779354
"TCF7",3.63102132519307e-07,0.303114165837879,0.82,0.79,0.0132899011523391
"BIRC3",5.526912845657e-07,0.770027802587473,0.316,0.207,0.0202290537063892
"NOSIP",1.15421682854819e-06,-0.290074330010487,0.815,0.877,0.0422454901416923
"SBDS",1.44686425060877e-06,0.522460466537276,0.485,0.375,0.0529566784365318
"GIMAP4",1.74607688937931e-06,-0.369831115467858,0.553,0.651,0.063908160228172
"S100A11",1.74674351292339e-06,-0.811355185617809,0.155,0.249,0.063932559316509
"MX1",1.75578179745763e-06,1.21648227046717,0.153,0.074,0.0642633695687469
"OSTC",2.64466192116871e-06,-0.551521028032938,0.322,0.431,0.096797270976696
"PNISR",3.25769615175e-06,0.310292245753996,0.831,0.797,0.119234936850202
"FGFR1OP2",3.26594273907286e-06,-0.547644865716223,0.303,0.418,0.119536770192806
