"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS29",1.04823845093614e-63,0.39329470768146,1,1,3.83665755427138e-59
"RPS21",1.51034061384171e-62,0.362687383355256,1,1,5.52799768072206e-58
"MT-ND3",1.7176130435542e-60,0.60870348370742,1,1,6.28663550071273e-56
"RPL38",1.79422421171782e-54,0.427908591806836,1,1,6.5670400373084e-50
"RPL37A",8.37471775618759e-48,0.336598431518164,1,1,3.06523044594222e-43
"RPS27",3.60890275888403e-45,0.253003891219981,1,1,1.32089449877914e-40
"CCR7",1.01734718396585e-25,-0.698090063665636,0.748,0.887,3.72359242803342e-21
"IL7R",7.48520038112418e-22,-0.470681406875011,0.975,0.99,2.73965819149526e-17
"ZFP36L2",1.23082534381003e-21,-0.403712804258409,0.979,0.991,4.5049438408791e-17
"BTG1",2.13778309959864e-21,-0.373880636312094,0.997,1,7.82449992284098e-17
"SRSF5",4.5196932240151e-19,0.46495850903243,0.957,0.892,1.65425291692177e-14
"FKBP5",2.67795818307284e-17,-0.730861664403481,0.567,0.747,9.80159474586489e-13
"PIK3IP1",2.26835255688977e-16,-0.535820578181342,0.815,0.891,8.30239719347223e-12
"TSC22D3",5.50893780151842e-15,-0.5418323257151,0.844,0.899,2.01632632473376e-10
"SATB1",6.17524818587453e-13,-0.608116453376928,0.564,0.718,2.26020258851194e-08
"MTRNR2L12",2.1733384959625e-12,0.307787337048022,0.984,0.961,7.95463622907236e-08
"ARID5A",1.22745357549575e-10,-1.29863667799772,0.09,0.218,4.492602831672e-06
"UBL5",1.58634735303745e-10,0.493065569374952,0.734,0.585,5.80618994685236e-06
"GGNBP2",3.29922624881547e-10,-0.640401331652409,0.513,0.646,1.20754979932895e-05
"TNFAIP3",2.37363688804419e-09,-0.537286150570735,0.51,0.651,8.68774837393054e-05
"SESN1",5.52424608442033e-09,-1.48882408612643,0.079,0.185,0.000202192930935869
"MT-ND4L",5.98061202392165e-09,0.394433596743427,0.808,0.709,0.000218896380687556
"SMAP2",8.86070409713783e-09,-0.388179090601062,0.761,0.835,0.000324310630659342
"SRGN",1.42003389727481e-08,-0.576783402514385,0.43,0.56,0.000519746606741554
"CXCR4",1.79070137500357e-08,-0.349302485717085,0.88,0.908,0.000655414610265056
"DYNLT1",1.81801509877977e-08,-0.688018388178888,0.315,0.459,0.000665411706304382
"GPR132",2.02362852771574e-08,-1.88294976716602,0.031,0.112,0.00074066827742924
"FBXO32",2.1941340464669e-08,-0.699298472173325,0.389,0.52,0.000803075002347351
"USP3",2.33244354779666e-08,-0.85045504462558,0.241,0.371,0.000853697662929056
"CELF2",4.84871806151158e-08,-0.498943678907294,0.572,0.686,0.00177467929769385
"CYTIP",6.69536461228864e-08,-0.428556298362758,0.657,0.735,0.00245057040174376
"ATP5IF1",2.47233041486569e-07,0.378042873995928,0.695,0.562,0.00904897655144991
"SF3B1",2.49786738226606e-07,-0.502995249466683,0.389,0.525,0.009142444405832
"BCL2L11",3.08527148178794e-07,-1.00213603014349,0.121,0.227,0.011292402150492
"CIAPIN1",4.59087563401154e-07,-0.806866292323044,0.143,0.257,0.0168030639080456
"HPGD",5.86711642784705e-07,-1.05245859167239,0.1,0.197,0.021474232837563
"SC5D",7.46689656446407e-07,-1.00403813274017,0.11,0.209,0.0273295881155949
"ARPC5",9.30647866788499e-07,0.360058602461468,0.723,0.618,0.0340626425723258
"TXK",9.53804144559885e-07,-0.403690065609399,0.603,0.699,0.0349101854950363
"SELENOH",9.84173646054983e-07,0.393609223069628,0.748,0.656,0.0360217396192584
"CDC37L1",1.14375121199784e-06,-0.768392645556095,0.193,0.31,0.0418624381103329
"TOB1",2.01147807943924e-06,-0.408639984444249,0.63,0.707,0.0736221091855557
"NFKBIA",2.86173098961596e-06,-0.424605615870644,0.536,0.652,0.104742215950934
"HMGB2",3.84000646857484e-06,-0.518707777195467,0.497,0.589,0.140548076756308
"VASP",4.47535748217222e-06,0.786286804070877,0.261,0.163,0.163802559204985
"AK3",6.0386723286778e-06,-0.663304331195101,0.161,0.261,0.221021445901936
"SINHCAF",6.94980522629234e-06,-0.710191911236985,0.198,0.304,0.254369821087526
"ZNF292",8.12268933708442e-06,-0.615576024997617,0.254,0.364,0.297298552426627
"CREBRF",9.02808939785942e-06,-0.471334838154122,0.408,0.525,0.330437100051053
"STK17A",1.00305785777979e-05,-0.435731412249229,0.546,0.633,0.36712920652598
"EAPP",1.12296040991224e-05,-0.374759007668271,0.456,0.573,0.41101473963198
"TUBA4A",1.13672825334697e-05,-0.57748227146409,0.336,0.455,0.416053908007524
"G3BP2",1.36818073571626e-05,-0.590561843176383,0.375,0.478,0.500767831079509
"SAMD3",1.42918848386401e-05,0.809592539995416,0.249,0.159,0.523097276979065
"AIP",1.6375440912982e-05,-0.521100459690381,0.333,0.436,0.599357512856055
"SRSF7",1.96296363812279e-05,-0.328803857825362,0.625,0.715,0.718464321189321
"DDIT4",2.62381955395718e-05,-0.398664374906469,0.552,0.657,0.960344194943867
"C18orf21",2.71276691311333e-05,-1.02007367813475,0.062,0.131,0.992899817868609
"DDX6",2.86967543295572e-05,-0.323247787927268,0.58,0.669,1
"RIOK3",2.90902965786462e-05,-0.706598507210791,0.141,0.232,1
"SLC25A36",3.00520779632445e-05,-0.626459812816901,0.187,0.282,1
"DICER1",3.15192242895066e-05,-0.947584869342716,0.115,0.196,1
"PCSK7",3.3216725323955e-05,-0.569305202641913,0.259,0.361,1
"SLU7",3.36647104143325e-05,-0.74220481486159,0.17,0.26,1
"TMEM33",3.78482386434228e-05,-0.979221999801132,0.061,0.129,1
"PPP1R35",4.00198159356502e-05,-0.647725459883513,0.187,0.28,1
"LEPROTL1",4.39469018648735e-05,-0.258496041303412,0.879,0.902,1
"NAA38",4.59579763101787e-05,0.541583437737829,0.318,0.219,1
"PRAG1",4.74053670608071e-05,-0.971063377166078,0.077,0.148,1
"TNFSF8",4.96670951445723e-05,-0.686733797902761,0.22,0.315,1
"ZBTB16",5.15384884245085e-05,-0.838792079964743,0.118,0.198,1
