"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",3.52944681166453e-67,1.1204444897857,0.988,0.99,1.29181282753734e-62
"RPL37A",3.70900885804136e-47,0.253451350061536,0.999,0.998,1.35753433213172e-42
"RPL38",4.48035006938678e-30,0.257219450111428,0.993,0.997,1.63985292889626e-25
"DYNLL1",5.09406960964654e-21,-0.501883724833922,0.822,0.929,1.86448041782673e-16
"DNAJA1",2.57001362780561e-16,-0.505944444885165,0.701,0.852,9.4065068791313e-12
"CCR2",5.15494267956029e-16,-0.982396722843865,0.229,0.414,1.88676057014586e-11
"MIF",5.5627255776665e-16,0.391410978654203,0.957,0.953,2.03601318868171e-11
"NAGK",1.95891021537617e-15,-0.523821292378434,0.554,0.726,7.16980727929833e-11
"ABI3",2.35231105528533e-14,-0.909960697039332,0.274,0.433,8.60969369344982e-10
"HNRNPF",1.54294943675524e-13,-0.382941680000943,0.752,0.863,5.64734923346785e-09
"PSMB9",1.56071264630323e-13,-0.387890084351324,0.818,0.906,5.71236435673445e-09
"BAZ1A",2.2857739828888e-13,-0.542544771567948,0.599,0.732,8.36616135477128e-09
"NIPBL",2.0143399895095e-12,-0.509137601650656,0.583,0.73,7.37268579560371e-08
"RGS14",2.70423800267577e-12,-0.934455197486572,0.181,0.329,9.89778151359358e-08
"PRKCD",3.05911043431468e-12,-0.468498838298158,0.423,0.596,1.11966501006352e-07
"UBXN4",5.14224536722416e-11,-0.370527465899257,0.697,0.827,1.88211322685771e-06
"ACTR3",6.62696251799141e-11,-0.2537630237745,0.863,0.942,2.42553455121003e-06
"CLTA",7.47312901353464e-11,-0.280646603298891,0.831,0.91,2.73523995024381e-06
"IGSF6",8.07997622189027e-11,-0.472550263500205,0.688,0.77,2.95735209697406e-06
"DEGS1",9.34672930189737e-11,-0.532667110841221,0.453,0.605,3.42099639178746e-06
"PPP1R12A",1.23253714169391e-10,-0.403945787317845,0.593,0.733,4.51120919231388e-06
"GPN3",1.9377321582409e-10,-0.845846204169039,0.188,0.324,7.09229347237753e-06
"PPM1G",2.08634259005109e-10,-0.356098512241146,0.785,0.883,7.63622251384599e-06
"YWHAH",2.14451130472051e-10,-0.449693455545754,0.562,0.72,7.84912582640753e-06
"TOP1",2.18412377531519e-10,-0.365097432444231,0.621,0.78,7.99411143003112e-06
"IL6R",2.93547325823108e-10,-0.515694804758864,0.469,0.614,1.07441256724516e-05
"CD300A",3.05736029512766e-10,-0.548658920378592,0.383,0.536,1.11902444161967e-05
"GCA",3.31915414947571e-10,-0.449132124990427,0.542,0.674,1.2148436102496e-05
"ROCK1",7.94599355729218e-10,-0.361118944082017,0.715,0.813,2.90831310190451e-05
"MRPL20",7.95753377605716e-10,-0.315213677281907,0.753,0.884,2.91253693737468e-05
"MRPL18",8.25228610707825e-10,-0.475815451741039,0.413,0.569,3.02041923805171e-05
"PAK1",8.30910026823608e-10,-0.493797016001206,0.626,0.714,3.04121378917709e-05
"APBB1IP",8.35268631747851e-10,-0.425395674969347,0.69,0.805,3.05716671906031e-05
"TMEM176B",1.09051578215642e-09,-1.56827433186743,0.053,0.141,3.99139681427072e-05
"FEZ2",1.2587795861117e-09,-0.571005246242929,0.49,0.607,4.60725916312744e-05
"HSBP1",1.28263833496358e-09,-0.351531937615705,0.651,0.765,4.6945845698002e-05
"TNFSF10",1.3602613026869e-09,-0.430381962004905,0.256,0.4,4.97869239396433e-05
"AKAP9",1.74843577892362e-09,-0.38108059880569,0.67,0.81,6.39944979443836e-05
"CLECL1",2.09508671147573e-09,-0.817974711150143,0.186,0.315,7.66822687267232e-05
"MRPS18C",2.13968185477374e-09,-0.424478208634888,0.481,0.628,7.83144955665737e-05
"RPS6KA1",3.75336173602222e-09,-0.474022686391282,0.399,0.549,0.000137376792900149
"NUP214",3.76853252268208e-09,-0.51680666392656,0.497,0.628,0.000137932058862687
"RGS19",5.64531733493436e-09,-0.361170460245539,0.627,0.745,0.000206624259775932
"STIP1",6.90922017353862e-09,-0.485408482035227,0.255,0.394,0.000252884367571687
"DOCK8",7.27660232465522e-09,-0.312283180065898,0.758,0.833,0.000266330921684706
"ELP5",8.97798039449734e-09,-0.456970761211414,0.242,0.373,0.000328603060418997
