"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FKBP5",2.29012981470779e-52,-1.48445870662312,0.556,0.821,8.38210413481198e-48
"TSC22D3",8.20860757381768e-50,-1.33383760705493,0.689,0.875,3.00443245809301e-45
"CXCR4",3.89689732059291e-42,-1.03335619190942,0.845,0.954,1.42630338831021e-37
"SAP30",2.2184692686672e-37,-2.07829607993049,0.267,0.546,8.11981937024882e-33
"ZFP36L2",3.35057946523034e-36,-0.930721089754486,0.886,0.971,1.22634559006896e-31
"IFI44L",1.75502289162539e-33,3.20886747633893,0.331,0.073,6.4235592856381e-29
"SRGAP1",4.19205705952142e-32,-2.90713991010412,0.03,0.233,1.53433480435543e-27
"AREG",1.32241369932852e-31,-1.22478910497172,0.449,0.711,4.84016638091231e-27
"HLA-DRB5",2.54938834935412e-29,-0.824280591270581,0.786,0.92,9.33101629747103e-25
"ZBTB16",1.81303488178936e-27,-3.47737912862193,0.027,0.202,6.63588897083723e-23
"MX1",4.90682535260454e-22,1.45696192330815,0.533,0.317,1.79594714730679e-17
"DDIT4",7.71878077219756e-22,-0.808849037369043,0.71,0.852,2.82515095043203e-17
"RPS26",8.7049074334801e-22,0.619068498807822,0.988,0.984,3.18608316972805e-17
"SMAP2",4.74625037230494e-21,-0.746325858434204,0.779,0.88,1.73717509876733e-16
"GLUL",1.79885948050177e-17,-0.86929839998914,0.444,0.639,6.58400558458452e-13
"EIF2AK2",2.3464820796607e-17,1.10020701257521,0.565,0.398,8.58835905976612e-13
"C1orf162",1.10653699898764e-16,-0.499422105542673,0.833,0.902,4.05003606999465e-12
"MT-ND3",1.76113921659372e-16,0.264898267282308,0.993,1,6.44594564665467e-12
"CDKN2D",2.58512335401467e-16,0.642713459931785,0.827,0.763,9.46180998802911e-12
"HBB",1.42860789483853e-15,-0.78190222230122,0.726,0.738,5.22884775589849e-11
"ISG20",2.78736879370364e-15,-0.937735207741854,0.344,0.538,1.02020485218347e-10
"IRS2",9.76831497777083e-15,-1.21447479265641,0.196,0.374,3.5753009650139e-10
"XAF1",1.5295391183684e-14,1.11465652291299,0.519,0.361,5.59826612714017e-10
"PDK4",2.60714588915497e-14,-2.00975395986722,0.042,0.161,9.5424146688961e-10
"RGS1",2.73834717008699e-14,-2.55088061619002,0.252,0.403,1.00226244772354e-09
"TNFAIP3",4.73006153435494e-14,-1.05697912373603,0.462,0.624,1.73124982218925e-09
"TIPARP",1.42478854631416e-13,-2.31708343890762,0.178,0.325,5.21486855836445e-09
"PLIN2",1.67734989786485e-13,-1.00390074314878,0.216,0.387,6.13926836117514e-09
"KLF9",1.83321178474765e-13,-0.846943566967747,0.421,0.567,6.70973845335488e-09
"STAT1",2.39287723554922e-13,0.940678276041734,0.6,0.468,8.75816996983372e-09
"TXNIP",5.89321560663238e-13,-0.529501062971486,0.951,0.956,2.15697584418352e-08
"SH3BP5",6.29618710357573e-13,-0.67604642027489,0.535,0.686,2.30446744177975e-08
"CD163",2.09942870396096e-12,-1.2165897828763,0.292,0.444,7.6841189993675e-08
"MT2A",2.24578717718163e-12,-1.07803498289086,0.449,0.605,8.21980564720249e-08
"CLEC4E",3.24843829237941e-12,-1.69895055066969,0.06,0.177,1.18896089939379e-07
"SLA",4.14059582364128e-12,-0.933496619174663,0.199,0.359,1.51549947741095e-07
"ISG15",4.52205104478668e-12,1.13714837772217,0.533,0.42,1.65511590290237e-07
