"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL38",1.65802395386456e-20,0.264772030685677,0.998,0.993,6.06853347353968e-16
"FKBP5",4.37767525475669e-16,-0.551799684248749,0.821,0.901,1.6022729199935e-11
"ATF3",5.94783525665493e-16,3.15158932681253,0.221,0.07,2.17696718228827e-11
"MT-ND3",3.01457360419118e-14,0.305289967515676,1,0.999,1.10336408487001e-09
"NR4A3",3.13699542557545e-12,2.25468559483146,0.224,0.091,1.14817169571487e-07
"CDKN1A",6.62226830893116e-12,1.45731340234856,0.478,0.333,2.42381642375189e-07
"SRSF5",1.76007215611594e-11,0.301416004143015,0.982,0.982,6.44204009859995e-07
"ZFP36L2",5.7156348953497e-10,-0.365420799480227,0.971,0.975,2.09197952804694e-05
"ZNF331",1.37133920477281e-09,2.25613736655679,0.267,0.146,5.01923862338896e-05
"ENPP4",4.7311824706806e-09,-0.793780430214877,0.267,0.411,0.000173166009609381
"CSRNP1",7.94142826816093e-09,1.63915502725561,0.345,0.233,0.000290664216042958
"KLF10",1.54842736787774e-08,0.555068617416469,0.75,0.652,0.000566739900916931
"IFNGR1",3.64895607314128e-08,-0.44052092465377,0.769,0.83,0.00133555441233044
"PET100",5.08202511571355e-08,0.399490742275007,0.844,0.774,0.00186007201260232
"JUND",5.28352034634964e-08,0.529968297322581,0.995,0.99,0.00193382128196743
"DDIT4",6.53177057200463e-08,-0.30609649438201,0.852,0.906,0.00239069334705942
"TIPARP",6.96405859749358e-08,1.91635013108332,0.325,0.22,0.00254891508726863
"LMNA",8.7151110787647e-08,0.90584925370227,0.486,0.365,0.00318981780593867
"GGNBP2",2.03868924202994e-07,-0.398882024621809,0.764,0.843,0.00746180649475377
"SOCS1",2.07681734847585e-07,-0.684434640529832,0.262,0.398,0.00760135917715645
"PHLDA2",2.39894275289627e-07,1.75822219594521,0.192,0.096,0.00878037036987565
"ZBTB16",2.70033972677997e-07,-0.919119164578777,0.202,0.318,0.00988351343398737
"NINJ1",2.87401651677323e-07,1.00102230932752,0.299,0.187,0.0105191878530417
"SMAP2",2.87677221394228e-07,-0.343146375098944,0.88,0.91,0.0105292739802502
"GLUL",4.20670750612058e-07,-0.506371506098276,0.639,0.738,0.0153969701431519
"ST3GAL1",4.40862099691094e-07,-0.784399302557693,0.182,0.3,0.0161359937107937
"ETV3",8.21517575804769e-07,0.995818049507502,0.335,0.226,0.0300683647920304
"ID1",1.23770915251712e-06,2.24584263442002,0.143,0.064,0.0453013926912792
"KLF4",1.41891766086097e-06,1.1471503117099,0.553,0.474,0.0519338053051722
