"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMEM176B",3.91142046473846e-24,-1.21022388330873,0.236,0.513,1.43161900429892e-19
"MYL4",7.00165854402016e-15,6.38429876505954,0.111,0.011,2.56267704369682e-10
"TMEM176A",8.43530250615568e-11,-0.978148077440714,0.187,0.347,3.08740507027804e-06
"RPS26",3.12733139944967e-10,0.851739895259227,0.683,0.661,1.14463456551258e-05
"MTRNR2L1",1.29214404210531e-09,-1.16383582614267,0.159,0.309,4.72937640850964e-05
"AC020656.1",1.342535092346e-08,0.886649583033705,0.66,0.643,0.000491381269149559
"TNFSF10",1.36802789752816e-07,-0.793757950411891,0.359,0.477,0.00500711890774282
"HSPA1A",3.24523604286263e-07,-0.85614013136778,0.156,0.273,0.0118778884404815
"HLA-C",1.48034937863717e-06,-0.307812965100787,0.905,0.915,0.0541822676074992
"CYBC1",3.07870685209776e-06,-0.987368371345449,0.177,0.284,0.11268374949363
"PABPC1",1.25985090064058e-05,0.278409871386901,0.782,0.754,0.461118028143459
"PHB",1.27847340415257e-05,-0.890672004283401,0.147,0.246,0.467934050653881
"SLC35D2",1.34639688963033e-05,-0.531255342683982,0.094,0.181,0.492794725573597
"GIMAP4",1.93060928273056e-05,-0.431617722831153,0.407,0.51,0.706622303572211
"LSM10",1.99243873486326e-05,-0.564882108720346,0.269,0.386,0.729252501347301
"BIN2",2.0725126632215e-05,-0.325474794507839,0.556,0.667,0.758560359865702
"FEZ2",3.39785243833624e-05,-0.623030436901697,0.166,0.267,1
"IRF2",3.59178085766281e-05,-0.584270968433706,0.282,0.379,1
"ERLEC1",3.7384215040758e-05,-0.848858941455999,0.13,0.216,1
"GAPT",3.74691941012571e-05,-0.836105455853509,0.139,0.23,1
"COA3",3.92437265127457e-05,-0.803294761719766,0.154,0.247,1
"RAB10",4.38716743829538e-05,-0.388363125659007,0.449,0.559,1
"ADSS",5.03829858394997e-05,-0.613043281080581,0.253,0.357,1
"BRD1",5.08570260211964e-05,-1.06715985559571,0.088,0.165,1
"DNAJA1",5.43345945137791e-05,-0.557143569030127,0.369,0.469,1
"APOBEC3G",5.45835304888942e-05,-0.976114803620471,0.142,0.229,1
"GIMAP8",6.04538408347989e-05,-1.1244620396875,0.071,0.141,1
"POLD4",7.37054350378525e-05,-0.311632214286814,0.326,0.432,1
"SULF2",8.98211944514591e-05,-0.550690353555052,0.341,0.439,1
"ZC3H18",9.11027843018445e-05,-0.57215743313313,0.166,0.26,1
"UBXN1",9.12800010899588e-05,-0.459053599548363,0.468,0.564,1
"KCNMB1",0.000112602842523597,-0.948279802109749,0.043,0.1,1
"ARMC10",0.000122423935574814,-0.889292187003728,0.094,0.169,1
"APBB1IP",0.000139665406751784,-0.3562999122677,0.364,0.459,1
"RPL37A",0.000152338591933794,0.252731572778791,0.744,0.75,1
"NLRC4",0.000159349117325166,-0.967621926055318,0.055,0.117,1
"GBP4",0.000161447368873655,-0.734567326465762,0.179,0.263,1
"MPHOSPH8",0.000173802290682224,-0.45541414451926,0.26,0.353,1
"SCLT1",0.000177032308088127,-0.457043933590723,0.201,0.291,1
"CCM2",0.000180990079469793,-0.586400208239347,0.168,0.26,1
"GPBAR1",0.000187949681543496,-0.808053727465054,0.203,0.282,1
