"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SAP30",1.39553248207015e-46,-2.51618362763142,0.206,0.557,5.10778843762495e-42
"ZBTB16",5.19667841942104e-42,-2.41622626465757,0.149,0.487,1.9020362682923e-37
"FKBP5",5.55648277454055e-42,-2.16270649218008,0.319,0.616,2.03372826030959e-37
"IFI44L",3.15038649249415e-31,2.38835122623787,0.302,0.063,1.15307296011779e-26
"CXCR4",5.39963177147525e-26,-1.22150316995722,0.378,0.636,1.97631922467766e-21
"CD163",3.6054322431528e-23,-1.71534279382973,0.348,0.561,1.31962425531636e-18
"ARL4A",3.80702507053852e-23,-1.68079118565193,0.236,0.468,1.3934092460678e-18
"TSC22D3",1.05721169953347e-22,-0.625161663908996,0.603,0.788,3.86950054146246e-18
"JDP2",1.82809474425769e-21,-1.35448478035645,0.319,0.541,6.69100957345756e-17
"ZFP36L2",2.49087792437967e-21,-0.954749327009958,0.567,0.734,9.11686229102202e-17
"IL1R2",6.22631877240969e-21,-3.65824062453353,0.036,0.212,2.27889493388967e-16
"IRS2",1.35600624918075e-20,-1.07286388574127,0.383,0.606,4.96311847262646e-16
"PHC2",4.40836464938194e-20,-1.54450760197829,0.244,0.464,1.61350554532028e-15
"IFI6",4.43715700571499e-20,1.79589177416669,0.378,0.175,1.62404383566174e-15
"SCO2",1.41032994814343e-18,1.39242031891966,0.511,0.331,5.16194864319978e-14
"SRGAP1",1.88304128932802e-18,-3.54438964014294,0.026,0.177,6.89211942306948e-14
"ADAMTS2",2.00491469746002e-18,-5.41451874608196,0.002,0.128,7.33818828417343e-14
"HMGB2",6.85602810508102e-17,-1.01753648226898,0.503,0.671,2.5093748467407e-12
"KLF9",9.58784153955524e-17,-0.455931694324376,0.185,0.401,3.50924588189261e-12
"PLIN2",1.1523164492707e-16,-1.56477011521864,0.213,0.409,4.21759343597568e-12
"SMAP2",1.19133002881504e-16,-0.848552782752252,0.6,0.72,4.36038703846593e-12
"RPLP1",1.7562722091678e-16,-0.424279730777204,0.868,0.925,6.42813191277508e-12
"CLEC4E",4.24367276674926e-16,-1.14720486476149,0.31,0.5,1.5532266693579e-11
"PDK4",1.4120664120053e-15,-2.33926360875188,0.078,0.241,5.16830427458059e-11
"TMSB4X",1.83528969765472e-15,0.599111408644201,0.988,0.97,6.71734382238603e-11
"RPS14",1.92464710795848e-15,-0.367352491658141,0.79,0.892,7.04440087983882e-11
"TNFAIP3",2.55731169261542e-15,-1.48391036387635,0.334,0.507,9.36001652614169e-11
"MX1",7.57622143320712e-15,1.6591885896109,0.307,0.139,2.77297280676814e-10
"DDIT4",3.84520354814655e-14,-1.56114411961946,0.21,0.377,1.40738295065712e-09
"PTP4A2",4.55953140905819e-14,0.652688131002668,0.795,0.776,1.66883409102939e-09
"EPSTI1",8.4213051316773e-14,1.23711457431297,0.331,0.163,3.08228189124521e-09
"LY6E",4.27214341788688e-13,1.45227595913935,0.423,0.275,1.56364721238078e-08
"XAF1",1.0704206655573e-12,1.24642918151516,0.411,0.259,3.91784667800629e-08
"FLT3",1.38943079571491e-12,-2.55563283540162,0.038,0.156,5.08545565539614e-08
"AREG",1.61407981937032e-12,-1.09041570251868,0.165,0.331,5.90769354687732e-08
"ACTB",2.48997222852029e-12,0.347894917386152,0.969,0.956,9.11354735360713e-08
"AP001189.1",3.33179653033843e-12,1.60457315216437,0.22,0.086,1.21947084806917e-07
"CEBPD",5.81507827994844e-12,-0.614302382574877,0.646,0.745,2.12837680124393e-07
"IFIT3",2.48539019240308e-11,2.11759893267052,0.149,0.045,9.09677664321451e-07
