"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AREG",2.16036883131067e-16,-1.25268236644589,0.331,0.498,7.90716595948017e-12
"SLA",9.47401669755498e-16,-0.949893963958121,0.47,0.592,3.4675848514721e-11
"TIPARP",3.25690550869612e-14,2.20051255454894,0.217,0.093,1.19205998523787e-09
"ATF3",7.63862667964347e-14,2.5093142119692,0.165,0.057,2.79581375101631e-09
"IL1R2",1.63793679097318e-12,-1.33704294714421,0.212,0.36,5.99501244864093e-08
"PLEKHO2",1.93770120454246e-12,-1.05648341141285,0.155,0.296,7.09218017874586e-08
"NAB2",1.48643592257223e-10,-1.465372400571,0.03,0.113,5.44050412020661e-06
"MT-ND3",3.46396037806141e-10,0.363877567635467,0.898,0.905,1.26784413797426e-05
"C3AR1",4.60572364900034e-10,-1.49283391820864,0.175,0.29,1.68574091277061e-05
"FKBP5",1.1987184738977e-09,-0.533136313374202,0.616,0.668,4.38742948631297e-05
"KLF4",1.62900699228415e-09,1.02930012952968,0.448,0.336,5.96232849245922e-05
"TMCC3",2.49767682767742e-09,-1.18991916742393,0.095,0.198,9.14174695698213e-05
"CRK",4.46903382446626e-09,-0.981644322872445,0.177,0.292,0.00016357110700929
"TAGAP",5.46492483495224e-09,1.08246623530705,0.241,0.137,0.000200021713884087
"B3GNT5",1.12866572500633e-08,-1.22539663873631,0.142,0.247,0.000413102942009567
"HSPA1A",1.71243329025055e-08,0.451441922240808,0.247,0.139,0.000626767708564605
"IFNGR2",1.942336309292e-08,-0.719317519318241,0.479,0.561,0.000710914512563964
"KLF2",3.11243562803089e-08,0.541684879041064,0.615,0.502,0.00113918256421559
"IL1RAP",3.55084894077204e-08,-0.836053947852322,0.198,0.311,0.00129964622081198
"SAMSN1",6.31681548086852e-08,-0.687191509533237,0.513,0.579,0.00231201763415269
"CCDC71L",7.07209001231585e-08,-1.11456258850977,0.119,0.218,0.00258845566540772
"AL118516.1",7.29818103046024e-08,1.51587399490618,0.152,0.073,0.00267120723895875
"IFNGR1",7.63536184123767e-08,-0.566988316399662,0.571,0.631,0.0027946187875114
"ASPH",8.40718591269525e-08,-1.13582482368487,0.218,0.324,0.00307711411590559
"BHLHE40",9.56306665611303e-08,1.11467180660446,0.242,0.148,0.00350017802680393
"METRNL",9.64416213598221e-08,-0.677602558647115,0.483,0.555,0.00352985978339085
"TUT7",9.9843607763763e-08,-0.667827748607918,0.358,0.465,0.00365437588776149
"TMEM176A",1.13765595069994e-07,0.78340153824389,0.253,0.149,0.00416393454515687
"FOSB",1.48773787652475e-07,1.92964689464949,0.341,0.261,0.00544526940186822
"LINC00877",1.9040320085838e-07,0.982882495189104,0.231,0.137,0.00696894755461758
"RPL38",2.08224566212242e-07,0.250038287726839,0.807,0.781,0.00762122734793426
"KLF10",2.41706700693055e-07,0.509885732881444,0.561,0.463,0.0088467069520665
"AL034397.3",2.51356905490467e-07,-0.567847874301009,0.402,0.505,0.0091999140978566
"XPO1",2.59675993084904e-07,0.680834320896978,0.34,0.231,0.00950440102290056
"FPR2",2.77271758034943e-07,-0.930745860983895,0.151,0.249,0.010148423615837
"JDP2",3.39044743426716e-07,-0.551271322986742,0.541,0.607,0.0124093766541612
"MAFF",6.13521700410207e-07,1.60383807155058,0.132,0.065,0.022455507756714
"AGO2",6.47633813899314e-07,-0.801860768662559,0.233,0.334,0.0237040452225288
"LDLR",6.74982212924842e-07,1.09016821231236,0.184,0.103,0.0247050239752621
"DNAJA1",7.22508661073925e-07,0.518521829395658,0.437,0.333,0.0264445395039667
"CCNL1",1.05052479412799e-06,0.629676257357607,0.611,0.534,0.0384502579898786
"CNEP1R1",1.10579353548998e-06,-0.935883051683969,0.111,0.196,0.0404731491924687
"TMEM176B",1.13236154265219e-06,0.528032656006967,0.337,0.233,0.0414455648226127
"CLEC5A",1.22868778347541e-06,-1.57704525916933,0.067,0.138,0.0449712015629835
"IRF1",1.27182079949888e-06,0.636022935798063,0.467,0.365,0.0465499130824586
"CCR1",1.51547947623175e-06,-0.701063783300204,0.343,0.43,0.0554680643095582
"RAB11FIP1",1.6117060393457e-06,0.521377129072204,0.569,0.493,0.0589900527460919
