"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",9.75681005708094e-65,1.52409212586677,0.942,0.865,3.57109004899219e-60
"RPS29",1.21631434105533e-20,0.332119234123351,0.998,1,4.45183211969663e-16
"RPL37A",2.05044500702075e-20,0.351098811468954,0.997,0.996,7.50483377019666e-16
"PLEK",7.4650601934968e-19,-0.756462484274038,0.565,0.781,2.73228668142176e-14
"AREG",3.67244788464469e-15,2.04789775564416,0.348,0.178,1.3441526502588e-10
"RPS21",4.62104040561444e-15,0.323815551376068,0.99,0.994,1.69134699885894e-10
"GIMAP7",5.90528972349706e-14,-0.582718781544169,0.608,0.768,2.16139509169716e-09
"KLRC2",1.22296564791212e-13,-1.79886768581299,0.17,0.331,4.47617656792315e-09
"GIMAP4",2.29102614125021e-13,-0.64016939194737,0.455,0.654,8.3853847795899e-09
"TIGIT",2.52141752360784e-12,-1.34513433092557,0.149,0.309,9.22864027815706e-08
"MRPS6",3.0052395879698e-11,-0.885844152964507,0.262,0.434,1.09994774159283e-06
"KLRD1",4.34084474249384e-11,-0.41803640211248,0.767,0.872,1.58879258420017e-06
"RPL12",7.29018376599105e-11,0.253839559924039,0.997,0.997,2.66828016019039e-06
"MTRNR2L1",1.31922957231334e-10,-1.19553839742706,0.057,0.177,4.82851215762406e-06
"FTH1",4.2053908094337e-09,0.288450138074511,0.988,0.993,0.000153921509016083
"LBR",4.22019942789533e-09,-0.660440705200495,0.272,0.439,0.000154463519260397
"KLF2",5.63827478486821e-09,-0.320775800823391,0.906,0.97,0.000206366495400961
"MAP3K8",5.82475576192477e-09,0.820169531114196,0.587,0.483,0.000213191885642208
"KLRK1",6.78160081248766e-09,-0.452321579801853,0.603,0.748,0.000248213371337861
"PSMB8",7.4083047597829e-09,-0.445961782763909,0.531,0.695,0.000271151362512814
"TAP1",7.75511954861634e-09,-0.670798861919754,0.216,0.368,0.000283845130598907
"PSMB9",7.90960092531369e-09,-0.431826799888688,0.676,0.806,0.000289499303467407
"CX3CR1",1.16846590827347e-08,-0.607251213015051,0.286,0.439,0.000427670207087174
"PYHIN1",1.37754017069691e-08,-0.484557871602534,0.454,0.617,0.000504193477876777
"DYNLL1",1.67845595932828e-08,-0.523680156254882,0.408,0.571,0.000614331665673745
"HLA-F",1.69563196088159e-08,-0.384574715597929,0.743,0.859,0.00062061825400227
"FCGR3A",1.89868652120442e-08,-0.465790993553531,0.664,0.763,0.000694938253626029
"TRAF3IP3",2.05572387793267e-08,-0.55274941031878,0.49,0.64,0.000752415496562136
"CCL5",2.0985233656493e-08,-0.363451444112807,0.812,0.905,0.000768080537061301
"ZFPM1",2.3666322685102e-08,-1.19551260635418,0.111,0.226,0.000866211076597417
"FCMR",3.19822017586191e-08,-0.59551537962891,0.271,0.43,0.00117058056656722
"RPL38",3.20382635348302e-08,0.264154106193442,0.973,0.978,0.00117263248363832
"ACTR3",3.87606981304155e-08,-0.371389262768295,0.558,0.705,0.00141868031227134
"PLAAT4",5.92440949735785e-08,-0.350134370900263,0.75,0.87,0.00216839312012795
"APBB1IP",6.13841344061444e-08,-0.47595694005922,0.378,0.534,0.00224672070339929
"HSPA8",8.51134523876844e-08,-0.387682720715702,0.572,0.721,0.00311523747084164
"LCK",1.2955876203313e-07,-0.50916680514563,0.493,0.623,0.00474198024917459
"GIMAP1",2.03021388103732e-07,-0.700000882047064,0.192,0.313,0.0074307858259847
"GBP2",2.3021853722377e-07,-0.676345939597145,0.274,0.4,0.00842622868092719
"RPL36",2.56589083500456e-07,0.255811536673638,0.978,0.988,0.00939141704520018
"HLA-DRB5",2.62656448700235e-07,-0.835518871821763,0.175,0.295,0.00961348867887729
"TRBC1",3.04039410086901e-07,-0.462561012211112,0.512,0.658,0.0111281464485906
"PPP4C",5.01801648644287e-07,-0.639883313643857,0.238,0.368,0.0183664421420296
"TRMT112",5.1362719798275e-07,-0.55711574584153,0.428,0.563,0.0187992690733666
"H3F3B",6.56749833770132e-07,0.250136904717719,0.997,0.988,0.0240377006658206
"KLF6",7.30633302717855e-07,-0.543496169088866,0.341,0.488,0.0267419095127762
"KLRG1",7.92834520922852e-07,-0.665553729419117,0.202,0.332,0.0290185363002973
"PYCARD",9.42396245772137e-07,-0.55481206479983,0.209,0.339,0.034492644991506
"USP28",1.05751708442252e-06,-0.593875991551996,0.187,0.308,0.0387061828069488
"ID2",1.12833559457219e-06,-0.340282755236165,0.801,0.883,0.0412982110969366
"S100A11",1.23491193795522e-06,-0.43341230873621,0.509,0.658,0.0451990118410991
"TRDC",1.49815649077873e-06,-0.446136656520527,0.592,0.706,0.0548340257189924
"HADHA",1.63954656392651e-06,-0.567180885149038,0.307,0.432,0.0600090437862742
"YWHAB",1.65245856359037e-06,-0.291603358017521,0.779,0.861,0.0604816358859713
"ARPC1B",1.71513950597567e-06,-0.312675180966324,0.729,0.817,0.0627758210582153
"SPN",1.85737181313295e-06,-0.443385756624994,0.426,0.554,0.067981665732479
"HLA-DPA1",2.3453852702287e-06,-0.387196506918044,0.408,0.549,0.0858434462756407
"ARL6IP5",2.65709933511724e-06,-0.299566130089301,0.729,0.822,0.0972524927646261
"IFNGR1",3.52589990356537e-06,1.0352514845734,0.339,0.248,0.129051462370396
"TMEM35B",3.56983689492022e-06,-0.843239857239555,0.118,0.217,0.130659600190975
"CBR4",3.67838166496207e-06,-1.18828816876072,0.053,0.13,0.134632447319277
"GLRX",4.06773250184255e-06,-0.447348079738849,0.42,0.548,0.148883077299939
"LEPROTL1",4.43739915235357e-06,0.607412132612278,0.548,0.472,0.162413246375293
"IRF2",5.63199068153147e-06,-0.493289833684,0.253,0.374,0.206136490934733
"TBC1D10C",5.89187764088154e-06,-0.45266292576717,0.414,0.534,0.215648613533905
"CD2",6.31913863162617e-06,-0.458077745568314,0.49,0.608,0.23128679305615
"AKT3",6.34933931343547e-06,-0.83242199218327,0.115,0.21,0.232392168211052
"CD53",6.48497597949347e-06,-0.318822751848665,0.603,0.737,0.237356605825441
"LYST",6.61711503648514e-06,-0.5704761607642,0.26,0.383,0.242193027450393
"IRF9",7.06354462892637e-06,-0.549070774614593,0.223,0.337,0.258532796963334
"DENND2D",7.56284835620029e-06,-0.656646788916494,0.205,0.32,0.276807812685287
"IFI16",8.65315260685301e-06,-0.378931859437336,0.443,0.577,0.316714038563427
"HNRNPF",8.65578716412345e-06,-0.396131549820951,0.45,0.579,0.316810465994082
"C14orf119",1.00325008216311e-05,-0.918996196226723,0.087,0.171,0.36719956257252
"PSMA7",1.14150547679082e-05,-0.280496853599907,0.67,0.778,0.417802419560209
"REEP5",1.14706966681961e-05,-0.400530538467596,0.305,0.44,0.419838968752646
"TMBIM6",1.20910853466729e-05,-0.291532458122025,0.67,0.786,0.442545814773576
"CCT6A",1.39549550277234e-05,-0.412140038719169,0.276,0.394,0.510765308969704
"IGFLR1",1.45774667227497e-05,-0.759685801628947,0.127,0.219,0.533549859519363
"SLAMF7",1.45938681649839e-05,-0.582239923953607,0.217,0.332,0.534150168706576
"PCM1",1.49455145159281e-05,-0.697517739393471,0.272,0.374,0.547020776797483
"CD300A",1.50207265022705e-05,-0.459525058641614,0.298,0.415,0.549773610709604
"PCID2",1.54693232001961e-05,-0.924445296767529,0.099,0.185,0.566192698450378
"FBXW5",1.81147505830706e-05,-0.622275539865533,0.211,0.319,0.663017986090966
"SLAMF6",1.83001108901082e-05,-0.561215089478276,0.125,0.221,0.66980235868885
"CCND2",1.9206172876357e-05,-0.4432947028449,0.259,0.382,0.702965133447541
"DTNBP1",2.16599582617391e-05,-0.691693178311033,0.142,0.239,0.792776132337913
"B3GNT7",2.29669140597256e-05,1.09703457939309,0.159,0.086,0.840612021500018
"TRG-AS1",2.40268192040585e-05,-0.610737710501764,0.252,0.361,0.879405609687746
"SELENOK",2.4484664871786e-05,0.492814313655514,0.644,0.574,0.89616321897224
"RAB4B",2.664211558873e-05,-0.780350512128043,0.099,0.183,0.975128072663106
