"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FKBP5",1.73303863310642e-61,-2.57260902236547,0.176,0.585,6.34309470103281e-57
"RPS26",1.23588339446112e-53,1.21430680281263,0.942,0.866,4.52345681206714e-49
"AREG",5.93183900618031e-52,-1.68739001634977,0.348,0.719,2.17111239465205e-47
"TSC22D3",1.56377507758693e-44,-1.25353272128375,0.673,0.885,5.72357316147593e-40
"CXCR4",3.07278176173243e-41,-1.00601664165882,0.658,0.898,1.12466885261169e-36
"TXNIP",6.96965744673645e-35,-0.746806294456606,0.981,0.99,2.55096432208001e-30
"ZFP36L2",1.44822310893416e-27,-0.757907835641752,0.88,0.954,5.30064140100991e-23
"FOSB",1.65452674817903e-25,-5.10132457977467,0.015,0.199,6.05573335101008e-21
"MT-CO1",7.79638494365552e-25,-0.332361907627732,0.993,1,2.85355485322736e-20
"FOS",9.38997323601081e-25,-4.62464417948302,0.099,0.308,3.43682410411232e-20
"MT-ND3",2.17735465148373e-21,0.345939671154782,0.985,0.997,7.96933575989562e-17
"BTG1",1.00665594484857e-20,-0.463513715639564,0.967,0.99,3.68446142374025e-16
"ZFP36",2.23896385618774e-19,-1.24031009533725,0.582,0.736,8.19483161003276e-15
"SOCS1",7.94221701504686e-19,-1.8828213716395,0.091,0.277,2.9069308496773e-14
"PPP1R15A",1.82945827568626e-16,-2.5205498496118,0.096,0.258,6.69600023483929e-12
"AC020916.1",6.67576246485478e-16,-3.23668237142699,0.038,0.175,2.4433958197615e-11
"JUN",8.2434437963813e-16,-3.28134606945013,0.127,0.286,3.01718286391352e-11
"DUSP1",2.74439472199253e-15,-1.8265217919827,0.366,0.52,1.00447591219649e-10
"ISG20",5.2816824273958e-15,-0.597341054752191,0.543,0.722,1.93314858525114e-10
"PIK3IP1",6.2460204947764e-14,-0.920671742775688,0.313,0.492,2.28610596129311e-09
"HBB",9.20010009955178e-14,-0.508900610380442,0.474,0.605,3.36732863743695e-09
"TMIGD2",9.41562704217911e-14,-1.11855188443835,0.183,0.36,3.44621365370798e-09
"CD7",5.06984189984301e-13,-0.466335336955299,0.748,0.87,1.85561283376154e-08
"CCND3",5.42995401003706e-13,-0.613569296159371,0.555,0.708,1.98741746721366e-08
"CCL4",5.83759950543596e-13,-1.10697219734059,0.639,0.775,2.13661979498462e-08
"KLRD1",7.15107437927792e-13,-0.440790365187063,0.767,0.87,2.61736473355951e-08
"NFKBIA",1.17897544312807e-12,-1.43812366584004,0.539,0.647,4.31516801939305e-08
"HLA-DPB1",1.50880335043117e-11,0.875240015049794,0.517,0.385,5.52237114291314e-07
"CDKN2D",1.7235071005754e-11,0.747257960654036,0.579,0.429,6.30820833881601e-07
"KLF6",7.04895998895117e-11,-1.6501562902481,0.341,0.468,2.57998984555602e-06
"IRS2",2.51702249023259e-10,-1.27794042590284,0.13,0.267,9.21255401650029e-06
"MYOM2",2.83307341252906e-10,-0.631901251283937,0.368,0.519,1.03693319971976e-05
"SRGN",7.5444999485367e-10,-0.290153740006955,0.918,0.965,2.76136242616392e-05
"IL7R",1.19770292489213e-09,-1.15065498895196,0.187,0.327,4.38371247539769e-05
"IFITM1",1.53178455627075e-09,0.764545684635727,0.539,0.415,5.60648465440658e-05
"PARP8",5.99923696862148e-09,-0.481168992048028,0.387,0.55,0.000219578072288515
"CEBPD",7.14290782425439e-09,-0.713382412788563,0.342,0.481,0.000261437569275535
"SMAP2",1.13545808001661e-08,-0.471530468206491,0.526,0.66,0.000415589011866878
"MYADM",1.31770311843375e-08,-2.083335486471,0.08,0.179,0.000482292518377935
"NR4A2",1.52301165252615e-08,-1.68086947632044,0.163,0.275,0.000557437494941097
"CYTIP",3.01137056980305e-08,-0.474621580387241,0.505,0.653,0.00110219174225361
"TRDC",4.81113621426971e-08,0.522328531538601,0.592,0.488,0.00176092396578486
"CD55",4.99489342479394e-08,-0.610780432627161,0.241,0.386,0.00182818094240883
"EMB",5.14738492946891e-08,-0.544769961123667,0.495,0.627,0.00188399435803492
"CD69",5.20189741708592e-08,-0.630310637390652,0.467,0.594,0.00190394647362762
"DDIT4",5.27625961495991e-08,-0.449439984453136,0.606,0.705,0.00193116378167148
"B4GALT4",5.3600391430307e-08,-1.18003807759233,0.108,0.218,0.00196182792674066
"B3GNT7",6.73805478487345e-08,1.32269056827551,0.159,0.072,0.00246619543181153
"SYTL3",9.82357022086273e-08,-0.533854948183885,0.445,0.585,0.00359552493653797
"AC007952.4",1.24237578864611e-07,-2.29968542353154,0.079,0.168,0.00454721962402363
"PMAIP1",1.45684859967009e-07,-1.20175718277885,0.183,0.298,0.00533221155965249
"PRDM1",1.72638936304009e-07,-0.609089919653438,0.349,0.475,0.00631875770766305
"IL2RB",1.87433666709121e-07,0.604098932364457,0.644,0.579,0.00686025963522052
"EIF2AK2",2.06112994573057e-07,0.847782647750321,0.279,0.169,0.00754394171436845
"CSRNP1",2.62197110385668e-07,-1.61347876464552,0.072,0.159,0.00959667643722583
"KIR2DL4",3.65924377111162e-07,-1.83839484681635,0.036,0.108,0.0133931981266456
"ISG15",6.324173142249e-07,0.757727533790368,0.418,0.311,0.0231471061179455
"HSPA8",6.41194388147869e-07,-0.328373972359964,0.572,0.706,0.0234683558006002
"EMP3",8.28939592988787e-07,0.37857990322741,0.824,0.755,0.0303400180429826
"SUB1",8.63566512400879e-07,0.283935991620222,0.89,0.851,0.0316073979203846
"PPP1R10",8.81550689440535e-07,-0.957363421990421,0.202,0.311,0.032265636784213
"DUSP2",8.98747265891008e-07,-0.40290824975735,0.555,0.689,0.0328950486788768
"AC044849.1",9.37679521529818e-07,-1.22848209006795,0.101,0.193,0.0343200081675129
"MAPK1",1.6572439521563e-06,-0.563082884575463,0.408,0.525,0.0606567858928728
"LINC-PINT",2.66675358231314e-06,-0.941024980585479,0.318,0.407,0.0976058478662433
"KLF9",2.96092603122115e-06,-0.992118260906557,0.12,0.212,0.108372853668725
"IFRD1",3.1147929539578e-06,-1.56790252838039,0.128,0.217,0.114004536907809
"SLA",3.1252833339239e-06,-0.657826902123698,0.248,0.359,0.114388495304949
"CAVIN2",3.66763263985184e-06,0.731217054183373,0.173,0.089,0.134239022251217
"HBA2",3.92394792313941e-06,-0.519366029428011,0.116,0.209,0.143620417934826
"AKAP13",4.26031673929938e-06,-0.406776082526431,0.587,0.681,0.155931852975097
"ARL4A",4.45232150717208e-06,-1.73953607202089,0.057,0.128,0.162959419484005
"GSAP",4.61755154517938e-06,-0.820458852930002,0.166,0.266,0.169007004105111
"BAZ2B",5.39364846406754e-06,-1.02249564882788,0.08,0.163,0.197412927433336
"IGHM",6.32537984507544e-06,1.37926677588491,0.106,0.045,0.231515227709606
"PRR5",6.52613675846344e-06,-0.582961575143067,0.137,0.235,0.23886313149652
"SRSF2",7.85312945831793e-06,-0.515021511658987,0.512,0.609,0.287432391303895
"CD52",8.57380078155755e-06,0.516521308990095,0.652,0.581,0.313809682405788
"SET",9.46901243819213e-06,0.301776038875832,0.872,0.827,0.34657532425027
"NIBAN1",1.10730058011703e-05,-0.713148334974279,0.193,0.295,0.405283085328635
"ETS1",1.1093956423812e-05,-0.271086389613629,0.805,0.863,0.406049899067942
"LRRC8C",1.11616216284963e-05,-1.21997290997091,0.079,0.153,0.408526513224594
"SYNE1",1.11862089245853e-05,-0.34051259024568,0.565,0.684,0.409426432848746
"KIR2DL1",1.20083681128507e-05,-1.11998119687589,0.06,0.131,0.43951828129845
"ATP5IF1",1.26744501914941e-05,0.335304499443785,0.721,0.655,0.463897551458876
"TLE1",1.46977126483969e-05,-0.616463927470698,0.247,0.35,0.537950980643976
"YPEL5",1.57687938232096e-05,-1.06235128796358,0.372,0.44,0.577153622723296
"GNLY",1.70766006137678e-05,0.446440233146096,0.861,0.849,0.625020659064514
"NFIL3",1.77111906626933e-05,-0.648087102469428,0.166,0.266,0.648247289445239
"SMAD7",1.96284020558888e-05,-0.842907227192514,0.207,0.303,0.718419143647587
"AC004687.1",2.13062146414682e-05,0.467086319603259,0.483,0.381,0.779828762092376
"KIR3DL1",2.25418682219381e-05,-1.03022448580237,0.053,0.119,0.825054918791156
"DDX3X",2.38144403195908e-05,-0.628093088955969,0.505,0.585,0.871632330137341
"CCL3L1",2.9295445900337e-05,0.532394785484412,0.158,0.088,1
"OSTC",3.38366419961877e-05,-0.467721453226775,0.308,0.415,1
"CCL3",3.42340426680336e-05,-1.45571704302006,0.199,0.293,1
"AC092821.3",3.67868784324323e-05,0.480576238508981,0.404,0.304,1
"CCNL1",3.76151194913701e-05,-0.616719360162673,0.473,0.554,1
"IKZF1",4.40531765156374e-05,-0.401858807076655,0.56,0.644,1
"PTGDS",4.67403441785849e-05,-0.805421665350795,0.151,0.235,1
"RSRP1",5.12518852013688e-05,-0.733337699025093,0.443,0.501,1
"SAMHD1",5.24487824893499e-05,-0.380694114536139,0.437,0.538,1
"GRASP",5.59013198017242e-05,-1.26096598704903,0.07,0.136,1
"CRYBG1",5.84887515679995e-05,-0.701911636319095,0.156,0.242,1
"XCL2",5.97673971872302e-05,-0.455226142332331,0.274,0.38,1
"KDM6B",6.38647634022912e-05,-1.77533074861619,0.058,0.118,1
"XAF1",6.71900056799649e-05,0.558078908707809,0.296,0.209,1
"TPM3",7.00229751513445e-05,0.271519263265805,0.873,0.858,1
"SELL",7.64570080336356e-05,0.447594308598306,0.289,0.198,1
"C1orf56",7.64741495952323e-05,0.521965070653203,0.546,0.458,1
"KLRG1",8.19974510152733e-05,-0.525687440287171,0.202,0.298,1
"PTGER2",8.83943429874528e-05,-0.50616003314918,0.171,0.264,1
"S100A4",9.2792246220453e-05,0.269819931295578,0.952,0.95,1
"RGS1",9.64896385294129e-05,-1.40019108045136,0.067,0.128,1
"ZBTB16",0.000100052107123728,-0.625140884960316,0.224,0.319,1
"AL499604.1",0.000100871051844611,-0.830012058694286,0.142,0.22,1
"VAV3",0.000103520955761145,-0.563784178455228,0.233,0.327,1
"SERTAD1",0.000104511267921232,-0.860475355415778,0.098,0.169,1
"CHM",0.000107807243375421,-1.08696481120819,0.058,0.119,1
"PLIN2",0.00011051091609833,-0.999136171069484,0.103,0.173,1
"CHD2",0.000124783272383845,-0.512182088492374,0.334,0.423,1
"YPEL1",0.000137967341677677,-0.557524028399025,0.154,0.237,1
"TMEM50A",0.000151439052304235,0.382001174636462,0.524,0.437,1
"POMP",0.000161296563437605,0.308977621652252,0.646,0.571,1
"NDUFA1",0.000180540761414029,0.329005266595731,0.7,0.637,1
"COX5B",0.000201439297283321,0.281620520727619,0.757,0.695,1
"ZNF350",0.000209129672834959,0.664090651866077,0.197,0.124,1
