"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC020916.1",3.72157887152326e-17,2.97567256910309,0.175,0.048,1.36213508276623e-12
"JUND",3.30224977582888e-14,1.05477384203963,0.802,0.757,1.20865644045113e-09
"METRNL",1.40438192801475e-12,-0.74448002014867,0.542,0.658,5.1401782947268e-08
"DDX5",3.43446979563721e-12,0.297096276054569,0.977,0.983,1.25705028990118e-07
"CSRNP1",4.20156015271003e-12,2.17547668942743,0.159,0.057,1.5378130314934e-07
"NR4A2",6.05882569268852e-12,1.85331998390867,0.275,0.153,2.21759079178092e-07
"JUN",3.3823942478917e-11,1.90957791403854,0.286,0.165,1.23799011867084e-06
"IFITM1",5.06228461604298e-11,-0.718849584785409,0.415,0.555,1.85284679231789e-06
"MYADM",6.76333033612541e-11,2.0923140821208,0.179,0.078,2.47544653632526e-06
"KLF6",1.7042417326174e-10,1.54525188344664,0.468,0.37,6.23769516555295e-06
"NFKBIA",4.6156025377576e-10,1.28502368843855,0.647,0.596,1.68935668484466e-05
"PPP1R15A",5.37819997823878e-10,1.66599517075142,0.258,0.151,1.96847497403518e-05
"AKNA",6.36218499272907e-10,-0.522075403204921,0.506,0.645,2.32862332918877e-05
"DDIT4",4.38114825772791e-09,-0.451226198148936,0.705,0.8,0.000160354407381099
"GIMAP7",4.64655560130029e-09,-0.401712088753844,0.534,0.677,0.000170068581563192
"FOSB",8.69957445996258e-09,1.65254252269782,0.199,0.103,0.00031841312480909
"KDM6B",2.24337459834043e-08,2.05857259089384,0.118,0.045,0.000821097536738579
"FOS",3.11768591662706e-08,2.30824820168399,0.308,0.222,0.00114110422234467
"IFNGR1",5.85474261227376e-08,-0.7187702062004,0.34,0.447,0.00214289434351832
"CNOT6L",8.20878266595237e-08,-0.492813911164035,0.52,0.624,0.00300449654356523
"FKBP5",1.17333037269717e-07,-0.410029049451967,0.585,0.696,0.00429450649710893
"YPEL5",1.36954770226526e-07,1.14860924104036,0.44,0.36,0.0050126815450611
"SYTL3",1.48145436696436e-07,-0.417606091020597,0.585,0.689,0.00542227112852625
