"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RSAD2",1.68166096399367e-29,1.63069987796643,0.421,0.135,6.15504729431322e-25
"IFI44L",1.34869488626796e-25,1.68800526696456,0.317,0.085,4.93635815322936e-21
"IFIT1",3.34715716462477e-21,1.70790265289595,0.337,0.12,1.22509299382431e-16
"FKBP5",1.86474370820336e-20,2.40045559682385,0.251,0.069,6.8251484463951e-16
"ISG15",1.73384375696582e-19,1.82018711573354,0.412,0.188,6.34604153487058e-15
"MX1",2.89065146713071e-19,1.31200649302575,0.41,0.178,1.05800734348451e-14
"SOD2",1.16733436469735e-18,-0.734657624233019,0.777,0.89,4.27256050822879e-14
"HERC5",1.38548448055314e-18,1.43989110571505,0.376,0.161,5.07101174727256e-14
"LY6E",2.08013721937207e-18,1.88230311300698,0.294,0.104,7.61351023662372e-14
"IRS2",1.72688513938657e-15,1.20062972784148,0.424,0.213,6.32057229866879e-11
"G0S2",1.97739816469237e-13,-0.731712117056489,0.622,0.775,7.23747502259054e-09
"XAF1",4.70915895219407e-13,1.40094921169982,0.351,0.18,1.72359926809255e-08
"IFIT2",4.78579673805414e-13,1.33233440276297,0.437,0.258,1.75164946409519e-08
"IFIT3",5.53596253143975e-13,1.01313171083142,0.472,0.278,2.02621764613226e-08
"OAS3",7.97498599282636e-13,1.79606471983137,0.173,0.051,2.91892462323438e-08
"EPSTI1",2.3203702025709e-12,1.65347513836432,0.226,0.087,8.49278697842976e-08
"ZC3HAV1",2.55611809082827e-12,1.58378675169286,0.303,0.144,9.35564782424054e-08
"IFI44",3.32920195569102e-12,1.8991632286203,0.173,0.053,1.21852120780247e-07
"ZFP36L2",1.4418061269143e-11,0.944313345577901,0.46,0.278,5.27715460511903e-07
"PTPRC",2.19331640669505e-11,-0.452223277344941,0.847,0.894,8.02775738014454e-07
"CMPK2",1.01440177679758e-10,1.89174777103187,0.123,0.03,3.71281194325681e-06
"EIF2AK2",1.236400611812e-10,1.22175081096654,0.287,0.14,4.52534987929312e-06
"DUSP6",3.19112461818062e-10,-1.47495702385464,0.144,0.295,1.16798352150029e-05
"TXNIP",3.65376176623885e-10,0.593405095456037,0.815,0.727,1.33731334406108e-05
"IFI6",1.19112859198495e-09,1.30062812580007,0.251,0.12,4.35964975952411e-05
"IFIT5",2.20224966043541e-09,1.33216998814586,0.175,0.066,8.06045398215965e-05
"OAS2",3.2988293138757e-09,1.92926080337648,0.123,0.036,0.000120740451717164
"ZFP36L1",3.39445466535456e-09,-0.74623469493275,0.581,0.674,0.000124240435206642
"PTGS2",7.72116082339394e-09,-0.568436610485158,0.638,0.749,0.000282602207297042
"PF4",8.16305490355915e-09,-1.35665132540482,0.182,0.324,0.000298775972525168
"TAGLN2",2.37551684899191e-08,-0.701733248592489,0.494,0.621,0.000869462921899528
"MTRNR2L1",3.07523244112707e-08,-2.462117920412,0.039,0.136,0.00112556582577692
"FTH1",3.22168599712162e-08,-0.327638531929702,0.968,0.989,0.00117916929180649
"MT2A",3.66075425455606e-08,1.42248601537837,0.232,0.117,0.00133987266471006
"AIF1",3.83955324637772e-08,-0.816666030685721,0.342,0.478,0.00140531488370671
"IRF1",1.16552113545625e-07,-0.572008992363949,0.492,0.611,0.00426592390788343
"MIDN",2.35770679455663e-07,-0.749090781221603,0.417,0.534,0.00862944263875673
"PELI1",3.08288175537428e-07,0.731574033865742,0.51,0.373,0.0112836555128454
"SRGN",3.50233148470078e-07,-0.337692344745865,0.872,0.944,0.0128188834671533
"NIBAN1",1.08274219630912e-06,-0.526098508032694,0.533,0.644,0.0396294471271101
"SAMSN1",1.10778558317008e-06,1.07453082101121,0.282,0.165,0.040546060129608
"PDE3B",1.15397329070358e-06,1.04068929555878,0.194,0.097,0.0422365764130418
"HLA-A",1.50775821851493e-06,-0.359146593835282,0.77,0.82,0.0551854585558651
"DDX60L",1.57562126471679e-06,0.704267216715514,0.339,0.209,0.0576693139098994
"CPPED1",4.63758958106577e-06,-0.688964959618516,0.374,0.482,0.169740416256588
"VASP",4.85022898490751e-06,-0.710295806199396,0.467,0.551,0.1775232310766
"SNHG8",5.15136620936158e-06,1.214201671141,0.162,0.08,0.188545154628843
"LRRK2",5.2141931304967e-06,-0.450317052244751,0.451,0.577,0.19084468276931
"ZCCHC2",5.46428180097734e-06,0.872874471103728,0.216,0.118,0.199998178197572
"TRIM38",5.88661778915663e-06,0.558137604958965,0.314,0.194,0.215456097700922
"LYN",6.45368173715165e-06,-0.434040047694943,0.549,0.663,0.236211205261487
"EPB41L4A-AS1",8.14263954941506e-06,1.59980988685138,0.116,0.048,0.298028750148141
"TLR2",8.20941615492786e-06,0.629409810228644,0.369,0.244,0.300472840686515
"S100P",8.74640162665754e-06,1.18117705289894,0.148,0.07,0.320127045937293
"CYTIP",9.03111460299012e-06,0.803986366683094,0.317,0.204,0.330547825584041
"AMPD2",1.04364269117701e-05,-1.15832239561734,0.128,0.223,0.381983661397696
"LRRFIP1",1.04667157154272e-05,-0.626549252376786,0.556,0.62,0.383092261900352
"PTAFR",1.09864151211939e-05,-0.86893086527732,0.171,0.277,0.40211377985082
"RPS19",1.22781005242161e-05,0.596370788358092,0.41,0.287,0.449390757286832
"CD14",1.55026757581592e-05,-1.14356156427086,0.103,0.196,0.567413435424385
"CLEC4E",1.56010228292156e-05,0.867464902615875,0.223,0.127,0.571013036572119
"OASL",1.80382099914699e-05,0.53670392487945,0.175,0.089,0.660216523897789
"RPS27",1.82798975616315e-05,0.841899797391262,0.519,0.415,0.669062530653275
"SNX10",1.9082682210301e-05,-0.942505965247177,0.194,0.291,0.698445251579227
"OSBPL9",2.0199083777566e-05,1.23524237234028,0.109,0.046,0.739306665342694
"ELL2",2.63985132800123e-05,0.954509088100753,0.118,0.052,0.96621198456173
"SERPINA1",2.69565565804923e-05,-0.576873719700318,0.335,0.448,0.986636927402598
