"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RSAD2",1.31142164641571e-42,8.50605515956904,0.421,0.006,4.79993436804615e-38
"IFIT3",6.70549406640454e-34,3.90441070882333,0.472,0.092,2.45427788324472e-29
"MX1",7.80359617436783e-33,4.2009564229098,0.41,0.047,2.85619423578037e-28
"HERC5",2.43380201887131e-32,4.75052230342948,0.376,0.028,8.90795876927089e-28
"IFIT2",2.72300747259869e-30,3.88302561126687,0.437,0.084,9.96647965045848e-26
"IFI44L",9.67252828789659e-30,7.33662356113122,0.317,0.008,3.54024207865303e-25
"IFIT1",1.33186944209664e-29,5.12520620724922,0.337,0.019,4.87477534501793e-25
"XAF1",3.09627918136746e-27,4.29217093406629,0.351,0.042,1.1332691431723e-22
"ISG15",1.7679758013175e-26,4.35607483393896,0.412,0.095,6.47096823040219e-22
"RNF213",1.53461369481261e-19,1.67434779846466,0.622,0.318,5.61683958438362e-15
"LY6E",2.35059969125362e-17,3.94723879691605,0.294,0.067,8.60342992995738e-13
"EIF2AK2",1.90659312141568e-15,2.73149974472057,0.287,0.07,6.97832148369353e-11
"IFI6",3.01022782910368e-15,3.37146730189039,0.251,0.05,1.10177348773024e-10
"OAS3",8.57474039221252e-15,5.05632072446991,0.173,0.008,3.1384407309537e-10
"ADAR",2.38951622271216e-14,1.37315670516428,0.538,0.284,8.74586832674877e-10
"IFI44",3.36777230975526e-14,4.5348786010165,0.173,0.011,1.23263834309352e-09
"EPSTI1",5.73783486655731e-14,3.38413865363917,0.226,0.042,2.10010493950864e-09
"IFITM3",4.17229975779579e-13,2.02795321259984,0.394,0.178,1.52710343435084e-08
"IFIT5",2.16151652663964e-12,3.76856904890702,0.175,0.022,7.91136663915375e-08
"OASL",2.88345778075987e-12,3.23036890755062,0.175,0.022,1.05537438233592e-07
"CMPK2",6.33507820403085e-12,9.06352077977209,0.123,0,2.31870197345733e-07
"TMEM123",2.08331232282899e-11,1.70558918218991,0.371,0.164,7.6251314327864e-07
"PLSCR1",9.57936008383983e-11,2.24661854125906,0.228,0.064,3.50614158428622e-06
"MX2",1.45822742021959e-10,1.23582300795358,0.565,0.368,5.33725818074573e-06
"TRIM22",5.03996477221001e-10,2.58613562296789,0.248,0.089,1.84467750627659e-05
"SAMD9",7.33206300261097e-10,1.81728560182094,0.303,0.128,2.68360837958564e-05
"ZCCHC2",1.12282014078004e-08,2.19090946384856,0.216,0.075,0.000410963399726903
"STAT1",2.25717719036213e-08,1.10706506154634,0.335,0.164,0.000826149423444442
"APOL6",2.64379797696337e-08,1.95611833400877,0.23,0.086,0.000967656497548362
"PARP14",2.7515442259528e-08,1.35488670209874,0.296,0.134,0.00100709270214098
"OAS2",3.73394369235794e-08,3.12902830805559,0.123,0.019,0.00136666073083993
"MT2A",6.6301633254652e-08,2.68028758718902,0.232,0.097,0.00242670607875352
"TRIM38",1.17069938001193e-07,1.12380825802034,0.314,0.153,0.00428487680078165
"HOTAIRM1",1.62118182846412e-07,2.07046160743915,0.191,0.067,0.00593368761036153
"SHISA5",2.07199903249957e-07,1.91320671073579,0.203,0.075,0.00758372365885166
"FTH1",2.71073302044831e-07,-0.470967638691983,0.968,0.989,0.00992155392814284
"FTL",3.81553951060888e-07,-0.481596685436071,0.852,0.916,0.0139652561627796
"ZC3HAV1",6.65692442549892e-07,1.4937976612871,0.303,0.162,0.0243650090897686
"DDX60L",8.38521040243032e-07,1.16435052543081,0.339,0.187,0.0306907085939352
"SAMD9L",9.21539663586729e-07,2.23718032309678,0.153,0.047,0.0337292732269379
"NUB1",9.24038385292974e-07,1.56322958882429,0.21,0.086,0.0338207289401082
"TALDO1",1.23224086292204e-06,-0.770329057602331,0.403,0.552,0.0451012478238097
"HBA1",1.36637418550656e-06,-1.04344974094229,0.027,0.111,0.0500106615637256
"HELZ2",1.46055489813912e-06,1.61254632620375,0.162,0.053,0.05345776982679
"MT-ND3",1.74624812095229e-06,1.03790590526421,0.642,0.529,0.0639144274749747
"PARP9",3.91272041562429e-06,1.27391014921095,0.223,0.1,0.143209479932265
"S100A8",4.35808613463692e-06,-0.558032449659906,0.647,0.774,0.159510310613846
"PPBP",5.07895332343774e-06,-1.1342654251678,0.187,0.32,0.185894770591145
"FCER1G",1.13325781225236e-05,-0.941457486704102,0.219,0.348,0.414783691862487
"AIF1",1.19668228357867e-05,-0.755098973836617,0.342,0.474,0.437997682612627
"RNASET2",1.27440183168261e-05,-0.783499862821369,0.385,0.504,0.466443814414154
"TNFSF13B",1.53960284606666e-05,1.13292160977735,0.31,0.184,0.563510037688859
"DDX58",1.74164795256586e-05,1.55870949714859,0.18,0.078,0.637460567118631
"STAT2",1.92529070196674e-05,1.74179340341999,0.141,0.05,0.704675649826847
"S100A9",2.20438711725668e-05,-0.452294455962802,0.708,0.819,0.806827728787118
"CAP1",2.28509493462797e-05,-0.626995305360874,0.44,0.563,0.836367597023184
"IFI16",2.52956458954699e-05,1.03712612777352,0.367,0.237,0.925845935420095
"SAT1",3.6603733481155e-05,0.600478167331063,0.957,0.919,1
"ZDHHC18",4.2883830050004e-05,-0.857645051361023,0.144,0.259,1
"MEGF9",5.32998508207019e-05,-0.749081294160295,0.226,0.351,1
"PFN1",8.35549475491765e-05,-0.73911665059763,0.451,0.535,1
"ZBP1",8.55095812553522e-05,2.14726126806605,0.114,0.039,1
"TMSB10",9.1478374366339e-05,0.391169416936863,0.497,0.343,1
"EFHD2",9.17465355044399e-05,-0.486752640121892,0.38,0.524,1
"SNHG8",9.35071908272916e-05,1.519404208857,0.162,0.072,1
"USP25",0.000102009083594375,1.68284707326194,0.141,0.058,1
"GBP1",0.000146059571111152,1.138992484594,0.194,0.097,1
"TYROBP",0.000147429864918441,-0.481516518732348,0.451,0.571,1
"IRF9",0.000163471328143164,0.911511120000502,0.241,0.136,1
"SERPINA1",0.000170290146962169,-0.578579138449477,0.335,0.462,1
"SLFN5",0.000171758212117569,1.4180403886773,0.15,0.067,1
"CLIC1",0.000172453976657519,-0.809521189352992,0.262,0.368,1
"LSP1",0.000190916238349571,-0.753992459716218,0.405,0.504,1
"TAP1",0.000197790593472238,0.937495185404952,0.187,0.092,1
"TNFSF10",0.000217374228838488,1.39784764128127,0.241,0.145,1
"NSRP1",0.000220230217847029,1.83484417261266,0.114,0.042,1
"AC083862.3",0.000227493030434303,1.44766986425787,0.175,0.089,1
"DTX3L",0.000227813148169997,1.30893490175796,0.146,0.064,1
"SERF2",0.000228603667353037,-0.730819678347727,0.392,0.479,1
"ITM2B",0.000240556930843973,-0.329546947585259,0.763,0.838,1
"MYO1F",0.000259802636799381,-0.472774199389659,0.569,0.66,1
"YTHDC1",0.000275190994843494,0.695747247678274,0.253,0.145,1
"OSBPL9",0.000292700653229561,0.783716972142207,0.109,0.039,1
"S100A6",0.000328348794814914,-0.631786419730163,0.554,0.624,1
"DRAP1",0.00033516543770237,1.49039556185164,0.205,0.117,1
"IFITM1",0.000337651732525654,0.802586059975666,0.164,0.078,1
"EIF3M",0.000362423246886269,0.98729249711916,0.146,0.067,1
"BASP1",0.000365380768544305,-0.510337216555186,0.451,0.563,1
"IL1R2",0.000420401881018756,-0.319713458544692,0.419,0.535,1
"C1GALT1",0.000439126597850443,1.26824253897736,0.114,0.045,1
"RCAN3",0.000445180665295902,1.05335974469956,0.128,0.053,1
"ZNFX1",0.000460697492952621,0.894501479052319,0.221,0.125,1
"MTRNR2L1",0.00049985479489395,-1.44723678112949,0.039,0.1,1
"HSH2D",0.000510724135895612,0.809743500045484,0.189,0.1,1
"ACOT9",0.000529447070542902,1.82749529387644,0.125,0.056,1
"MSN",0.000549447309575496,-0.746422944558544,0.353,0.443,1
"BIRC3",0.000586242749475,0.920140210052704,0.137,0.061,1
"ACSL1",0.000600659824371427,-0.649461998387935,0.296,0.398,1
"AC016831.5",0.000657672555610065,-0.850472276726305,0.166,0.259,1
"LARP7",0.000670392820033183,1.03563244257725,0.128,0.056,1
"CSNK1A1",0.000710847185544187,-0.955079938183211,0.2,0.292,1
"TNFAIP3",0.00071164257930563,0.905035982871803,0.282,0.181,1
"CCR7",0.000732331262254263,1.65306026580441,0.109,0.045,1
"MIDN",0.000754355697094314,-0.611235742814997,0.417,0.513,1
"CNTNAP3",0.000792778556042815,-1.54358586858611,0.041,0.1,1
"DHRS7",0.000807265814625853,-1.01603761695939,0.144,0.228,1
"TRAC",0.000922667899143534,1.04841175992529,0.15,0.075,1
"PTAFR",0.00100211563715529,-0.735897316844025,0.171,0.262,1
"RPS27",0.0010143434858482,0.797328149305043,0.519,0.426,1
"LILRB3",0.00121439411622357,-0.668843574439131,0.367,0.448,1
"RAC1",0.00123545305883933,-0.644205976375869,0.305,0.396,1
"HNRNPA3",0.00147350909954716,0.531940011429665,0.38,0.276,1
"PLAUR",0.00152184139997714,0.345859013696729,0.451,0.326,1
"CAST",0.0016124996536081,0.880129706858951,0.235,0.148,1
"FLOT1",0.00175146705158789,-1.06473834322203,0.064,0.128,1
"JAML",0.00175162745400155,-0.500367153188631,0.289,0.393,1
"NIBAN1",0.00185200009260774,-0.385470736491455,0.533,0.632,1
"ABTB1",0.00206371562339716,-0.49775760398228,0.241,0.34,1
"SRA1",0.00211938062104694,-0.72962493826138,0.048,0.106,1
"CD83",0.00213421766695137,0.824346463953566,0.116,0.053,1
"AKAP13",0.00224187293304391,-0.817017734650118,0.285,0.359,1
"PLK3",0.00235321247213658,-0.707159638907151,0.194,0.281,1
"ARPC1B",0.00241630987704942,-0.789878733141045,0.41,0.482,1
"POLR2J3",0.00270879883104803,0.754729526324319,0.205,0.125,1
"KLHL24",0.00282872646528827,1.13496339613007,0.105,0.047,1
"S100A11",0.00283755744194565,-0.487780182861404,0.513,0.591,1
"LUCAT1",0.00285474613595065,-0.454440278256581,0.508,0.585,1
"PLEKHO2",0.00287072432674126,-1.17595652548248,0.075,0.136,1
"OSBPL8",0.0029183914006625,-0.367471352145428,0.305,0.404,1
"CLEC2D",0.00292665456814147,1.6095289850659,0.139,0.075,1
"SP100",0.00312458649213895,0.52096734875102,0.296,0.203,1
"CYP4F3",0.00313526800012332,-0.801075533444633,0.232,0.315,1
"APAF1",0.00327316959550056,-1.26777978137478,0.057,0.114,1
"RPL37A",0.0033470229581202,0.956830340631371,0.303,0.231,1
"SNX3",0.00335531604181035,-1.13577370133263,0.093,0.159,1
"LINC01001",0.00336806884932533,-1.15303174778352,0.077,0.139,1
"ELF1",0.00337444888956072,0.552352321403195,0.453,0.359,1
"CEBPD",0.00354382001526071,-0.35673579284797,0.394,0.501,1
"HMGN2",0.00357985365331031,0.376416370703476,0.301,0.203,1
"TSPO",0.00359109404583793,-1.07435363173336,0.185,0.256,1
"EIF3L",0.00366357151851409,0.789597552063663,0.13,0.067,1
"SAMHD1",0.00373202562078086,0.843352234285401,0.237,0.159,1
"MAPKAPK2",0.00373646215751212,-0.986509982565466,0.091,0.156,1
"RAB11FIP1",0.00384811573701713,-0.517516485177099,0.408,0.49,1
"LENG8",0.00410693031753961,0.365251921695896,0.15,0.081,1
"CCR1",0.00415332677908222,0.673274689086133,0.235,0.153,1
"BTG1",0.00416874394571834,-0.330850154439963,0.62,0.694,1
"CD63",0.00420858122731347,-0.682529972613188,0.169,0.248,1
"ANKHD1",0.00431910724451439,0.685430503028281,0.207,0.128,1
"GHITM",0.00440490406782982,0.600652203434839,0.148,0.081,1
"TCF25",0.00443756407651693,-0.600495676760623,0.282,0.365,1
"ZC3H15",0.00446813742451868,0.561790937939067,0.134,0.072,1
"POLR2A",0.004876806714163,-0.634045104912421,0.073,0.134,1
"MPZL1",0.00495966721001208,-1.49857604214042,0.05,0.1,1
"SNRPB2",0.00499493932084761,0.53252623839935,0.128,0.067,1
"GBP2",0.00513928479903046,0.404258615632306,0.396,0.304,1
"CAMK1D",0.00524552547821198,-0.912358103643042,0.114,0.181,1
"PHF20",0.00533502175987277,0.705330979485468,0.2,0.125,1
"BTN3A2",0.00536544574744179,1.24346463596473,0.114,0.058,1
"FPR2",0.00551071514972827,-0.655423362656531,0.194,0.276,1
"PHACTR1",0.00553905906697981,0.57868542677393,0.474,0.37,1
"ABHD5",0.00558371304410059,-0.448807912570166,0.399,0.485,1
"DUSP6",0.0057399063839402,-1.01686347960318,0.144,0.212,1
"TAGLN2",0.00583076378989707,-0.463215179537605,0.494,0.565,1
"BCL11B",0.00583242892498337,1.18338795405537,0.187,0.123,1
"IL1RN",0.00592497871248452,0.947526643478837,0.144,0.081,1
"STK40",0.006176221480218,-0.750989955738133,0.093,0.156,1
"MAP1LC3B",0.00623706299294615,-0.602626722844632,0.226,0.309,1
"CASP1",0.00633407015997082,1.11446553270044,0.134,0.075,1
"CD3G",0.00640608873597993,0.803612633425547,0.185,0.114,1
"SLC2A3",0.00642623376527633,-0.926432891118885,0.31,0.379,1
"PRKCQ-AS1",0.00650306442908668,0.966745334690454,0.141,0.081,1
"CD74",0.00651489266957593,1.03807267856644,0.18,0.114,1
"RPS29",0.00669163868546679,0.761433686970638,0.378,0.306,1
"MAML2",0.00687638945189844,0.668885460519216,0.166,0.1,1
"TCF7",0.00688126808442118,0.635401732595363,0.159,0.095,1
"LRCH4",0.00733994001751579,-1.31351559913831,0.093,0.15,1
"SMCHD1",0.00745096724537106,0.400576019007545,0.838,0.794,1
"PPIG",0.00745340680469357,0.469611586974983,0.212,0.136,1
"CERT1",0.00752202060172862,-1.0004402143806,0.091,0.15,1
"FBXL5",0.00764353766986185,-0.628204822023239,0.269,0.343,1
"GNAI2",0.00777037370960635,-0.368344150296661,0.442,0.521,1
"ITGB2",0.00780065367516964,-0.55125324673489,0.303,0.376,1
"S100A12",0.00785864158318025,-0.996690190264018,0.118,0.181,1
"EP300",0.00799811672871338,0.531484720523625,0.33,0.24,1
"SYNCRIP",0.00820063241934404,1.46611672921447,0.112,0.058,1
"FRAT2",0.00820472449270514,-0.939109589832237,0.137,0.201,1
"DCAF11",0.00825536929486777,1.51381548112932,0.103,0.053,1
"TNFRSF1B",0.00843531468121504,-0.349865732097271,0.44,0.521,1
"ZNF207",0.00852844962707388,0.391079310701098,0.219,0.145,1
"SMAP2",0.00884444710717967,-0.401247364941906,0.64,0.685,1
"IFNGR1",0.00903529875194942,-0.57035463147366,0.223,0.301,1
"ARHGEF40",0.00922189840151605,-0.68552838354218,0.071,0.125,1
"CD44",0.00932329551216262,-0.582097109648412,0.312,0.382,1
"SSU72",0.00954110985448221,0.499297060049797,0.198,0.128,1
"EPB41L4A-AS1",0.00955877400632327,1.22211777917577,0.116,0.064,1
"HIF1A",0.00978481443587952,0.362019559112602,0.542,0.443,1
"LRP10",0.00996263174940887,-0.374162753304507,0.31,0.396,1
"RPS17",0.00998147074960384,0.641228481461271,0.28,0.209,1
"CUL3",0.0101099664071994,0.596993908404501,0.205,0.134,1
"STK4",0.0102392574861021,-0.425130794223088,0.542,0.604,1
"TRAM1",0.0103749031319234,1.08722260307348,0.134,0.078,1
"BST2",0.0104863292368638,1.627439100859,0.121,0.07,1
"RAB10",0.0106768379731664,-1.02286591031301,0.075,0.128,1
"CYLD",0.010975250206379,0.476613687392,0.31,0.226,1
"SHFL",0.0110120522710682,1.24734814306622,0.112,0.061,1
"HNRNPR",0.0110952999337095,0.823410569997605,0.134,0.078,1
"CNOT6L",0.0117339319361543,0.580721152360123,0.178,0.111,1
"JUNB",0.0119185880138635,-0.399478514084744,0.567,0.621,1
"RBM47",0.0121257391163886,-0.611018774506122,0.196,0.265,1
"PUM1",0.0123206655134998,1.28983152380351,0.1,0.053,1
"U2SURP",0.0127748652350576,0.608604664181436,0.148,0.089,1
"FAM8A1",0.0128235963316864,0.447236319989155,0.146,0.086,1
"HINT1",0.0130133831452953,0.483085469737618,0.255,0.178,1
"HNRNPU",0.0131093505684953,-0.528602140456506,0.346,0.409,1
"KPNB1",0.0132473504622818,0.379531196936565,0.251,0.173,1
"PPP4C",0.0132705465761419,-0.821084522456287,0.148,0.209,1
"NAPA",0.0132880842139001,0.6085741824121,0.198,0.134,1
"COQ10B",0.0133537105934564,1.05524960477391,0.107,0.058,1
"HIST1H2AC",0.0134743035381363,0.412195657479829,0.241,0.164,1
"ZNF493",0.0136060151792665,-1.72204980698619,0.064,0.111,1
"REPS2",0.0136821580138317,-1.03470130237805,0.055,0.1,1
"PPP1CC",0.0136903867129169,0.578593447058356,0.132,0.078,1
"MKNK2",0.0137192146509024,-0.507105172501772,0.2,0.273,1
"GAPDH",0.0140372449922233,-0.791542181031785,0.253,0.312,1
"RPL36",0.0140776057472892,0.621931169512489,0.328,0.259,1
"ORMDL1",0.0141574984551885,0.884584140597575,0.132,0.078,1
"MACF1",0.0141782459785766,-1.13035564930366,0.114,0.17,1
"BBX",0.0143791046294255,0.416841518127639,0.109,0.058,1
"SIK3",0.0148717760787896,0.891631099438558,0.114,0.064,1
"DIAPH1",0.0148800691069223,-0.349176741500142,0.134,0.201,1
"RFLNB",0.014908864777893,-0.970329867157349,0.132,0.189,1
"GCC2",0.0150416429728224,0.430759335498352,0.237,0.167,1
"CYBA",0.0151047538401896,-0.460360546888206,0.417,0.465,1
"EIF5",0.0151397883657406,0.339896513941615,0.305,0.22,1
"PYCARD",0.0151846308359181,-0.781610914804752,0.144,0.206,1
"SORL1",0.0157280604604377,-0.272384587950208,0.752,0.777,1
"HNRNPL",0.0157794760837941,0.456917664325133,0.175,0.111,1
"MED10",0.0157927960204131,0.543586125576221,0.132,0.078,1
"RSL1D1",0.0160437923638231,0.498148502410001,0.112,0.061,1
"RPSA",0.0160605751828341,0.71612876147322,0.28,0.223,1
"OAZ1",0.0162073638878627,-0.336227053311546,0.62,0.677,1
"BRWD3",0.016372994259731,0.549938408252075,0.1,0.053,1
"VPS26A",0.0164270731310916,-0.924955022413778,0.064,0.111,1
"FMR1",0.0164646421154245,0.821902467446389,0.114,0.064,1
"ZNF708",0.0175924960051411,-1.43220722299839,0.059,0.103,1
"TRIM8",0.0177985694556826,-0.966228072691381,0.098,0.15,1
"JADE1",0.0178064914152294,0.727850899405877,0.116,0.067,1
"WAS",0.0178190840807305,-0.424924360201261,0.257,0.334,1
"ARHGDIB",0.0179648402179714,-0.314701210098583,0.451,0.515,1
"RCSD1",0.0179839964293395,0.767624000550816,0.219,0.156,1
"ATP6V1G1",0.0181236324457727,0.37722834495033,0.317,0.237,1
"RPL36A",0.0182236887467484,0.665977748251297,0.262,0.201,1
"SPEN",0.0184072111458755,0.670831792842942,0.162,0.103,1
"ZYG11B",0.0185709043276981,-0.701839929033637,0.062,0.109,1
"PET100",0.0189338583876927,0.36905296099289,0.253,0.181,1
"RPL27A",0.0189540168078502,0.497126312467925,0.344,0.273,1
"APBB1IP",0.0190816366222862,-0.697352909642756,0.226,0.284,1
"RSL24D1",0.0191775886885083,0.79750188453184,0.173,0.117,1
"MMP24OS",0.0196952896813737,-1.10539824255411,0.077,0.125,1
"TBL1X",0.0197464251367937,-0.520291291899041,0.175,0.24,1
"ACTR2",0.0197795460181312,-0.371161915851569,0.538,0.571,1
"AKAP9",0.0199676873373164,0.800192370662366,0.157,0.1,1
"MZT2A",0.0200031539333359,0.65779117837127,0.109,0.061,1
"CHMP2A",0.0200802601289124,-0.657015954225259,0.182,0.242,1
"ATP5IF1",0.0204076816022221,0.402647252576611,0.164,0.106,1
"MNT",0.0205229392802491,-0.916520737500812,0.059,0.103,1
"JAK1",0.0207038913594042,-0.344165590975877,0.424,0.49,1
"RPS21",0.0207146761347371,0.541663301179419,0.292,0.226,1
"DDX17",0.0207535711769634,0.326670182240933,0.538,0.448,1
"RPL9",0.0210480879574846,0.597917793893784,0.408,0.354,1
"SOS2",0.0213587800461243,-0.593623050218374,0.125,0.184,1
"CAMLG",0.0214612378790527,0.300074773769625,0.134,0.081,1
"ZFP36L2",0.0214720590788619,0.336781233146492,0.46,0.368,1
"FAM111A",0.0215820240345581,0.689004165747568,0.112,0.064,1
"EIF1AX",0.0216342826781093,0.34418290080996,0.171,0.111,1
"RPS20",0.022032498267126,0.606047441475547,0.31,0.248,1
"MGAT4A",0.0222095435536022,0.502112230724877,0.15,0.097,1
"CMTM6",0.0222686773812215,-0.43606868347602,0.376,0.443,1
"SNHG6",0.0222890376609174,0.521274434773034,0.219,0.159,1
"RPL32",0.0222931960870234,0.572813400603864,0.39,0.329,1
"VDAC2",0.0223933175577308,0.559799203450506,0.107,0.061,1
"RPS5",0.0225439556851875,0.463043572270066,0.301,0.231,1
"FAR1",0.0228779036624486,-1.08769112507389,0.123,0.173,1
"PIK3AP1",0.023107449280579,0.402732754332886,0.155,0.097,1
"RPS18",0.0232455134381517,0.394877734684601,0.344,0.267,1
"BACH1",0.0234270927327358,0.500552951336168,0.246,0.181,1
"LNPEP",0.0235304937526463,0.646449380353537,0.114,0.067,1
"RPL34",0.0235486992064652,0.572623559034461,0.428,0.37,1
"BRI3",0.0236268503558164,-0.569756067109178,0.271,0.334,1
"NOP53",0.0236277092242706,0.59982807020172,0.171,0.114,1
"PDLIM7",0.0238490800689822,-0.785692414759807,0.073,0.12,1
"VPS29",0.0241071363993986,0.457570097456101,0.125,0.075,1
"MBOAT7",0.0242287191941002,-0.351287325048024,0.323,0.39,1
"RPL18A",0.0243914485529889,0.423102723528404,0.339,0.273,1
"TTC3",0.0246401966232112,0.997981110889327,0.116,0.07,1
"MYL6",0.0248003059599717,-0.365566209546692,0.613,0.638,1
"SRRM2",0.0253177485660887,-0.536183621720445,0.358,0.407,1
"UBE2B",0.0253634853498817,-0.40662700075959,0.465,0.515,1
