"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL1R2",1.3616808360511e-45,-1.4711988503018,0.535,0.862,4.98388802803064e-41
"SLA",2.4975801565558e-36,-1.47275972139124,0.312,0.691,9.1413931310099e-32
"BTG2",6.74427951343e-27,1.40574588762677,0.63,0.371,2.46847374471051e-22
"FKBP5",3.22516375196377e-22,-1.13629376259925,0.265,0.57,1.18044218485626e-17
"CPD",5.5843479715671e-22,-1.16988979276856,0.323,0.609,2.04392720107327e-17
"SAMSN1",8.28458866968188e-22,-1.21281277612787,0.279,0.572,3.03224229899026e-17
"IL18R1",4.51658071568393e-20,-2.27373322999972,0.103,0.349,1.65311370774747e-15
"ASPH",3.15976405111668e-19,-2.31115743895241,0.078,0.311,1.15650524034922e-14
"PRKDC",1.22047626061284e-18,-1.52825722943804,0.178,0.425,4.46706516146907e-14
"IRAK3",1.26528698706878e-18,-1.64050692405853,0.153,0.408,4.63107690137045e-14
"PTGS2",6.26886314746764e-18,1.36339939866147,0.563,0.344,2.29446660060463e-13
"JUNB",1.14476944972375e-16,1.10798709879971,0.621,0.44,4.1899706629339e-12
"ASAH1",1.16362656984617e-16,-0.921335010682233,0.379,0.638,4.25898960829397e-12
"IRS2",3.95044595224513e-16,-0.847889920515851,0.359,0.619,1.44590272298124e-11
"RIPOR2",5.87225210684391e-16,-0.634024006366266,0.696,0.876,2.14930299362594e-11
"TLR2",1.23082140947509e-14,-0.890532407832519,0.365,0.606,4.50492944081979e-10
"SLC11A1",1.62219960484131e-14,-0.736103913420447,0.538,0.756,5.93741277367968e-10
"MTRNR2L1",1.46453531997118e-12,-1.85714181058168,0.1,0.277,5.36034572462651e-08
"KLF6",6.1088510588034e-12,-0.787632658396592,0.46,0.665,2.23590057603263e-07
"MNDA",1.028596023131e-11,0.84359144017046,0.749,0.694,3.76476430426177e-07
"ELF1",1.20043089933676e-11,-0.873919834257307,0.359,0.545,4.39369713466249e-07
"MBNL1",1.97824067495501e-11,-0.84732489204634,0.384,0.574,7.24055869440285e-07
"FGD4",3.13599217420097e-11,-1.22506238917861,0.095,0.27,1.1478044956793e-06
"IER2",5.01758221422242e-11,0.999339722097118,0.552,0.408,1.83648526622755e-06
"ERGIC1",2.52890804888666e-10,-0.927638872442771,0.242,0.429,9.25605634973007e-06
"IL1RAP",3.11554229055015e-10,-1.07605561763352,0.284,0.464,1.14031963376426e-05
"TMCC3",3.49208824906551e-10,-1.03379667763791,0.217,0.393,1.27813922004047e-05
"CD93",5.97583845653116e-10,-0.908986640169287,0.175,0.354,2.18721663347497e-05
"TSC22D3",6.56320889637196e-10,-0.491243106842282,0.563,0.734,2.4022000881611e-05
"MT-ND3",7.48733797211648e-10,-0.652253778873508,0.529,0.739,2.74044057117435e-05
"MT-CYB",1.30000107843851e-09,-0.342268058127089,0.657,0.848,4.75813394719279e-05
"MAN2A2",1.87421939725133e-09,-2.13601644790419,0.045,0.169,6.85983041587958e-05
"RESF1",2.02517739596356e-09,-0.597048001003007,0.568,0.727,7.41235178696621e-05
"AL034397.3",2.88255910229038e-09,-0.849089487970278,0.17,0.339,0.00010550454570293
"DAAM2",3.10641568363718e-09,-3.33655065844612,0.011,0.113,0.000113697920436804
"PHACTR1",3.24094879877038e-09,-0.694639828559564,0.37,0.555,0.000118621966983795
"NSMAF",5.55507147973561e-09,-1.57135905882126,0.061,0.189,0.000203321171229803
"SH3BP5",1.36869191865288e-08,-1.26383563004236,0.175,0.319,0.00050095492914614
"FOS",1.40291527237829e-08,0.663256494978146,0.699,0.58,0.000513481018843178
"HCLS1",1.6302126393096e-08,-0.602398794554202,0.415,0.579,0.000596674128113707
"G0S2",1.74547316975249e-08,0.846573999583743,0.643,0.573,0.000638860634861107
"ATP2B1",2.01434061982973e-08,-0.664405391452071,0.387,0.55,0.000737268810263881
"PCNX1",2.64964752228637e-08,-0.759914976308991,0.206,0.368,0.000969797489632034
"CD55",3.34528585448755e-08,-0.581883315957276,0.423,0.584,0.00122440807560099
"ALOX5AP",3.67073640881547e-08,-0.709299115813392,0.409,0.57,0.00134352623299055
"ZBTB16",3.81035790347168e-08,-1.61342358054629,0.095,0.222,0.00139462909624967
"FNIP1",4.14534462539944e-08,-0.665927058393383,0.212,0.374,0.00151723758634245
"USP10",4.26563473202561e-08,-1.14996360862595,0.109,0.245,0.00156126496826869
"SRGN",4.42479208868685e-08,-0.378863678020794,0.875,0.934,0.00161951815238027
"PHC2",5.99694557135384e-08,-0.816288457891359,0.253,0.415,0.00219494204857122
"B2M",6.94320906705006e-08,0.250547113399699,0.992,0.977,0.00254128395063099
"MT-CO2",7.17598764328134e-08,-0.270807248213839,0.872,0.959,0.0026264832373174
