"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",4.11592589996958e-09,1.25324048912792,1,0.991,0.000150647003864786
"LSM2",6.88024554166241e-05,-0.659388574541874,0.732,0.953,1
"RAB32",0.000119396531521651,-1.78590632437014,0.268,0.514,1
"STK17B",0.000137523366541196,1.88160747805358,0.75,0.533,1
"NBEAL1",0.000144208933802755,-1.31804185678785,0.143,0.486,1
"YWHAZ",0.000161754003976615,0.577343583279656,0.982,1,1
"METTL21A",0.000236055673616989,-1.60705624432387,0.107,0.383,1
"NSMCE3",0.000277570412282192,-1.15367849520778,0.196,0.523,1
"GAPT",0.000296818427908786,-1.05458045081729,0.304,0.636,1
"HIST1H4C",0.000316857199735902,-0.585874595813426,0.946,0.981,1
"PAGR1",0.000446421212025768,-1.22139241699664,0.196,0.467,1
"TSSC4",0.000489539349819628,-1.13720458934097,0.232,0.514,1
"CBX5",0.000498781134775612,-0.700655478526029,0.339,0.692,1
"FXYD7",0.000549423518531704,3.4489058426768,0.161,0.019,1
"ATPAF2",0.000588131198954801,-1.70515335397095,0.071,0.308,1
"CPPED1",0.000591550385393499,-1.71857355219525,0.268,0.533,1
"MTRNR2L1",0.000631838684703825,-0.815478405705067,0.214,0.486,1
"MAP3K8",0.000731102549604758,0.866224519290375,0.518,0.262,1
"SGK3",0.00078629277520473,-1.20704676098824,0.304,0.542,1
"NUDCD2",0.000839163180143893,-0.925675267051651,0.482,0.692,1
"CHD4",0.000856108453185229,-0.634092394380765,0.625,0.822,1
"BSPRY",0.000914465545582297,-1.38996500136703,0.054,0.28,1
"KDELR1",0.000939466482684188,-0.517891247651309,0.714,0.897,1
"CORO1B",0.00095328602484398,-1.13389675091015,0.268,0.505,1
"NFE2",0.00100213260252459,-0.832959543744193,0.321,0.589,1
"RSPRY1",0.0011681836030228,-1.47778315655609,0.125,0.374,1
"ZNF281",0.00117756285157626,-1.34038514493825,0.179,0.439,1
"MAT2B",0.00120985795464004,-0.793310395862245,0.375,0.617,1
"ITGB7",0.00122536967402499,1.50964310747222,0.268,0.075,1
"AC114760.2",0.00127761233577135,2.22441290851724,0.286,0.093,1
"BTN3A2",0.00128001582714651,-1.29174888970604,0.161,0.411,1
"DENND2D",0.00135635903504087,-2.74735941993403,0.018,0.196,1
"HAGH",0.00137678919206128,-1.31662088230055,0.143,0.374,1
"SYPL1",0.00142394039566901,-0.583742060539352,0.625,0.841,1
"ATP5MPL",0.0014589402769493,-0.485158758837974,0.857,0.944,1
"TNIP1",0.0014931874219207,-1.55012002588539,0.125,0.355,1
"SUV39H2",0.0014939548066826,2.31494462509002,0.214,0.056,1
"ZBTB43",0.00151594134834787,1.73440409356391,0.375,0.159,1
"STARD3NL",0.00159640110126741,-0.839393596449566,0.232,0.495,1
"XYLT1",0.00162597773693506,1.64223837992922,0.357,0.159,1
"ST8SIA6",0.00167201879358671,-1.25416401353795,0.25,0.505,1
"HCCS",0.00190345672040729,-1.74778415430554,0.054,0.252,1
"H3F3B",0.00192638691027487,0.375889475525562,1,1,1
"LRIF1",0.00209121071938812,-2.34735173416914,0.054,0.243,1
"AREG",0.00210458124263253,3.06977517882469,0.232,0.065,1
"CALM1",0.00213435736131639,0.501624778441967,0.929,0.907,1
"HADH",0.00217436925149143,1.3518808109057,0.518,0.29,1
"TCEA1",0.00227591292837164,0.493347611545908,0.911,0.916,1
"MOSPD1",0.00239880190203339,2.05091601025005,0.196,0.047,1
"DDIT4",0.00244647172350617,1.19762069662247,0.554,0.346,1
"TRAM2",0.0024512255943166,2.06289092810299,0.161,0.028,1
"MXD1",0.00258876199369871,1.13790677744536,0.429,0.215,1
"HDAC9",0.00264137996603247,1.48959708160369,0.304,0.121,1
"AC020910.5",0.00285356872285413,1.45957157334495,0.232,0.065,1
"AL121944.1",0.00286135061783913,-1.6056823562729,0.107,0.318,1
"TMEM173",0.00290995667996714,-0.634773378335615,0.446,0.738,1
"PEMT",0.00292027830671847,1.93036900635174,0.25,0.084,1
"RGPD5",0.00313969528370791,2.04620575943662,0.268,0.093,1
