"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AREG",3.28100938024766e-06,-1.93286752658651,0.232,0.606,0.120088224326445
"FKBP5",1.0749142744452e-05,-1.44277852325646,0.464,0.727,0.393429373589688
"B2M",1.13978977604881e-05,0.539834308226134,1,1,0.417174455931627
"RPS26",1.35703600602866e-05,0.826529111051457,1,0.985,0.49668874856655
"H3F3B",2.52053731561634e-05,0.506337806675759,1,1,0.922541862888738
"HLA-B",3.02030626393611e-05,0.6397269183898,1,0.977,1
"TSC22D3",3.34761659764168e-05,-1.05952380213047,0.821,0.917,1
"GLUL",4.33520833622224e-05,-1.02983496750775,0.571,0.818,1
"BCL3",4.91779368951998e-05,2.77720820098488,0.25,0.053,1
"CCND3",8.56194048564825e-05,-1.08585233511953,0.321,0.667,1
"NCF4",0.00010525400043558,-1.09675875732918,0.411,0.667,1
"ZBTB7A",0.00018675509473364,1.19897218137872,0.571,0.311,1
"FIG4",0.00022334766348304,2.55633508750876,0.232,0.053,1
"FRMD4A",0.000275829335567912,4.44021911530799,0.125,0.008,1
"TLE5",0.000309900365912086,0.577568196056005,0.982,0.909,1
"SLC4A1AP",0.000312092056815515,-2.18724320070808,0.089,0.333,1
"ST8SIA6",0.000328174799477363,-1.1056920776161,0.25,0.545,1
"SPACA6",0.000402877138730316,2.59338008217232,0.143,0.015,1
"BCAS3",0.000459270606111338,1.76983825334922,0.304,0.106,1
"KLF9",0.000510571489158642,-1.13728380735073,0.286,0.576,1
"HLA-C",0.000517599061984074,0.554297980459023,1,0.977,1
"CRYZ",0.000634296222492545,-2.14903288769776,0.036,0.25,1
"CST3",0.000645947398893149,-1.17107127525936,0.429,0.674,1
"TCEA1",0.000649734221948471,0.565037116218484,0.911,0.902,1
"YWHAZ",0.000685385471097367,0.49759038094837,0.982,0.955,1
"HBA2",0.00069088611264332,-4.29676114499735,0.107,0.341,1
"LTB",0.000853909938382942,1.6087033601436,0.554,0.326,1
"KLF3-AS1",0.000858277464778523,1.61926834405741,0.429,0.205,1
"TNIP1",0.000924097066227139,-1.45024859329651,0.125,0.371,1
"TP53I11",0.00100112153830766,2.73097971874879,0.196,0.045,1
"PER1",0.00102977664753583,-1.86533778447551,0.143,0.371,1
"TAFA2",0.00105653815383826,-1.88341221786035,0.089,0.311,1
"ST7-OT4",0.00105825363789904,3.04983728895315,0.107,0.008,1
"TMSB4X",0.00110087955219318,0.503115692431201,1,1,1
"MYB",0.0011457467657139,-0.778270100054689,0.339,0.598,1
"LY86",0.00124432164679742,2.8092717427989,0.161,0.03,1
"ZBTB16",0.00152525601666426,-1.20375562238421,0.286,0.553,1
"RC3H2",0.00153350915961615,0.980826812306432,0.554,0.333,1
"RPP30",0.00158470901806641,-1.30842146121512,0.179,0.417,1
"ID1",0.00164134875542449,-5.26275590596912,0,0.159,1
"PATL1",0.00171306381680567,1.40667117843904,0.321,0.129,1
"TMEM251",0.00180754939481846,-1.47988779467316,0.089,0.295,1
"FAM89B",0.00182652839611709,0.907528295443567,0.679,0.515,1
"METTL21A",0.00186159555921775,-1.54005410845536,0.107,0.326,1
"GLI4",0.00187792978144336,-2.14934539323287,0.036,0.22,1
"KDM1B",0.00193639955124936,-2.23130591267247,0.036,0.22,1
"TMEM41B",0.00196261305746169,1.37758573664436,0.482,0.28,1
"SLC25A6",0.00196865536382712,-0.359253591439648,0.946,0.977,1
"MX1",0.00199113682969251,1.8311705583868,0.25,0.083,1
"ARHGAP1",0.00205253545129342,1.39015893182242,0.429,0.242,1
"SPNS3",0.00206698148722759,1.55485709353655,0.375,0.182,1
"INTU",0.00214439350361461,1.47734701662927,0.214,0.061,1
"ATP13A3",0.00225870145384443,1.39233323443365,0.321,0.129,1
"LTC4S",0.00226910930646552,-1.43559638591365,0.107,0.341,1
"JUP",0.00235537620529038,0.925085175001962,0.554,0.356,1
"RCSD1",0.00239118066478519,-0.833602297558573,0.518,0.727,1
"COMMD1",0.00239994836866328,0.99737050245446,0.607,0.394,1
"DUS3L",0.00258238564418094,-1.92400732606696,0.036,0.212,1
"PRSS57",0.00259965917366822,-0.590172829981231,0.589,0.826,1
