"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RNF139",1.38555018219267e-05,1.08909072163621,0.5,0.261,0.507125222184338
"ID1",8.64162518275747e-05,4.74851875131392,0.159,0.022,1
"KLF4",9.28824489416684e-05,3.28434719212975,0.144,0.015,1
"TSPAN5",0.000102186781682467,2.56692708637447,0.205,0.052,1
"PCMTD1",0.000102309996027715,0.724505787443035,0.712,0.463,1
"DDX5",0.000118707143900197,0.352160594171498,0.992,0.985,1
"TIPARP",0.00022985033626694,1.95526288940789,0.333,0.157,1
"VCAN",0.000236439212960253,-3.00027390936136,0.015,0.134,1
"HIST1H2AL",0.000286257899237481,2.86639365572705,0.144,0.022,1
"SPCS2",0.000314124887837037,0.488080201014718,0.909,0.813,1
"HIST1H1E",0.000350347000978251,0.686392900823763,0.864,0.784,1
"MRPL46",0.00036596931328794,-0.980719252985944,0.144,0.336,1
"JUND",0.000375012193258415,0.607779712993326,1,0.985,1
"SRSF5",0.000457516726662266,0.25891610341374,0.985,0.993,1
"SNHG32",0.000479708688927514,0.36398289977897,0.955,0.963,1
"DYNLL1",0.000530752941722324,0.348277429377774,0.939,0.813,1
"SENP6",0.000536067306341521,0.931709058790311,0.667,0.5,1
"RRAS",0.00063376571195684,-1.20716667579362,0.061,0.209,1
"HOXA3",0.000905696921759226,-1.49708916952594,0.076,0.224,1
"IQCB1",0.000930264501637427,1.24416951655623,0.341,0.179,1
"SDHAF1",0.000976734187877529,-1.45704552006768,0.114,0.276,1
"ARPP19",0.00132236477792435,0.522971676575995,0.727,0.567,1
"SNAP29",0.00136099559002691,0.78958735197303,0.523,0.328,1
"ZNF141",0.0013650338874689,-1.09881781156833,0.22,0.396,1
"COPS9",0.00139394829808065,0.376201884215919,0.909,0.806,1
"SAMSN1",0.00158988518843278,-1.03741039613597,0.227,0.41,1
"RNF40",0.00173147112999852,1.2405295219959,0.28,0.127,1
"NUBPL",0.00195628600398655,-1.85182994711524,0.061,0.187,1
"YY1",0.0019635488432424,0.360710972782863,0.902,0.791,1
"POGK",0.0019678994949239,1.04281427006628,0.386,0.239,1
"C20orf27",0.00198034101839688,-0.761601471160704,0.189,0.381,1
"PRKAR1B",0.00227489746520142,-1.5353173076254,0.03,0.134,1
"TUT1",0.00232599472137492,-1.47005187295778,0.03,0.134,1
"MALAT1",0.00233614865587875,0.367178273673745,1,1,1
"SIGLEC10",0.00234048080361534,-1.45719604272779,0.068,0.194,1
"MECOM",0.00238468415510826,-1.42255773903588,0.083,0.216,1
"SLC39A6",0.00256694029552682,-1.1888239595787,0.144,0.299,1
"LAMTOR5",0.00267848785221272,0.383914174538074,0.871,0.769,1
"FRMD4B",0.00273167995639178,-0.760909829080833,0.333,0.515,1
"KLF6",0.00273916898033446,1.00598967066583,0.78,0.731,1
"COX17",0.00291310115727399,0.894238940908527,0.485,0.358,1
"SEPTIN7",0.00296558761770183,0.325189126962659,0.977,0.978,1
"FAM111A",0.00299857440467626,0.569266989044004,0.5,0.343,1
"AC090204.1",0.00301569120796363,0.949196841251238,0.386,0.231,1
"SMAD7",0.00305139697023244,1.71576577131879,0.167,0.052,1
"ARRDC3",0.00352413475513905,0.619728335087369,0.636,0.5,1
"PPP2CA",0.00354659627101862,0.470808283097363,0.689,0.552,1
"PET117",0.00366405361779403,1.06479663229357,0.265,0.127,1
"ARL9",0.00382585749494774,-1.93202905520265,0.023,0.112,1
"C16orf54",0.00404885019298524,0.78837884925793,0.523,0.373,1
"MAFF",0.00412866746755627,2.22019749718354,0.197,0.082,1
"HIPK3",0.00429870980052944,0.948153181647182,0.394,0.246,1
"ARHGAP12",0.00436894614888028,2.07108376738569,0.121,0.03,1
"ASCC3",0.00437705258904695,1.02771287017698,0.303,0.164,1
