"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",9.45258885021866e-38,1.35851022143485,0.945,0.893,3.45974204506853e-33
"RPS29",1.18401569210583e-30,0.286065734285441,1,1,4.33361583467653e-26
"METRNL",1.40420034017719e-25,1.51655682813438,0.465,0.217,5.13951366508252e-21
"S100A11",2.64584749003238e-22,-0.886408128473876,0.477,0.69,9.68406639826751e-18
"CCL3L1",5.27644247382365e-22,1.86833663726215,0.338,0.131,1.9312307098442e-17
"GIMAP4",2.75021577078117e-21,-0.89278335992327,0.446,0.663,1.00660647426361e-16
"TNFAIP3",4.23658112311123e-17,0.71033795200962,0.771,0.646,1.55063105686994e-12
"GIMAP7",9.28259935102694e-17,-0.652062890136542,0.594,0.756,3.39752418846937e-12
"DYNLL1",1.27586588482816e-15,-0.891986295100542,0.277,0.475,4.66979672505955e-11
"AREG",3.17563404129619e-14,2.31199683438225,0.155,0.038,1.16231381545482e-09
"CREM",6.47829620077081e-14,1.49660498794677,0.339,0.187,2.37112119244412e-09
"FTH1",1.64577403910014e-13,0.423000606240628,0.997,0.997,6.02369756051042e-09
"PLEK",2.57944430217001e-13,-0.754950482502235,0.454,0.615,9.44102409037246e-09
"CD2",5.82725846750702e-13,-0.485499757905901,0.713,0.83,2.13283487169224e-08
"VIM",1.83656126652846e-12,-0.427581369167782,0.871,0.949,6.7219978916208e-08
"DYNLT1",2.39905473317599e-12,0.660998668134034,0.58,0.42,8.78078022889743e-08
"PIK3R1",3.09579339655512e-12,0.534690654981345,0.847,0.762,1.13309134107314e-07
"ZNF331",3.3754534083611e-12,1.52017215253358,0.265,0.124,1.23544970199424e-07
"CLIC1",1.77592897391391e-11,-0.453404211129478,0.764,0.851,6.5000776374223e-07
"LCK",2.06227466852345e-11,-0.531899181185643,0.583,0.703,7.54813151426268e-07
"AC068587.4",3.37807467071637e-11,1.76145068657029,0.15,0.046,1.2364091102289e-06
"JUND",1.51436560308003e-10,0.347561469388939,0.903,0.861,5.54272954383322e-06
"HSPA8",1.26558213531688e-09,-0.441656978920562,0.712,0.772,4.6321571734733e-05
"GIMAP1",2.05627899668499e-09,-0.84138189331943,0.21,0.346,7.52618675576673e-05
"SRSF5",2.33228804419169e-09,-0.292928069737336,0.92,0.954,8.536407470546e-05
"PSMB8",2.3953699574365e-09,-0.473104367758565,0.487,0.642,8.76729358121333e-05
"PDE4D",2.75831330836667e-09,0.951515324694384,0.318,0.189,0.000100957025399528
"ARL6IP5",3.61058534569135e-09,-0.35242096813575,0.749,0.841,0.000132151034237649
"MTRNR2L1",3.82628093978148e-09,-1.49634395577852,0.047,0.137,0.000140045708676942
"GIMAP5",4.06356782090909e-09,-0.79095398116053,0.232,0.365,0.000148730645813094
"APOBEC3G",4.32308280837981e-09,-0.593577661039664,0.366,0.513,0.000158229153869509
"TRAF3IP3",6.53559099011765e-09,-0.53169902550797,0.453,0.597,0.000239209165829296
"CIRBP",8.04722169703497e-09,0.3126903406092,0.909,0.858,0.000294536361333177
"SELENOK",1.6415913566507e-08,0.537043235407926,0.689,0.599,0.000600838852447724
"SNHG9",1.88209985394041e-08,0.74167088620251,0.312,0.187,0.000688867367540728
"PSMB9",2.03319399250484e-08,-0.389711608459598,0.702,0.792,0.000744169333196698
"MAP3K8",2.63352294951726e-08,0.910453038634387,0.442,0.323,0.000963895734752811
"ARPC1B",3.96178129225424e-08,-0.375679581159332,0.759,0.83,0.00145005157077798
"CD53",5.30443026506197e-08,-0.440379149982163,0.508,0.648,0.00194147452131533
"PSMA7",5.30943731700261e-08,-0.356049561553253,0.676,0.787,0.00194330715239613
"GZMA",6.45643960190631e-08,-0.320607749784677,0.869,0.91,0.00236312145869373
"EMP3",8.82194352147946e-08,-0.292199533898873,0.858,0.923,0.0032289195482967
"CEBPB",8.99978208052194e-08,0.693921930879517,0.501,0.389,0.00329401023929184
"KLRG1",9.29038047076346e-08,-0.466686795062297,0.527,0.646,0.00340037215610413
"SYTL3",9.36060478226767e-08,0.790482390482813,0.399,0.285,0.00342607495635779
"FOSL2",1.16008583637369e-07,0.844639706303476,0.32,0.207,0.00424603016971133
"CXCR4",1.34246288430464e-07,0.316756421536567,0.922,0.862,0.00491354840284341
"LGALS1",1.95243890009013e-07,-0.714136652280058,0.473,0.573,0.00714612161821989
"CORO1A",2.03855661652675e-07,-0.353399305655578,0.771,0.838,0.00746132107214955
"PYCARD",2.59081273918256e-07,-0.801591155813754,0.189,0.304,0.0094826337066821
"CRIP1",2.85400130487928e-07,-0.417007051183818,0.82,0.894,0.0104459301759886
"TAGAP",3.18387357519308e-07,-0.697905150092262,0.223,0.344,0.0116532956725642
"TNFAIP8",3.30041623987392e-07,-0.430286958195885,0.492,0.617,0.0120798534795625
"S100A10",3.3530971797756e-07,-0.312522254851517,0.913,0.93,0.0122726709876967
"SLC9A3R1",4.89875242261114e-07,-0.479796512229896,0.363,0.501,0.017929923741999
"APOL2",6.55438834914141e-07,-1.19756273341802,0.078,0.161,0.0239897167966925
"RBM38",6.60849794543984e-07,0.610807098985359,0.39,0.272,0.0241877633301044
"FDX1",9.3112853837805e-07,-0.649920635071626,0.2,0.315,0.034080235633175
"IFNGR1",9.60162083949953e-07,0.947837311410373,0.323,0.223,0.0351428924346522
"LBH",1.16349552805477e-06,-0.494441080334858,0.363,0.492,0.0425850998223327
"TMBIM4",1.17945212173406e-06,-0.442323126302397,0.429,0.546,0.0431691271075882
"LITAF",1.25833504544014e-06,0.314198270689978,0.845,0.766,0.0460563209981547
"ARPC5",1.40344082493695e-06,-0.387785497123889,0.617,0.725,0.0513673376335173
"TRAC",1.5150687238016e-06,-0.327869672686608,0.732,0.803,0.0554530303598623
"SMAP2",1.77821006203533e-06,0.518833192247072,0.583,0.506,0.065084266480555
"CAP1",1.85606377982546e-06,-0.343875109254239,0.534,0.659,0.0679337904053917
"CASP1",2.68299011595631e-06,-0.578289581226697,0.232,0.341,0.098200121234117
"RBM39",3.44715716373264e-06,0.339578631129044,0.827,0.758,0.126169399349778
"TRGC2",4.44228386075735e-06,-0.408125772424051,0.508,0.607,0.16259203158758
"CDK2AP2",4.61439134883324e-06,-0.73789419597155,0.196,0.296,0.168891337758645
"FAM133B",4.89128617185926e-06,0.539444928682875,0.476,0.379,0.179025965176221
"SH3BP5",5.34457104500367e-06,-0.663370171573696,0.263,0.363,0.195616644818179
"TNFRSF1A",5.77855467837748e-06,-1.25153321865184,0.044,0.107,0.211500879783294
"CX3CR1",7.03948342091407e-06,-0.79670882229814,0.123,0.211,0.257652132688876
"HLA-DPB1",7.17446285860917e-06,-0.316523142594611,0.637,0.748,0.262592515087954
"SEC11A",7.68045175397237e-06,-0.412733745418447,0.366,0.489,0.281112214647143
"RAB10",7.82368286331487e-06,-0.868410148200208,0.098,0.179,0.286354616480188
"ICAM2",7.85929299838455e-06,-0.649199079547202,0.164,0.259,0.287657983033873
"COPB2",8.0725851212678e-06,-0.952579508335544,0.07,0.141,0.295464688023523
"CEMIP2",8.12423949922457e-06,0.509427332823411,0.485,0.382,0.297355289911119
"LEPROTL1",8.13827537772669e-06,0.437477735768456,0.677,0.601,0.297869017100174
"STX2",8.45082115240847e-06,-0.987202855741107,0.068,0.139,0.309308504999302
"DDIT4",9.15937107809675e-06,0.509460526186829,0.499,0.4,0.335242140829419
"TMPO",1.01477916218431e-05,-0.530221108801872,0.3,0.4,0.371419321151081
"HLA-DRB5",1.04694701027609e-05,-0.850150863527128,0.157,0.242,0.383193075231152
"RNF115",1.06245131489097e-05,0.694649925470674,0.338,0.241,0.388867805763245
"VAMP8",1.06307566157257e-05,-0.413639356028145,0.515,0.625,0.389096322892175
"ACTR3",1.06565299972606e-05,-0.404601333790182,0.505,0.608,0.390039654429737
"HMOX2",1.31213392892229e-05,-0.619829366017142,0.194,0.292,0.480254139324849
"PTGER2",1.33219064128509e-05,-0.7417459766329,0.173,0.266,0.487595096616755
"ITPRIP",1.35824267087304e-05,1.19405691484762,0.107,0.046,0.497130399966242
"KLF6",1.44044887746895e-05,-0.387752639739695,0.434,0.558,0.527218693642412
"SPCS2",1.46367440276903e-05,-0.340983267733341,0.584,0.689,0.535719468157492
"POLR2G",1.78782879955287e-05,-0.664062799160257,0.18,0.273,0.654363218924347
"NASP",1.94251623970778e-05,-0.486586018346423,0.216,0.32,0.710980368895444
"GLRX",1.99240866971217e-05,-0.504935512033118,0.33,0.437,0.729241497201351
"TIGIT",2.15818446084483e-05,-0.838626413317033,0.16,0.245,0.789917094513818
"PCBP1",2.29243171844904e-05,-0.331921363467874,0.614,0.717,0.839052933269533
"BAZ1B",2.53264748976187e-05,-0.877640275216054,0.139,0.22,0.926974307727742
"MRPL51",2.63101939347849e-05,-0.559642701766584,0.255,0.352,0.962979408207061
"VASP",2.74211663339374e-05,-0.493477213070409,0.252,0.359,1
"DPH3",2.78350970545514e-05,-1.00566426116226,0.062,0.125,1
"TBC1D10C",2.84380158804351e-05,-0.483359172073482,0.355,0.459,1
"CD81",2.94029412909296e-05,-0.26434145535705,0.745,0.808,1
"TPR",2.98863377693381e-05,-0.413755235587109,0.406,0.499,1
"PMVK",3.12673391346091e-05,-0.92846257088358,0.086,0.156,1
"TRGC1",3.62545132242203e-05,0.661567458231021,0.28,0.192,1
"DUSP1",3.6603660091457e-05,0.472689673228148,0.462,0.363,1
"PPP4C",3.80252728713212e-05,-0.470620036744348,0.24,0.345,1
"RALBP1",3.84887711265055e-05,-0.488327439166158,0.298,0.397,1
"MAP3K7CL",4.02224810551826e-05,1.07717194065791,0.117,0.056,1
"MT-ND4L",4.06604695401565e-05,0.311960898676556,0.743,0.679,1
"PNP",4.10865469661155e-05,-1.1336543188635,0.044,0.1,1
"PPP2R5C",4.63770130930002e-05,0.259904734788512,0.906,0.872,1
"GTF3C1",4.65421203121544e-05,0.709318745873098,0.282,0.194,1
"ARHGAP25",5.05834098078936e-05,-0.655270917631279,0.214,0.307,1
"ZFAND2A",5.60476519322025e-05,0.824862964367544,0.208,0.131,1
"SNRNP70",5.69022387240318e-05,-0.543929807234511,0.237,0.331,1
"IFITM1",5.73263693892133e-05,-0.475753487145944,0.393,0.482,1
"LAIR1",5.85476173652549e-05,-1.06249816024373,0.058,0.117,1
"JPT1",6.00081272371044e-05,-0.459983295871291,0.253,0.351,1
"MRPS12",6.47900682637382e-05,-0.483799642699193,0.186,0.277,1
"LINC01578",6.51222900455644e-05,0.258341934752909,0.8,0.756,1
"GIMAP6",6.69412054764432e-05,-0.970195516374467,0.07,0.132,1
"ACAA2",6.85657984094679e-05,-0.754167359457848,0.151,0.23,1
"DCK",6.88365258502161e-05,-0.629665182781028,0.142,0.225,1
"MYCBP2",6.89261649309569e-05,-0.382190567323758,0.414,0.515,1
"MTFP1",7.02266333711145e-05,0.594438794149938,0.287,0.203,1
"PTRH1",7.25898861547393e-05,-1.01106134465872,0.058,0.115,1
"SARS",7.46640229083402e-05,-0.587386130383092,0.151,0.238,1
"GBP4",7.46789248434999e-05,-0.745345855954955,0.16,0.242,1
"TRA2B",7.66331867753628e-05,0.391582405296496,0.607,0.539,1
"SMARCA5",7.7256380480981e-05,-0.600326078500043,0.252,0.338,1
"CCT5",8.46369260877811e-05,-0.612716557431035,0.221,0.306,1
"PPP1R18",8.87295561799762e-05,-0.426667122358099,0.3,0.401,1
"GNG5",9.31408136622742e-05,-0.376242523382613,0.468,0.565,1
"HLA-DPA1",9.34757433737153e-05,-0.32466472846685,0.462,0.565,1
"UCP2",9.67537432426157e-05,-0.390077528511922,0.523,0.601,1
"SPOCK2",0.000100779259735484,0.337803493367138,0.625,0.561,1
"PCID2",0.000103587439361708,-0.61654454941129,0.151,0.232,1
"KLRK1",0.000104003768677253,-0.350285954070899,0.515,0.607,1
"HLA-DQA2",0.000105434697604694,-0.667143740486525,0.084,0.151,1
"DCTN6",0.00011027139724328,0.632883385840525,0.194,0.121,1
"MGST3",0.000110318371414861,-0.417779776399654,0.369,0.462,1
"KLRC1",0.000112212583045161,0.65745962395707,0.106,0.051,1
"PSMA5",0.000118264460474176,-0.427708332104377,0.312,0.415,1
"DCTN4",0.000118504951443689,1.07727959126741,0.123,0.066,1
"SSB",0.000121555460978458,-0.369429446228894,0.44,0.531,1
"NDUFB3",0.000124709906620917,-0.426537800549611,0.307,0.407,1
"GTF3C6",0.00013204295151051,-0.473022420905923,0.264,0.355,1
"DUSP2",0.000134335551973193,0.301036965483847,0.835,0.782,1
"SC5D",0.00013721412442367,0.83086655184064,0.164,0.097,1
"MRPS31",0.00014604704957435,-0.633364165142322,0.135,0.213,1
"TRDC",0.000147754664472584,0.453903494673249,0.228,0.145,1
"PRR5L",0.000153310070304197,-0.810706766918183,0.095,0.162,1
"MRPL21",0.00015560259017946,-0.64117303679283,0.17,0.248,1
"GBP1",0.000163353536434948,-0.790701070357609,0.084,0.148,1
"ISG15",0.000165794359272076,-0.34360583250937,0.314,0.418,1
"REL",0.000174272330474713,0.528824970843044,0.369,0.292,1
"ACTG1",0.000178654333243094,-0.251505741401744,0.921,0.942,1
"TSPYL2",0.000179200366594863,0.920479805908438,0.184,0.117,1
"LASP1",0.000188312031514002,-0.651221276839244,0.13,0.206,1
"BTN3A2",0.000189506887261671,-0.468167349455564,0.314,0.411,1
"PRPSAP1",0.000194535874409565,-0.760554448931751,0.086,0.149,1
"ST6GAL1",0.000198893827735694,-0.552809262488569,0.176,0.256,1
"PRDM1",0.000200524875819805,0.467922458583405,0.43,0.339,1
"ITGB1",0.000200547300855399,-0.43987820010433,0.532,0.61,1
"GPATCH11",0.000201531934103548,-0.929204818919877,0.075,0.134,1
"IRF3",0.000202477821224879,-0.57796364486716,0.177,0.255,1
"HERPUD1",0.000209851182648981,0.398199237138677,0.501,0.425,1
"ERLEC1",0.000214933155779411,-0.432990939358474,0.204,0.29,1
"H2AFZ",0.000219601395232862,-0.309276039984262,0.527,0.624,1
"HIKESHI",0.000221762123262685,-0.57259182464376,0.135,0.211,1
"EIF2S2",0.000225943525873902,-0.397572447625002,0.377,0.469,1
"APBB1IP",0.000231212042411352,-0.329643921888258,0.399,0.496,1
