"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TXNIP",6.4245251329733e-62,-0.929230491475598,0.98,0.994,2.35144044391956e-57
"FKBP5",1.56258449174971e-47,-1.63552610268895,0.273,0.625,5.7192154982531e-43
"RPS3",4.10668285537212e-29,-0.264817685540537,1,1,1.50308699189475e-24
"H3F3B",1.05359660343936e-28,0.428755767270643,0.997,0.994,3.85626892824839e-24
"CCL3L1",4.01200623433383e-27,2.51711881406348,0.338,0.116,1.46843440182853e-22
"HBB",1.31732668001363e-26,-1.23042826798995,0.513,0.72,4.8215473815179e-22
"MT-ATP6",4.38551042420403e-26,-0.253481238026436,0.996,1,1.60514067036292e-21
"JUND",3.82690758202379e-24,0.620579894542697,0.903,0.802,1.40068644409653e-19
"AREG",6.27421935491114e-24,-2.27874107843677,0.155,0.364,2.29642702609103e-19
"PRDM1",1.46263523735894e-23,-0.956628029378292,0.43,0.653,5.35339123225746e-19
"TNFAIP3",6.55235733763108e-21,0.79184307447342,0.771,0.623,2.39822830914635e-16
"EIF1",1.16549931050378e-20,0.307154560621848,0.999,1,4.26584402637489e-16
"ZNF331",1.57034567444136e-19,1.96260108481321,0.265,0.088,5.74762220302282e-15
"METRNL",6.51168761414496e-18,1.15297227860567,0.465,0.258,2.3833427836532e-13
"CREM",1.00504548704482e-17,1.66285328960951,0.339,0.159,3.67856698713274e-13
"S100A11",2.8902303629609e-17,-0.753998842292167,0.477,0.671,1.05785321514732e-12
"PTMA",7.95375350820134e-17,0.270381423717006,1,1,2.91115332153677e-12
"HBA2",2.64877227436717e-16,-1.80204569005056,0.11,0.274,9.69477140141126e-12
"MYOM2",7.63244815364647e-15,-1.94885339707056,0.052,0.181,2.79355234871615e-10
"P2RY8",2.83999616303692e-13,0.92168014896559,0.453,0.286,1.03946699563314e-08
"PIK3R1",1.17787505903086e-12,0.582817709158745,0.847,0.77,4.31114050355885e-08
"VIM",4.6768566692069e-12,-0.405411610095014,0.871,0.926,1.71177630949642e-07
"IL7R",7.92078525473106e-12,-0.640420754564666,0.63,0.742,2.89908661108412e-07
"SOCS1",1.77740412756287e-11,-1.25865190065607,0.118,0.252,6.50547684729286e-07
"KMT2E",2.32031354177468e-11,0.584819149358583,0.678,0.549,8.4925795942495e-07
"NR4A2",4.07454741631065e-11,1.47040459156519,0.227,0.103,1.49132509984386e-06
"S100A4",5.08210019882414e-11,-0.285813582647521,0.98,0.983,1.86009949377162e-06
"MT-ND5",6.36187201062167e-11,-0.311170084097713,0.987,1,2.32850877460764e-06
"PABPC1",6.45621135137443e-11,0.474336363886778,0.84,0.744,2.36303791671656e-06
"TSC22D3",2.13896142760594e-10,-0.390099213034495,0.845,0.9,7.82881272118049e-06
"CEBPZ",2.68327955167592e-10,0.889870605539711,0.375,0.231,9.82107148708905e-06
"SELENOK",2.94209938184097e-10,0.55836885249103,0.689,0.557,1.07683779474761e-05
"RPS26",3.63616431614904e-10,0.538916711262639,0.945,0.919,1.33087250135371e-05
"DDX6",4.99607984262133e-10,0.520667537048289,0.669,0.536,1.82861518319783e-05
"MALAT1",1.02720745433758e-09,0.278267887401672,0.997,1,3.75968200362098e-05
