"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND3",9.58263738990864e-29,0.352144751008641,1,0.999,3.50734111108046e-24
"METRNL",2.58301618667244e-23,-1.4927466641988,0.258,0.473,9.45409754483979e-19
"CNOT6L",9.08173054261846e-21,-0.924633222442271,0.507,0.679,3.32400419590378e-16
"RPL38",7.04431573837462e-20,0.288745692034564,1,0.998,2.5782900034025e-15
"GZMA",4.10894469431184e-17,0.465774219162432,0.907,0.858,1.50391484756508e-12
"CREM",1.78328324422403e-16,-1.47210542197276,0.159,0.334,6.52699500218439e-12
"MYL12A",6.14324557816716e-15,0.31768145821334,0.99,0.987,2.24848931406496e-10
"FTH1",7.43034000322262e-15,-0.438563091430042,0.987,0.999,2.71957874457951e-10
"BTG1",9.77533497553567e-15,-0.333980613799588,0.985,0.999,3.57787035439581e-10
"MT-ND5",2.92561854922212e-13,0.304613556838758,1,0.998,1.07080564520079e-08
"S100A6",2.49712501658336e-12,0.314349939341814,0.992,0.972,9.13972727319675e-08
"FAM177A1",3.87952238355312e-12,-0.999046491025204,0.227,0.381,1.41994398760428e-07
"RNF125",4.41494154377326e-12,-0.65434089914866,0.382,0.556,1.61591275443645e-07
"CD55",4.45105939069218e-12,-0.859102810935456,0.245,0.403,1.62913224758724e-07
"CD52",3.06410207256601e-11,0.324842548134991,0.975,0.941,1.12149199957988e-06
"SMAP2",3.8714752968489e-11,-0.516370845844674,0.642,0.764,1.41699867339967e-06
"S100A4",5.44062150149408e-11,0.278385287177939,0.983,0.979,1.99132187576185e-06
"PIK3R1",1.71762472316205e-10,-0.479263845991539,0.77,0.835,6.28667824924542e-06
"PFN1",1.84796469892081e-10,0.28250036851872,0.992,0.973,6.76373559452004e-06
"ZFP36L2",2.0278278922774e-10,-0.297414484750033,0.974,0.993,7.42205286852449e-06
"IFNGR1",2.07933704551426e-10,-0.954793177926355,0.315,0.455,7.61058152028676e-06
"SC5D",2.94833475441784e-10,-1.25942358791958,0.102,0.223,1.07912000346447e-05
"ELF1",8.45681234357826e-10,-0.512854498412645,0.552,0.679,3.09527788587308e-05
"PDE4B",1.72510639957385e-09,-0.980256034375757,0.194,0.326,6.31406193308024e-05
"AKNA",1.89352117045421e-09,-0.635207573332104,0.407,0.551,6.93047683597944e-05
"CD3D",2.13912909484447e-09,0.330826999048747,0.948,0.916,7.82942640004023e-05
"ZNF331",2.53994434525078e-09,-1.2203537636488,0.088,0.195,9.29645029805239e-05
"PLEK",3.32998946681496e-09,0.5578337504478,0.492,0.352,0.000121880944474895
"BRD1",5.0164855650376e-09,-0.826596364892528,0.145,0.271,0.000183608388165941
"SLC7A5",6.93212106664672e-09,-1.33324907704533,0.071,0.168,0.000253722563160337
"UBL5",7.99576970103880e-09,0.3931670446775,0.763,0.655,0.000292653166827721
"WDR33",1.62493163420777e-08,-0.797459764963937,0.184,0.31,0.000594741227436384
"CKLF",4.54776757443106e-08,0.55014691862416,0.545,0.441,0.00166452840991751
"CLIC1",4.97935873990414e-08,0.316019655925552,0.818,0.741,0.00182249509239231
"RAP1B",5.64673048305261e-08,0.352128781441542,0.844,0.795,0.00206675982410209
"SLA",1.1394139610639e-07,-0.684292645256438,0.341,0.477,0.00417036903888997
"ARPC5",1.14958232488021e-07,0.356130637434832,0.74,0.64,0.00420758626729408
"LEPROTL1",1.88172591223181e-07,-0.411321358836057,0.631,0.734,0.00688730501135963
"HCST",3.02324674386139e-07,0.255160700990642,0.978,0.971,0.0110653854072071
"SLC9A3R1",3.20158758093847e-07,0.553210444324205,0.419,0.3,0.0117181307049929
"SRSF7",3.28622498846586e-07,-0.345605547127801,0.772,0.843,0.0120279120802839
"SARAF",4.26858894352611e-07,-0.279073854375928,0.861,0.908,0.0156234623921999
"ZFP36",5.89293193437045e-07,-0.450239440486874,0.63,0.742,0.0215687201729893
"SRGN",6.70533099560096e-07,-0.257112216701423,0.943,0.962,0.0245421819769991
"MTFP1",9.41618244271469e-07,-0.72598787347194,0.21,0.317,0.03446416935858
"SH2D2A",1.08399571179634e-06,-0.691753986640208,0.21,0.324,0.0396753270474578
"CEBPZ",1.10281197034692e-06,-0.571117077573334,0.231,0.346,0.0403640209266676
"IL7R",1.16977575268525e-06,-0.400807543121719,0.742,0.791,0.0428149623240327
"CD3G",1.36929060665821e-06,0.302021708122782,0.912,0.861,0.0501174054942971
"PDE4D",1.51643759323315e-06,-0.655944318130148,0.249,0.363,0.0555031323499266
"JUN",1.577633597922e-06,-1.30631433657297,0.118,0.208,0.0577429673175431
"KMT2E",1.60532011105955e-06,-0.384308112222861,0.549,0.653,0.0587563213848905
"EML4",2.21805380790901e-06,-0.454133007106827,0.326,0.447,0.0811829874232777
"CCNH",2.23291111791163e-06,-0.593147985955778,0.226,0.335,0.0817267798266837
"PRPF38B",2.49945390596653e-06,-0.589481440268053,0.258,0.368,0.0914825124122809
"PRRC2C",3.03898404314602e-06,-0.370961477672082,0.507,0.638,0.111229854963188
"RSRC2",3.35810030621403e-06,-0.489312162785701,0.312,0.424,0.12290982930774
"MRPS22",4.07778639335155e-06,-0.910389865256075,0.103,0.185,0.14925105978306
"CHD1",4.47505122293613e-06,-0.681188756150292,0.217,0.32,0.163791349810685
"APOBEC3G",5.33705501158854e-06,0.496913151774586,0.493,0.396,0.195341550479152
"YWHAZ",5.8428667862318e-06,0.259251266223945,0.904,0.873,0.21385476724287
"NFE2L2",6.16150091595225e-06,-0.568608401313618,0.247,0.358,0.225517095024768
"CBLB",6.83823364477817e-06,-0.564409792152201,0.286,0.389,0.250286189632526
"S100A11",7.11068105317666e-06,0.363106364127926,0.671,0.592,0.260258037227319
"RBM38",7.11273673413625e-06,-0.544281928653367,0.286,0.396,0.260333277206121
