"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0163698400716081,363,8,3,0.375,0.00826446280991736,"GO:0002696","GO:BP","positive regulation of leukocyte activation",20972,1168,"GO:0002684;GO:0002694;GO:0045321;GO:0050867","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,413,8,3,0.375,0.00726392251815981,"GO:0007159","GO:BP","leukocyte cell-cell adhesion",20972,2589,"GO:0098609","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,35,8,2,0.25,0.0571428571428571,"GO:0043372","GO:BP","positive regulation of CD4-positive, alpha-beta T cell differentiation",20972,9979,"GO:0043367;GO:0043370;GO:0046638;GO:2000516","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,60,8,2,0.25,0.0333333333333333,"GO:0043370","GO:BP","regulation of CD4-positive, alpha-beta T cell differentiation",20972,9977,"GO:0043367;GO:0046637;GO:2000514","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,73,8,2,0.25,0.0273972602739726,"GO:0046635","GO:BP","positive regulation of alpha-beta T cell activation",20972,11434,"GO:0046631;GO:0046634;GO:0050870","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,78,8,2,0.25,0.0256410256410256,"GO:0046637","GO:BP","regulation of alpha-beta T cell differentiation",20972,11436,"GO:0045580;GO:0046632;GO:0046634","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,386,8,3,0.375,0.0077720207253886,"GO:0050863","GO:BP","regulation of T cell activation",20972,12448,"GO:0042110;GO:0051249","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,53,8,2,0.25,0.0377358490566038,"GO:0046638","GO:BP","positive regulation of alpha-beta T cell differentiation",20972,11437,"GO:0045582;GO:0046632;GO:0046635;GO:0046637","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,380,8,3,0.375,0.00789473684210526,"GO:0050867","GO:BP","positive regulation of cell activation",20972,12452,"GO:0001775;GO:0048522;GO:0050865;GO:0051240","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,45,8,2,0.25,0.0444444444444444,"GO:2000516","GO:BP","positive regulation of CD4-positive, alpha-beta T cell activation",20972,23935,"GO:0035710;GO:0046635;GO:2000514","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,82,8,2,0.25,0.024390243902439,"GO:2000514","GO:BP","regulation of CD4-positive, alpha-beta T cell activation",20972,23933,"GO:0035710;GO:0046634","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,375,8,3,0.375,0.008,"GO:1903037","GO:BP","regulation of leukocyte cell-cell adhesion",20972,21140,"GO:0007159;GO:0022407","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0163698400716081,331,8,3,0.375,0.00906344410876133,"GO:0051251","GO:BP","positive regulation of lymphocyte activation",20972,12700,"GO:0002696;GO:0046649;GO:0051249","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0228126747823904,506,8,3,0.375,0.00592885375494071,"GO:0051249","GO:BP","regulation of lymphocyte activation",20972,12698,"GO:0002694;GO:0046649","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0228126747823904,493,8,3,0.375,0.00608519269776876,"GO:0022407","GO:BP","regulation of cell-cell adhesion",20972,6164,"GO:0030155;GO:0098609","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0228126747823904,105,8,2,0.25,0.019047619047619,"GO:0043367","GO:BP","CD4-positive, alpha-beta T cell differentiation",20972,9974,"GO:0035710;GO:0046632","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0246135755212171,581,8,3,0.375,0.00516351118760757,"GO:0042110","GO:BP","T cell activation",20972,9331,"GO:0046649","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0246135755212171,119,8,2,0.25,0.0168067226890756,"GO:0045582","GO:BP","positive regulation of T cell differentiation",20972,10664,"GO:0030217;GO:0045580;GO:0045621;GO:0050870","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0246135755212171,135,8,2,0.25,0.0148148148148148,"GO:0045621","GO:BP","positive regulation of lymphocyte differentiation",20972,10703,"GO:0030098;GO:0045619;GO:0051251;GO:1902107","B_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0246135755212171,572,8,3,0.375,0.00524475524475524,"GO:0002694","GO:BP","regulation of leukocyte activation",20972,1166,"GO:0002682;GO:0045321;GO:0050865","B_cells_Healthy_vs_AChR_MG","Up"
