"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.6061211445845e-05,271,25,7,0.28,0.025830258302583,"GO:0006959","GO:BP","humoral immune response",20972,2459,"GO:0006955","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000105294276335917,2118,25,13,0.52,0.00613786591123702,"GO:0006955","GO:BP","immune response",20972,2455,"GO:0002376;GO:0050896","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000349028135135283,313,25,6,0.24,0.0191693290734824,"GO:0002429","GO:BP","immune response-activating cell surface receptor signaling pathway",20972,911,"GO:0002757;GO:0002768","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000349028135135283,71,25,4,0.16,0.0563380281690141,"GO:0050853","GO:BP","B cell receptor signaling pathway",20972,12438,"GO:0050851","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000349028135135283,2913,25,14,0.56,0.00480604188122211,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000459145150674387,196,25,5,0.2,0.0255102040816327,"GO:0050851","GO:BP","antigen receptor-mediated signaling pathway",20972,12436,"GO:0002429","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000459145150674387,343,25,6,0.24,0.0174927113702624,"GO:0002768","GO:BP","immune response-regulating cell surface receptor signaling pathway",20972,1233,"GO:0002764;GO:0007166","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000459145150674387,1111,25,9,0.36,0.0081008100810081,"GO:0002684","GO:BP","positive regulation of immune system process",20972,1156,"GO:0002376;GO:0002682;GO:0048518","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00130616523861595,118,25,4,0.16,0.0338983050847458,"GO:0019882","GO:BP","antigen processing and presentation",20972,5654,"GO:0002376","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00130616523861595,36,25,3,0.12,0.0833333333333333,"GO:0002504","GO:BP","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",20972,985,"GO:0019882","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00163585161180702,719,25,7,0.28,0.00973574408901252,"GO:0009617","GO:BP","response to bacterium",20972,3386,"GO:0051707","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00216390872700323,761,25,7,0.28,0.00919842312746386,"GO:0002250","GO:BP","adaptive immune response",20972,759,"GO:0006955","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00217467270820567,516,25,6,0.24,0.0116279069767442,"GO:0002757","GO:BP","immune response-activating signaling pathway",20972,1222,"GO:0002253;GO:0002764","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00217467270820567,775,25,7,0.28,0.00903225806451613,"GO:0050778","GO:BP","positive regulation of immune response",20972,12393,"GO:0002684;GO:0006955;GO:0048584;GO:0050776","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00228455611877351,9051,25,21,0.84,0.00232018561484919,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00228455611877351,1123,25,8,0.32,0.00712377560106857,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00228455611877351,1883,25,10,0.4,0.00531067445565587,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00257005650651747,331,25,5,0.2,0.0151057401812689,"GO:0051251","GO:BP","positive regulation of lymphocyte activation",20972,12700,"GO:0002696;GO:0046649;GO:0051249","B_cells_Healthy_vs_SNMG_Pre","Up"
