"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0133413595258209,27,6,2,0.333333333333333,0.0740740740740741,"GO:0001975","GO:BP","response to amphetamine",20972,567,"GO:0014075","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0163319159737203,42,6,2,0.333333333333333,0.0476190476190476,"GO:0014075","GO:BP","response to amine",20972,4423,"GO:1901698","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,93,6,2,0.333333333333333,0.021505376344086,"GO:0009791","GO:BP","post-embryonic development",20972,3518,"GO:0007275;GO:0032501","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,5821,6,6,1,0.0010307507301151,"GO:0009889","GO:BP","regulation of biosynthetic process",20972,3588,"GO:0009058;GO:0019222","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,3410,6,5,0.833333333333333,0.00146627565982405,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,1898,6,4,0.666666666666667,0.00210748155953635,"GO:0006915","GO:BP","apoptotic process",20972,2433,"GO:0012501","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,3,6,1,0.166666666666667,0.333333333333333,"GO:0032058","GO:BP","positive regulation of translational initiation in response to stress",20972,6868,"GO:0006950;GO:0045948","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,3,6,1,0.166666666666667,0.333333333333333,"GO:0021538","GO:BP","epithalamus development",20972,5714,"GO:0021536;GO:0048856","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,155,6,2,0.333333333333333,0.0129032258064516,"GO:0030534","GO:BP","adult behavior",20972,6393,"GO:0007610","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,3,6,1,0.166666666666667,0.333333333333333,"GO:0021986","GO:BP","habenula development",20972,6110,"GO:0021538;GO:0048856","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0241439153768214,5647,6,6,1,0.00106251106782362,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",20972,4023,"GO:0009059;GO:0009889;GO:0060255","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
