"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0160398016134978,641,5,3,0.6,0.0046801872074883,"GO:0007169","GO:BP","cell surface receptor protein tyrosine kinase signaling pathway",20972,2599,"GO:0007167","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,113,5,2,0.4,0.0176991150442478,"GO:0034440","GO:BP","lipid oxidation",20972,8060,"GO:0030258","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,104,5,2,0.4,0.0192307692307692,"GO:0009062","GO:BP","fatty acid catabolic process",20972,3098,"GO:0006631;GO:0016042;GO:0072329","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,73,5,2,0.4,0.0273972602739726,"GO:0006635","GO:BP","fatty acid beta-oxidation",20972,2224,"GO:0009062;GO:0019395","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,1,5,1,0.2,1,"GO:0060598","GO:BP","dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis",20972,13764,"GO:0060600;GO:0060751","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,1,5,1,0.2,1,"GO:0140493","GO:BP","very long-chain fatty acid beta-oxidation",20972,18551,"GO:0033540;GO:0042760","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,85,5,2,0.4,0.0235294117647059,"GO:0042542","GO:BP","response to hydrogen peroxide",20972,9580,"GO:0000302","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,100,5,2,0.4,0.02,"GO:0032355","GO:BP","response to estradiol",20972,7026,"GO:0033993;GO:1901700","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0160398016134978,107,5,2,0.4,0.0186915887850467,"GO:0019395","GO:BP","fatty acid oxidation",20972,5411,"GO:0006631;GO:0034440","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0173786054287433,124,5,2,0.4,0.0161290322580645,"GO:0072329","GO:BP","monocarboxylic acid catabolic process",20972,16179,"GO:0032787;GO:0046395","Basophils_Healthy_vs_AChR_MG","Up"
