"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,6.06954776250327e-06,416,10,6,0.6,0.0144230769230769,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,5.14728575894532e-05,322,10,5,0.5,0.015527950310559,"GO:0051607","GO:BP","defense response to virus",20972,12899,"GO:0006952;GO:0009615","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000158107737476192,1610,10,7,0.7,0.00434782608695652,"GO:0051707","GO:BP","response to other organism",20972,12978,"GO:0043207;GO:0044419","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000158107737476192,1652,10,7,0.7,0.00423728813559322,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000158107737476192,51,10,3,0.3,0.0588235294117647,"GO:0045071","GO:BP","negative regulation of viral genome replication",20972,10510,"GO:0019079;GO:0045069;GO:0048525","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000158107737476192,1613,10,7,0.7,0.00433973961562306,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000222247858403262,1777,10,7,0.7,0.00393922341024198,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000312641379959873,2913,10,8,0.8,0.00274630964641263,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000327626493455822,77,10,3,0.3,0.038961038961039,"GO:0048525","GO:BP","negative regulation of viral process",20972,11959,"GO:0016032;GO:0048519;GO:0050792","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000343575624892992,81,10,3,0.3,0.037037037037037,"GO:0045069","GO:BP","regulation of viral genome replication",20972,10508,"GO:0019079;GO:1903900","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000462300758314079,2118,10,7,0.7,0.00330500472143532,"GO:0006955","GO:BP","immune response",20972,2455,"GO:0002376;GO:0050896","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000492216844997433,11,10,2,0.2,0.181818181818182,"GO:0016185","GO:BP","synaptic vesicle budding from presynaptic endocytic zone membrane",20972,4916,"GO:0048488;GO:0070142","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000644028866019634,13,10,2,0.2,0.153846153846154,"GO:0070142","GO:BP","synaptic vesicle budding",20972,14830,"GO:0006900;GO:0048489","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00067449037837173,116,10,3,0.3,0.0258620689655172,"GO:1903900","GO:BP","regulation of viral life cycle",20972,21725,"GO:0019058;GO:0050792","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00067449037837173,115,10,3,0.3,0.0260869565217391,"GO:0019079","GO:BP","viral genome replication",20972,5248,"GO:0016032;GO:0019058","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000791158437156616,2427,10,7,0.7,0.00288421920065925,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00108982778846154,142,10,3,0.3,0.0211267605633803,"GO:0050792","GO:BP","regulation of viral process",20972,12399,"GO:0016032;GO:0050789","Basophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0012497325209851,21,10,2,0.2,0.0952380952380952,"GO:0035455","GO:BP","response to interferon-alpha",20972,8461,"GO:0034097","Basophils_Healthy_vs_SNMG_Pre","Up"
