"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,3.70057126479057e-06,205,28,7,0.25,0.0341463414634146,"GO:1901654","GO:BP","response to ketone",20972,20211,"GO:1901700","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,3.70057126479057e-06,113,28,6,0.214285714285714,0.0530973451327434,"GO:0051384","GO:BP","response to glucocorticoid",20972,12777,"GO:0031960","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,3.70057126479057e-06,312,28,8,0.285714285714286,0.0256410256410256,"GO:0048545","GO:BP","response to steroid hormone",20972,11977,"GO:0009725;GO:0033993","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,4.74716591524526e-06,3863,28,19,0.678571428571429,0.0049184571576495,"GO:0042221","GO:BP","response to chemical",20972,9400,"GO:0050896","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,5.16633283804786e-06,131,28,6,0.214285714285714,0.0458015267175573,"GO:0031960","GO:BP","response to corticosteroid",20972,6839,"GO:0048545","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,5.22116370466552e-06,374,28,8,0.285714285714286,0.0213903743315508,"GO:0006979","GO:BP","response to oxidative stress",20972,2471,"GO:0006950","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.35196848212827e-06,1632,28,13,0.464285714285714,0.0079656862745098,"GO:1901700","GO:BP","response to oxygen-containing compound",20972,20237,"GO:0042221","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.78579636375537e-05,178,28,6,0.214285714285714,0.0337078651685393,"GO:0000302","GO:BP","response to reactive oxygen species",20972,87,"GO:0006979;GO:1901700","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.78579636375537e-05,880,28,10,0.357142857142857,0.0113636363636364,"GO:0033993","GO:BP","response to lipid",20972,7811,"GO:0042221","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.97524210230679e-05,904,28,10,0.357142857142857,0.0110619469026549,"GO:0009725","GO:BP","response to hormone",20972,3463,"GO:0009719;GO:0042221","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.3674197992795e-05,2199,28,14,0.5,0.00636653024101864,"GO:0070887","GO:BP","cellular response to chemical stimulus",20972,15231,"GO:0042221;GO:0051716","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.3674197992795e-05,196,28,6,0.214285714285714,0.0306122448979592,"GO:0046631","GO:BP","alpha-beta T cell activation",20972,11430,"GO:0042110","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.99722079312663e-05,106,28,5,0.178571428571429,0.0471698113207547,"GO:1901655","GO:BP","cellular response to ketone",20972,20212,"GO:1901654;GO:1901701","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.30725052734963e-05,6900,28,22,0.785714285714286,0.00318840579710145,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.30725052734963e-05,137,28,5,0.178571428571429,0.0364963503649635,"GO:0046632","GO:BP","alpha-beta T cell differentiation",20972,11431,"GO:0030217;GO:0046631","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000119443854862852,3984,28,17,0.607142857142857,0.00426706827309237,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000269125420363031,1961,28,12,0.428571428571429,0.00611932687404386,"GO:0008283","GO:BP","cell population proliferation",20972,3010,"GO:0009987","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000302706056081244,7425,28,22,0.785714285714286,0.00296296296296296,"GO:0051716","GO:BP","cellular response to stimulus",20972,12983,"GO:0009987;GO:0050896","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000313861886028059,9051,28,24,0.857142857142857,0.00265164070268479,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000313861886028059,523,28,7,0.25,0.0133843212237094,"GO:1903131","GO:BP","mononuclear cell differentiation",20972,21205,"GO:0002521","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000329837174973225,85,28,4,0.142857142857143,0.0470588235294118,"GO:0042542","GO:BP","response to hydrogen peroxide",20972,9580,"GO:0000302","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
