"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00274007729967275,2645,5,5,1,0.00189035916824197,"GO:0009891","GO:BP","positive regulation of biosynthetic process",20972,3590,"GO:0009058;GO:0009889;GO:0009893","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00274007729967275,27,5,2,0.4,0.0740740740740741,"GO:0001975","GO:BP","response to amphetamine",20972,567,"GO:0014075","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00274007729967275,2538,5,5,1,0.00197005516154452,"GO:0010557","GO:BP","positive regulation of macromolecule biosynthetic process",20972,4024,"GO:0009059;GO:0009891;GO:0010556;GO:0010604","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00274007729967275,42,5,2,0.4,0.0476190476190476,"GO:0014075","GO:BP","response to amine",20972,4423,"GO:1901698","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00322637408773475,1237,5,4,0.8,0.00323362974939369,"GO:0045944","GO:BP","positive regulation of transcription by RNA polymerase II",20972,10958,"GO:0006357;GO:0006366;GO:0045893","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00358191662108311,3152,5,5,1,0.00158629441624365,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",20972,4065,"GO:0009893;GO:0043170;GO:0060255","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00455107377851942,3410,5,5,1,0.00146627565982405,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00464036593041163,77,5,2,0.4,0.025974025974026,"GO:0071277","GO:BP","cellular response to calcium ion",20972,15398,"GO:0051592;GO:0071248","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00532246531384849,1672,5,4,0.8,0.00239234449760766,"GO:0045893","GO:BP","positive regulation of DNA-templated transcription",20972,10916,"GO:0006351;GO:0006355;GO:1902680","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00532246531384849,1674,5,4,0.8,0.002389486260454,"GO:1902680","GO:BP","positive regulation of RNA biosynthetic process",20972,20895,"GO:0010557;GO:0032774;GO:0051254;GO:2001141","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00595197990944252,1804,5,4,0.8,0.00221729490022173,"GO:0051254","GO:BP","positive regulation of RNA metabolic process",20972,12703,"GO:0010604;GO:0016070;GO:0051252","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00595197990944252,1,5,1,0.2,1,"GO:1900036","GO:BP","positive regulation of cellular response to heat",20972,19118,"GO:0034605;GO:0048522;GO:0048584;GO:1900034","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00826736210100044,131,5,2,0.4,0.0152671755725191,"GO:0051592","GO:BP","response to calcium ion",20972,12886,"GO:0010038","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.010735507307474,155,5,2,0.4,0.0129032258064516,"GO:0030534","GO:BP","adult behavior",20972,6393,"GO:0007610","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0110595472097763,3,5,1,0.2,0.333333333333333,"GO:0032058","GO:BP","positive regulation of translational initiation in response to stress",20972,6868,"GO:0006950;GO:0045948","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0110595472097763,904,5,3,0.6,0.00331858407079646,"GO:0009725","GO:BP","response to hormone",20972,3463,"GO:0009719;GO:0042221","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0110595472097763,3,5,1,0.2,0.333333333333333,"GO:0021986","GO:BP","habenula development",20972,6110,"GO:0021538;GO:0048856","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0110595472097763,3,5,1,0.2,0.333333333333333,"GO:0021538","GO:BP","epithalamus development",20972,5714,"GO:0021536;GO:0048856","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0110595472097763,173,5,2,0.4,0.0115606936416185,"GO:0071248","GO:BP","cellular response to metal ion",20972,15375,"GO:0010038;GO:0070887","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0115269971628885,933,5,3,0.6,0.00321543408360129,"GO:0000122","GO:BP","negative regulation of transcription by RNA polymerase II",20972,47,"GO:0006357;GO:0006366;GO:0045892","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0127037934070539,5215,5,5,1,0.000958772770853308,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
