"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0233434573213802,345,20,4,0.2,0.0115942028985507,"GO:0002237","GO:BP","response to molecule of bacterial origin",20972,748,"GO:0009617;GO:0043207","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,1962,20,8,0.4,0.00407747196738022,"GO:0008219","GO:BP","cell death",20972,3006,"GO:0009987","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,112,20,3,0.15,0.0267857142857143,"GO:0001776","GO:BP","leukocyte homeostasis",20972,428,"GO:0002376;GO:0048872","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,326,20,4,0.2,0.0122699386503067,"GO:0032496","GO:BP","response to lipopolysaccharide",20972,7112,"GO:0002237;GO:0033993;GO:1901700","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,1958,20,8,0.4,0.00408580183861083,"GO:0012501","GO:BP","programmed cell death",20972,4356,"GO:0008219","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,1467,20,7,0.35,0.00477164280845262,"GO:0043067","GO:BP","regulation of programmed cell death",20972,9850,"GO:0012501;GO:0050794","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,79,20,3,0.15,0.0379746835443038,"GO:0002260","GO:BP","lymphocyte homeostasis",20972,768,"GO:0001776","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,5753,20,14,0.7,0.00243351294976534,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,5510,20,14,0.7,0.00254083484573503,"GO:0048523","GO:BP","negative regulation of cellular process",20972,11957,"GO:0009987;GO:0048519;GO:0050794","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,338,20,4,0.2,0.0118343195266272,"GO:0048872","GO:BP","homeostasis of number of cells",20972,12262,"GO:0048871","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,880,20,6,0.3,0.00681818181818182,"GO:0033993","GO:BP","response to lipid",20972,7811,"GO:0042221","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,117,20,3,0.15,0.0256410256410256,"GO:0071887","GO:BP","leukocyte apoptotic process",20972,15820,"GO:0006915","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0233434573213802,89,20,3,0.15,0.0337078651685393,"GO:2000106","GO:BP","regulation of leukocyte apoptotic process",20972,23603,"GO:0042981;GO:0071887","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033367","GO:BP","protein localization to mast cell secretory granule",20972,7638,"GO:0033364;GO:0033366","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033370","GO:BP","maintenance of protein location in mast cell secretory granule",20972,7641,"GO:0032507;GO:0033367","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033374","GO:BP","protein localization to T cell secretory granule",20972,7645,"GO:0033366;GO:0033371","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033379","GO:BP","maintenance of protease location in T cell secretory granule",20972,7650,"GO:0033375;GO:0033377","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033377","GO:BP","maintenance of protein location in T cell secretory granule",20972,7648,"GO:0032507;GO:0033374","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033375","GO:BP","protease localization to T cell secretory granule",20972,7646,"GO:0033374","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0034148","GO:BP","negative regulation of toll-like receptor 5 signaling pathway",20972,7894,"GO:0002683;GO:0009968;GO:0034146;GO:0034147","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0034147","GO:BP","regulation of toll-like receptor 5 signaling pathway",20972,7893,"GO:0034146;GO:0062207","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033382","GO:BP","maintenance of granzyme B location in T cell secretory granule",20972,7653,"GO:0033379;GO:0033380","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0269030386379744,1,20,1,0.05,1,"GO:0033380","GO:BP","granzyme B localization to T cell secretory granule",20972,7651,"GO:0033375","CD8__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
