"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000992349392569041,11,33,3,0.0909090909090909,0.272727272727273,"GO:0002887","GO:BP","negative regulation of myeloid leukocyte mediated immunity",20972,1351,"GO:0002444;GO:0002704;GO:0002886","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00466761269109395,3984,33,18,0.545454545454545,0.00451807228915663,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00884389215420351,115,33,4,0.121212121212121,0.0347826086956522,"GO:0002444","GO:BP","myeloid leukocyte mediated immunity",20972,925,"GO:0002443","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00884389215420351,32,33,3,0.0909090909090909,0.09375,"GO:0043407","GO:BP","negative regulation of MAP kinase activity",20972,10004,"GO:0043405;GO:0043409;GO:0071901","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00884389215420351,233,33,5,0.151515151515152,0.0214592274678112,"GO:0043086","GO:BP","negative regulation of catalytic activity",20972,9855,"GO:0044092;GO:0050790","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00884389215420351,227,33,5,0.151515151515152,0.0220264317180617,"GO:0097529","GO:BP","myeloid leukocyte migration",20972,17462,"GO:0050900","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0130858193707837,645,33,7,0.212121212121212,0.0108527131782946,"GO:0032103","GO:BP","positive regulation of response to external stimulus",20972,6889,"GO:0009605;GO:0032101;GO:0048584","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0132975883473074,49,33,3,0.0909090909090909,0.0612244897959184,"GO:0002548","GO:BP","monocyte chemotaxis",20972,1023,"GO:0030595;GO:0071674;GO:0097529","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0149648574969836,53,33,3,0.0909090909090909,0.0566037735849057,"GO:0071901","GO:BP","negative regulation of protein serine/threonine kinase activity",20972,15827,"GO:0006469;GO:0071900","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0158688814854359,10,33,2,0.0606060606060606,0.2,"GO:0043307","GO:BP","eosinophil activation",20972,9945,"GO:0036230","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0158688814854359,56,33,3,0.0909090909090909,0.0535714285714286,"GO:0002886","GO:BP","regulation of myeloid leukocyte mediated immunity",20972,1350,"GO:0002444;GO:0002703","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0158688814854359,160,33,4,0.121212121212121,0.025,"GO:0043409","GO:BP","negative regulation of MAPK cascade",20972,10006,"GO:0000165;GO:0043408;GO:1902532","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0158688814854359,163,33,4,0.121212121212121,0.0245398773006135,"GO:0042326","GO:BP","negative regulation of phosphorylation",20972,9445,"GO:0016310;GO:0042325;GO:0045936","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0164198814772151,522,33,6,0.181818181818182,0.0114942528735632,"GO:0002683","GO:BP","negative regulation of immune system process",20972,1155,"GO:0002376;GO:0002682;GO:0048519","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0164198814772151,1652,33,10,0.303030303030303,0.00605326876513317,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0164198814772151,749,33,7,0.212121212121212,0.00934579439252336,"GO:0000165","GO:BP","MAPK cascade",20972,54,"GO:0141124","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0185357449324311,1092,33,8,0.242424242424242,0.00732600732600733,"GO:0032101","GO:BP","regulation of response to external stimulus",20972,6887,"GO:0009605;GO:0048583","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0185357449324311,13,33,2,0.0606060606060606,0.153846153846154,"GO:0043301","GO:BP","negative regulation of leukocyte degranulation",20972,9939,"GO:0002698;GO:0043299;GO:0043300;GO:1903306","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0185357449324311,1091,33,8,0.242424242424242,0.0073327222731439,"GO:0051241","GO:BP","negative regulation of multicellular organismal process",20972,12693,"GO:0032501;GO:0048519;GO:0051239","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0185357449324311,72,33,3,0.0909090909090909,0.0416666666666667,"GO:0002704","GO:BP","negative regulation of leukocyte mediated immunity",20972,1176,"GO:0002443;GO:0002698;GO:0002703","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0185357449324311,355,33,5,0.151515151515152,0.0140845070422535,"GO:0044092","GO:BP","negative regulation of molecular function",20972,10217,"GO:0065009","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0210024683681563,386,33,5,0.151515151515152,0.0129533678756477,"GO:0050900","GO:BP","leukocyte migration",20972,12479,"GO:0002376;GO:0016477","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0210024683681563,210,33,4,0.121212121212121,0.019047619047619,"GO:0045936","GO:BP","negative regulation of phosphate metabolic process",20972,10951,"GO:0006796;GO:0010563","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0210024683681563,16,33,2,0.0606060606060606,0.125,"GO:0007194","GO:BP","negative regulation of adenylate cyclase activity",20972,2617,"GO:0043086;GO:0045761","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0210024683681563,202,33,4,0.121212121212121,0.0198019801980198,"GO:1903828","GO:BP","negative regulation of protein localization",20972,21673,"GO:0008104;GO:0032880;GO:0048519","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0210024683681563,210,33,4,0.121212121212121,0.019047619047619,"GO:0010563","GO:BP","negative regulation of phosphorus metabolic process",20972,4030,"GO:0006793;GO:0009892;GO:0051174","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0217914483791777,96,33,3,0.0909090909090909,0.03125,"GO:0043405","GO:BP","regulation of MAP kinase activity",20972,10002,"GO:0071900","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0217914483791777,227,33,4,0.121212121212121,0.0176211453744493,"GO:0030595","GO:BP","leukocyte chemotaxis",20972,6417,"GO:0050900;GO:0060326","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0217914483791777,413,33,5,0.151515151515152,0.0121065375302663,"GO:0007159","GO:BP","leukocyte cell-cell adhesion",20972,2589,"GO:0098609","Dendritic_cells_Healthy_vs_AChR_MG","Down"
