"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,9.04380538771543e-10,9051,72,61,0.847222222222222,0.0067395867859905,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.79221566347222e-09,7425,72,55,0.763888888888889,0.00740740740740741,"GO:0051716","GO:BP","cellular response to stimulus",20972,12983,"GO:0009987;GO:0050896","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,5.47185751964125e-08,12397,72,67,0.930555555555556,0.00540453335484391,"GO:0050789","GO:BP","regulation of biological process",20972,12397,"GO:0008150;GO:0065007","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,5.47185751964125e-08,5215,72,44,0.611111111111111,0.00843720038350911,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.21177004593914e-07,6900,72,50,0.694444444444444,0.0072463768115942,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.66971503860053e-07,12804,72,67,0.930555555555556,0.00523273976882224,"GO:0065007","GO:BP","biological regulation",20972,14784,"GO:0008150","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.66971503860053e-07,11962,72,65,0.902777777777778,0.00543387393412473,"GO:0050794","GO:BP","regulation of cellular process",20972,12401,"GO:0009987;GO:0050789","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.66971503860053e-07,5753,72,45,0.625,0.00782200590996002,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.66971503860053e-07,3984,72,37,0.513888888888889,0.00928714859437751,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.66971503860053e-07,5739,72,45,0.625,0.00784108729743858,"GO:0048522","GO:BP","positive regulation of cellular process",20972,11956,"GO:0009987;GO:0048518;GO:0050794","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.74960689993164e-07,2834,72,31,0.430555555555556,0.0109386026817219,"GO:0007166","GO:BP","cell surface receptor signaling pathway",20972,2596,"GO:0007165","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.75618676932883e-07,3410,72,34,0.472222222222222,0.00997067448680352,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.47168876203242e-07,6150,72,46,0.638888888888889,0.00747967479674797,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,6.09651701234882e-07,5821,72,44,0.611111111111111,0.00755883868751074,"GO:0009889","GO:BP","regulation of biosynthetic process",20972,3588,"GO:0009058;GO:0019222","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.03339683158299e-06,3276,72,32,0.444444444444444,0.00976800976800977,"GO:0009892","GO:BP","negative regulation of metabolic process",20972,3591,"GO:0008152;GO:0019222;GO:0048523","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.38747659662823e-06,1594,72,22,0.305555555555556,0.013801756587202,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.38747659662823e-06,5510,72,42,0.583333333333333,0.00762250453720508,"GO:0048523","GO:BP","negative regulation of cellular process",20972,11957,"GO:0009987;GO:0048519;GO:0050794","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
