"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,9.79554078901037e-11,416,17,10,0.588235294117647,0.0240384615384615,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.11517993732065e-10,322,17,9,0.529411764705882,0.0279503105590062,"GO:0051607","GO:BP","defense response to virus",20972,12899,"GO:0006952;GO:0009615","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.84224881224255e-07,77,17,5,0.294117647058824,0.0649350649350649,"GO:0048525","GO:BP","negative regulation of viral process",20972,11959,"GO:0016032;GO:0048519;GO:0050792","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.15774853561624e-06,8,17,3,0.176470588235294,0.375,"GO:0070106","GO:BP","interleukin-27-mediated signaling pathway",20972,14811,"GO:0019221","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.98054910439602e-06,1613,17,10,0.588235294117647,0.00619962802231866,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.98054910439602e-06,51,17,4,0.235294117647059,0.0784313725490196,"GO:0045071","GO:BP","negative regulation of viral genome replication",20972,10510,"GO:0019079;GO:0045069;GO:0048525","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.98054910439602e-06,142,17,5,0.294117647058824,0.0352112676056338,"GO:0050792","GO:BP","regulation of viral process",20972,12399,"GO:0016032;GO:0050789","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.98054910439602e-06,1610,17,10,0.588235294117647,0.0062111801242236,"GO:0051707","GO:BP","response to other organism",20972,12978,"GO:0043207;GO:0044419","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.78524423516977e-06,1652,17,10,0.588235294117647,0.00605326876513317,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.39766890823479e-05,1777,17,10,0.588235294117647,0.0056274620146314,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.7629860709343e-05,1018,17,8,0.470588235294118,0.00785854616895874,"GO:0045087","GO:BP","innate immune response",20972,10511,"GO:0006955;GO:0140546","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.7629860709343e-05,81,17,4,0.235294117647059,0.0493827160493827,"GO:0045069","GO:BP","regulation of viral genome replication",20972,10508,"GO:0019079;GO:1903900","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
