"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.01394003803422,449,6,3,0.5,0.0066815144766147,"GO:0030099","GO:BP","myeloid cell differentiation",20972,6242,"GO:0030097;GO:0030154","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.01394003803422,971,6,4,0.666666666666667,0.00411946446961895,"GO:0030097","GO:BP","hemopoiesis",20972,6240,"GO:0048468","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.01394003803422,427,6,3,0.5,0.00702576112412178,"GO:0030098","GO:BP","lymphocyte differentiation",20972,6241,"GO:0046649;GO:1903131","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.01394003803422,73,6,2,0.333333333333333,0.0273972602739726,"GO:0046635","GO:BP","positive regulation of alpha-beta T cell activation",20972,11434,"GO:0046631;GO:0046634;GO:0050870","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.01394003803422,53,6,2,0.333333333333333,0.0377358490566038,"GO:0046638","GO:BP","positive regulation of alpha-beta T cell differentiation",20972,11437,"GO:0045582;GO:0046632;GO:0046635;GO:0046637","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.01394003803422,78,6,2,0.333333333333333,0.0256410256410256,"GO:0046637","GO:BP","regulation of alpha-beta T cell differentiation",20972,11436,"GO:0045580;GO:0046632;GO:0046634","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.01394003803422,425,6,3,0.5,0.00705882352941176,"GO:1903706","GO:BP","regulation of hemopoiesis",20972,21591,"GO:0002682;GO:0030097;GO:0060284;GO:2000026","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0140248270433166,1,6,1,0.166666666666667,1,"GO:0097275","GO:BP","intracellular ammonium homeostasis",20972,17346,"GO:0055082;GO:0097272","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0140248270433166,1,6,1,0.166666666666667,1,"GO:0002319","GO:BP","memory B cell differentiation",20972,814,"GO:0002313;GO:0090715","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0140248270433166,523,6,3,0.5,0.00573613766730402,"GO:1903131","GO:BP","mononuclear cell differentiation",20972,21205,"GO:0002521","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.018482660784651,119,6,2,0.333333333333333,0.0168067226890756,"GO:0045582","GO:BP","positive regulation of T cell differentiation",20972,10664,"GO:0030217;GO:0045580;GO:0045621;GO:0050870","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.018482660784651,120,6,2,0.333333333333333,0.0166666666666667,"GO:0046634","GO:BP","regulation of alpha-beta T cell activation",20972,11433,"GO:0046631;GO:0050863","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.018482660784651,628,6,3,0.5,0.00477707006369427,"GO:0002521","GO:BP","leukocyte differentiation",20972,1001,"GO:0030097;GO:0030154","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0187780611642495,137,6,2,0.333333333333333,0.0145985401459854,"GO:0046632","GO:BP","alpha-beta T cell differentiation",20972,11431,"GO:0030217;GO:0046631","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0187780611642495,135,6,2,0.333333333333333,0.0148148148148148,"GO:0045621","GO:BP","positive regulation of lymphocyte differentiation",20972,10703,"GO:0030098;GO:0045619;GO:0051251;GO:1902107","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0187780611642495,2,6,1,0.166666666666667,0.5,"GO:1905403","GO:BP","negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process",20972,22830,"GO:0070233;GO:1905397;GO:1905402","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,3,6,1,0.166666666666667,0.333333333333333,"GO:0043377","GO:BP","negative regulation of CD8-positive, alpha-beta T cell differentiation",20972,9984,"GO:0043374;GO:0043376;GO:0046639;GO:2001186","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,4,6,1,0.166666666666667,0.25,"GO:0048133","GO:BP","male germ-line stem cell asymmetric division",20972,11690,"GO:0007283;GO:0098728","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,852,6,3,0.5,0.00352112676056338,"GO:0045597","GO:BP","positive regulation of cell differentiation",20972,10679,"GO:0030154;GO:0045595;GO:0048522;GO:0051094","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,4,6,1,0.166666666666667,0.25,"GO:0098728","GO:BP","germline stem cell asymmetric division",20972,17619,"GO:0042078;GO:0098722","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,4,6,1,0.166666666666667,0.25,"GO:0098722","GO:BP","asymmetric stem cell division",20972,17614,"GO:0008356;GO:0017145","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,816,6,3,0.5,0.00367647058823529,"GO:0060284","GO:BP","regulation of cell development",20972,13512,"GO:0045595;GO:0048468","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,192,6,2,0.333333333333333,0.0104166666666667,"GO:1902107","GO:BP","positive regulation of leukocyte differentiation",20972,20534,"GO:0002521;GO:1902105;GO:1903708","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,4,6,1,0.166666666666667,0.25,"GO:1990743","GO:BP","protein sialylation",20972,23421,"GO:0036211;GO:0097503","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,192,6,2,0.333333333333333,0.0104166666666667,"GO:1903708","GO:BP","positive regulation of hemopoiesis",20972,21593,"GO:0002684;GO:0010720;GO:0030097;GO:0051240;GO:1903706","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,3,6,1,0.166666666666667,0.333333333333333,"GO:1905402","GO:BP","regulation of activated CD8-positive, alpha-beta T cell apoptotic process",20972,22829,"GO:0070232;GO:1905397","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,3,6,1,0.166666666666667,0.333333333333333,"GO:1905397","GO:BP","activated CD8-positive, alpha-beta T cell apoptotic process",20972,22824,"GO:0070231","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,188,6,2,0.333333333333333,0.0106382978723404,"GO:0045580","GO:BP","regulation of T cell differentiation",20972,10662,"GO:0030217;GO:0045619;GO:0050863","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0195738897049132,4,6,1,0.166666666666667,0.25,"GO:0051138","GO:BP","positive regulation of NK T cell differentiation",20972,12637,"GO:0001865;GO:0046638;GO:0051136","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
