"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000277303313842047,5647,13,12,0.923076923076923,0.00212502213564725,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",20972,4023,"GO:0009059;GO:0009889;GO:0060255","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000277303313842047,1639,13,8,0.615384615384615,0.0048810250152532,"GO:0042127","GO:BP","regulation of cell population proliferation",20972,9340,"GO:0008283;GO:0050794","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000277303313842047,5549,13,12,0.923076923076923,0.00216255181113714,"GO:0010468","GO:BP","regulation of gene expression",20972,3977,"GO:0010467;GO:0010556","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000277303313842047,5215,13,12,0.923076923076923,0.00230105465004794,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000316158987027527,5821,13,12,0.923076923076923,0.0020615014602302,"GO:0009889","GO:BP","regulation of biosynthetic process",20972,3588,"GO:0009058;GO:0019222","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000522172802706477,1961,13,8,0.615384615384615,0.00407955124936257,"GO:0008283","GO:BP","cell population proliferation",20972,3010,"GO:0009987","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000522172802706477,6392,13,12,0.923076923076923,0.00187734668335419,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",20972,13487,"GO:0019222;GO:0043170","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000522172802706477,2733,13,9,0.692307692307692,0.00329308452250274,"GO:0010558","GO:BP","negative regulation of macromolecule biosynthetic process",20972,4025,"GO:0009059;GO:0009890;GO:0010556;GO:0010605","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000522172802706477,2802,13,9,0.692307692307692,0.00321199143468951,"GO:0009890","GO:BP","negative regulation of biosynthetic process",20972,3589,"GO:0009058;GO:0009889;GO:0009892","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000607631535736415,6535,13,12,0.923076923076923,0.0018362662586075,"GO:0032502","GO:BP","developmental process",20972,7117,"GO:0008150","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000656838812667066,3954,13,10,0.769230769230769,0.00252908447142135,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",20972,5274,"GO:0006139;GO:0080090","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000656838812667066,933,13,6,0.461538461538462,0.00643086816720257,"GO:0000122","GO:BP","negative regulation of transcription by RNA polymerase II",20972,47,"GO:0006357;GO:0006366;GO:0045892","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000699017073942618,1510,13,7,0.538461538461538,0.00463576158940397,"GO:0045934","GO:BP","negative regulation of nucleobase-containing compound metabolic process",20972,10950,"GO:0006139;GO:0009892;GO:0019219","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00072036368905377,3080,13,9,0.692307692307692,0.00292207792207792,"GO:0010605","GO:BP","negative regulation of macromolecule metabolic process",20972,4066,"GO:0009892;GO:0043170;GO:0060255","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000760529856396417,6900,13,12,0.923076923076923,0.00173913043478261,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0010572478693631,3276,13,9,0.692307692307692,0.00274725274725275,"GO:0009892","GO:BP","negative regulation of metabolic process",20972,3591,"GO:0008152;GO:0019222;GO:0048523","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00119634980848708,4443,13,10,0.769230769230769,0.00225073148773351,"GO:0030154","GO:BP","cell differentiation",20972,6252,"GO:0048869","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00119634980848708,4444,13,10,0.769230769230769,0.00225022502250225,"GO:0048869","GO:BP","cellular developmental process",20972,12259,"GO:0009987;GO:0032502","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00147567492070953,107,13,3,0.230769230769231,0.0280373831775701,"GO:0048008","GO:BP","platelet-derived growth factor receptor signaling pathway",20972,11620,"GO:0007169","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00159959603368594,5948,13,11,0.846153846153846,0.00184936112979153,"GO:0048856","GO:BP","anatomical structure development",20972,12247,"GO:0032502","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00191075424681769,2688,13,8,0.615384615384615,0.00297619047619048,"GO:0006357","GO:BP","regulation of transcription by RNA polymerase II",20972,2026,"GO:0006355;GO:0006366","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00210633086157888,1284,13,6,0.461538461538462,0.00467289719626168,"GO:1902679","GO:BP","negative regulation of RNA biosynthetic process",20972,20894,"GO:0010558;GO:0032774;GO:0051253;GO:2001141","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00210633086157888,1275,13,6,0.461538461538462,0.00470588235294118,"GO:0045892","GO:BP","negative regulation of DNA-templated transcription",20972,10915,"GO:0006351;GO:0006355;GO:1902679","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00242231875128214,2827,13,8,0.615384615384615,0.00282985496993279,"GO:0006366","GO:BP","transcription by RNA polymerase II",20972,2033,"GO:0006351","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00301181039474353,1389,13,6,0.461538461538462,0.00431965442764579,"GO:0051253","GO:BP","negative regulation of RNA metabolic process",20972,12702,"GO:0010605;GO:0016070;GO:0045934;GO:0051252","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00494347570482113,3152,13,8,0.615384615384615,0.00253807106598985,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",20972,4065,"GO:0009893;GO:0043170;GO:0060255","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00519822573724269,184,13,3,0.230769230769231,0.016304347826087,"GO:0009267","GO:BP","cellular response to starvation",20972,3276,"GO:0031669;GO:0033554;GO:0042594","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0052138595321917,33,13,2,0.153846153846154,0.0606060606060606,"GO:0060325","GO:BP","face morphogenesis",20972,13547,"GO:0009653;GO:0060323;GO:0060324","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00670827066037372,3410,13,8,0.615384615384615,0.00234604105571848,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00670827066037372,217,13,3,0.230769230769231,0.0138248847926267,"GO:0042594","GO:BP","response to starvation",20972,9600,"GO:0006950;GO:0031667","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
