"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000177170311702017,6,4,2,0.5,0.333333333333333,"GO:2001199","GO:BP","negative regulation of dendritic cell differentiation",20972,24451,"GO:0097028;GO:1902106;GO:2001198","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000389625984476942,12,4,2,0.5,0.166666666666667,"GO:2001198","GO:BP","regulation of dendritic cell differentiation",20972,24450,"GO:0097028;GO:1902105","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00352468687847636,425,4,3,0.75,0.00705882352941176,"GO:1903706","GO:BP","regulation of hemopoiesis",20972,21591,"GO:0002682;GO:0030097;GO:0060284;GO:2000026","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00352468687847636,46,4,2,0.5,0.0434782608695652,"GO:0097028","GO:BP","dendritic cell differentiation",20972,17234,"GO:1903131","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00977896702555832,111,4,2,0.5,0.018018018018018,"GO:1902106","GO:BP","negative regulation of leukocyte differentiation",20972,20533,"GO:0002521;GO:1902105;GO:1903707","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00977896702555832,116,4,2,0.5,0.0172413793103448,"GO:0010821","GO:BP","regulation of mitochondrion organization",20972,4227,"GO:0007005;GO:0033043","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00977896702555832,116,4,2,0.5,0.0172413793103448,"GO:1903707","GO:BP","negative regulation of hemopoiesis",20972,21592,"GO:0002683;GO:0010721;GO:0030097;GO:0051241;GO:1903706","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00977896702555832,103,4,2,0.5,0.0194174757281553,"GO:0008637","GO:BP","apoptotic mitochondrial changes",20972,3080,"GO:0006915;GO:0007005","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0109674127085026,816,4,3,0.75,0.00367647058823529,"GO:0060284","GO:BP","regulation of cell development",20972,13512,"GO:0045595;GO:0048468","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0137886300156443,2913,4,4,1,0.00137315482320632,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0137886300156443,971,4,3,0.75,0.00308959835221421,"GO:0030097","GO:BP","hemopoiesis",20972,6240,"GO:0048468","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0137886300156443,160,4,2,0.5,0.0125,"GO:2001236","GO:BP","regulation of extrinsic apoptotic signaling pathway",20972,24477,"GO:0097191;GO:2001233","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0242036723586378,233,4,2,0.5,0.00858369098712446,"GO:0097191","GO:BP","extrinsic apoptotic signaling pathway",20972,17314,"GO:0007166;GO:0097190","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0258008372144828,5,4,1,0.25,0.2,"GO:0070370","GO:BP","cellular heat acclimation",20972,14974,"GO:0010286;GO:0034605","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0258008372144828,5,4,1,0.25,0.2,"GO:0010286","GO:BP","heat acclimation",20972,3878,"GO:0009408","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0258008372144828,260,4,2,0.5,0.00769230769230769,"GO:0010721","GO:BP","negative regulation of cell development",20972,4153,"GO:0045596;GO:0048468;GO:0060284","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0275189244697633,1392,4,3,0.75,0.0021551724137931,"GO:2000026","GO:BP","regulation of multicellular organismal development",20972,23538,"GO:0007275;GO:0050793;GO:0051239","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0275189244697633,6,4,1,0.25,0.166666666666667,"GO:0070434","GO:BP","positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway",20972,15007,"GO:0070426;GO:0070431;GO:0070432","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0300163502479257,7,4,1,0.25,0.142857142857143,"GO:0070426","GO:BP","positive regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",20972,14999,"GO:0035872;GO:0062208;GO:0070424;GO:1902533","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0300163502479257,329,4,2,0.5,0.0060790273556231,"GO:1902105","GO:BP","regulation of leukocyte differentiation",20972,20532,"GO:0002521;GO:1903706","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0300163502479257,1549,4,3,0.75,0.00193673337637185,"GO:0045595","GO:BP","regulation of cell differentiation",20972,10677,"GO:0030154;GO:0050793;GO:0050794","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0300163502479257,8,4,1,0.25,0.125,"GO:0090063","GO:BP","positive regulation of microtubule nucleation",20972,16798,"GO:0007020;GO:0010968;GO:0031116","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0311289901240626,1594,4,3,0.75,0.00188205771643664,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0329873105910505,11,4,1,0.25,0.0909090909090909,"GO:0090084","GO:BP","negative regulation of inclusion body assembly",20972,16812,"GO:0051129;GO:0070841;GO:0090083","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0329873105910505,11,4,1,0.25,0.0909090909090909,"GO:0036462","GO:BP","TRAIL-activated apoptotic signaling pathway",20972,8988,"GO:0008625","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0329873105910505,401,4,2,0.5,0.00498753117206983,"GO:0007005","GO:BP","mitochondrion organization",20972,2484,"GO:0006996","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0329873105910505,376,4,2,0.5,0.00531914893617021,"GO:2001233","GO:BP","regulation of apoptotic signaling pathway",20972,24474,"GO:0009966;GO:0042981;GO:0097190","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0329873105910505,10,4,1,0.25,0.1,"GO:0070432","GO:BP","regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway",20972,15005,"GO:0070424;GO:0070431","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0369896818757218,13,4,1,0.25,0.0769230769230769,"GO:1903265","GO:BP","positive regulation of tumor necrosis factor-mediated signaling pathway",20972,21266,"GO:0001961;GO:0010803;GO:0033209","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.03992111574849,15,4,1,0.25,0.0666666666666667,"GO:0090083","GO:BP","regulation of inclusion body assembly",20972,16811,"GO:0044087;GO:0051128;GO:0070841","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.03992111574849,15,4,1,0.25,0.0666666666666667,"GO:0070424","GO:BP","regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",20972,14997,"GO:0035872;GO:0039531","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0412488686456507,16,4,1,0.25,0.0625,"GO:1901029","GO:BP","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",20972,19800,"GO:0010639;GO:0035795;GO:0097345;GO:1901028;GO:2001234","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,20,4,1,0.25,0.05,"GO:1902236","GO:BP","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",20972,20634,"GO:0070059;GO:1902235;GO:1903573;GO:2001243","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,522,4,2,0.5,0.00383141762452107,"GO:0002683","GO:BP","negative regulation of immune system process",20972,1155,"GO:0002376;GO:0002682;GO:0048519","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,499,4,2,0.5,0.00400801603206413,"GO:0010638","GO:BP","positive regulation of organelle organization",20972,4097,"GO:0006996;GO:0033043;GO:0051130","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,19,4,1,0.25,0.0526315789473684,"GO:0010968","GO:BP","regulation of microtubule nucleation",20972,4330,"GO:0007020;GO:0031113","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,20,4,1,0.25,0.05,"GO:0035795","GO:BP","negative regulation of mitochondrial membrane permeability",20972,8657,"GO:0046902;GO:1905709","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,523,4,2,0.5,0.00382409177820268,"GO:1903131","GO:BP","mononuclear cell differentiation",20972,21205,"GO:0002521","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0422944273621908,20,4,1,0.25,0.05,"GO:0070431","GO:BP","nucleotide-binding oligomerization domain containing 2 signaling pathway",20972,15004,"GO:0035872","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0432958224882393,21,4,1,0.25,0.0476190476190476,"GO:0090200","GO:BP","positive regulation of release of cytochrome c from mitochondria",20972,16902,"GO:0001836;GO:0010638;GO:0090199","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442480814658666,22,4,1,0.25,0.0454545454545455,"GO:1905709","GO:BP","negative regulation of membrane permeability",20972,23035,"GO:0090559","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,24,4,1,0.25,0.0416666666666667,"GO:0051131","GO:BP","chaperone-mediated protein complex assembly",20972,12630,"GO:0065003","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,628,4,2,0.5,0.00318471337579618,"GO:0002521","GO:BP","leukocyte differentiation",20972,1001,"GO:0030097;GO:0030154","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,27,4,1,0.25,0.037037037037037,"GO:0042026","GO:BP","protein refolding",20972,9298,"GO:0006457","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,612,4,2,0.5,0.00326797385620915,"GO:0097190","GO:BP","apoptotic signaling pathway",20972,17313,"GO:0006915;GO:0007165","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,26,4,1,0.25,0.0384615384615385,"GO:1901673","GO:BP","regulation of mitotic spindle assembly",20972,20223,"GO:0060236;GO:0090169;GO:0090307","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,25,4,1,0.25,0.04,"GO:1901028","GO:BP","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",20972,19799,"GO:0010821;GO:0046902;GO:0051049;GO:0097345","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465508560226139,25,4,1,0.25,0.04,"GO:0070841","GO:BP","inclusion body assembly",20972,15208,"GO:0022607","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0490140917497757,2431,4,3,0.75,0.00123406005758947,"GO:0050793","GO:BP","regulation of developmental process",20972,12400,"GO:0032502;GO:0050789","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0490140917497757,665,4,2,0.5,0.00300751879699248,"GO:0045596","GO:BP","negative regulation of cell differentiation",20972,10678,"GO:0030154;GO:0045595;GO:0048523;GO:0051093","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0490140917497757,30,4,1,0.25,0.0333333333333333,"GO:0035872","GO:BP","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",20972,8700,"GO:0002753","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0491285934321195,31,4,1,0.25,0.032258064516129,"GO:0045648","GO:BP","positive regulation of erythrocyte differentiation",20972,10730,"GO:0030218;GO:0045639;GO:0045646","Monocytes_Healthy_vs_AChR_MG","Down"
