"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,4.19905320363927e-06,880,52,15,0.288461538461538,0.0170454545454545,"GO:0033993","GO:BP","response to lipid",20972,7811,"GO:0042221","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,4.25347940908456e-05,1467,52,17,0.326923076923077,0.0115882753919564,"GO:0009719","GO:BP","response to endogenous stimulus",20972,3457,"GO:0050896","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,4.25347940908456e-05,2834,52,23,0.442307692307692,0.00811573747353564,"GO:0007166","GO:BP","cell surface receptor signaling pathway",20972,2596,"GO:0007165","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.19988834679635e-05,1632,52,17,0.326923076923077,0.0104166666666667,"GO:1901700","GO:BP","response to oxygen-containing compound",20972,20237,"GO:0042221","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.19988834679635e-05,3863,52,26,0.5,0.00673052032099405,"GO:0042221","GO:BP","response to chemical",20972,9400,"GO:0050896","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.19988834679635e-05,904,52,13,0.25,0.0143805309734513,"GO:0009725","GO:BP","response to hormone",20972,3463,"GO:0009719;GO:0042221","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000103295400017251,113,52,6,0.115384615384615,0.0530973451327434,"GO:0051384","GO:BP","response to glucocorticoid",20972,12777,"GO:0031960","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000103295400017251,5510,52,31,0.596153846153846,0.00562613430127042,"GO:0048523","GO:BP","negative regulation of cellular process",20972,11957,"GO:0009987;GO:0048519;GO:0050794","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000191624578527606,131,52,6,0.115384615384615,0.0458015267175573,"GO:0031960","GO:BP","response to corticosteroid",20972,6839,"GO:0048545","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000191624578527606,312,52,8,0.153846153846154,0.0256410256410256,"GO:0048545","GO:BP","response to steroid hormone",20972,11977,"GO:0009725;GO:0033993","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000209631876493635,5753,52,31,0.596153846153846,0.00538849296019468,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000211045360982121,1238,52,14,0.269230769230769,0.0113085621970921,"GO:0071495","GO:BP","cellular response to endogenous stimulus",20972,15590,"GO:0009719","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000299685513739672,3984,52,25,0.480769230769231,0.00627510040160643,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000729989548806465,6150,52,31,0.596153846153846,0.00504065040650407,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000729989548806465,677,52,10,0.192307692307692,0.0147710487444609,"GO:0032870","GO:BP","cellular response to hormone stimulus",20972,7355,"GO:0009725;GO:0070887;GO:0071495","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000829914781025618,6558,52,32,0.615384615384615,0.00487953644403782,"GO:0023052","GO:BP","signaling",20972,6205,"GO:0050789","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000903828997115164,3410,52,22,0.423076923076923,0.00645161290322581,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","Monocytes_Healthy_vs_SNMG_Pre","Down"
