"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,3.83814527617048e-08,416,54,13,0.240740740740741,0.03125,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.83814527617048e-08,2427,54,26,0.481481481481481,0.0107128141738772,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.3564311369427e-08,138,54,9,0.166666666666667,0.0652173913043478,"GO:0030168","GO:BP","platelet activation",20972,6260,"GO:0001775;GO:0007596","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.3564311369427e-08,3984,54,32,0.592592592592593,0.00803212851405622,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.48326609415955e-08,101,54,8,0.148148148148148,0.0792079207920792,"GO:0034109","GO:BP","homotypic cell-cell adhesion",20972,7855,"GO:0098609","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.48326609415955e-08,1121,54,18,0.333333333333333,0.016057091882248,"GO:0098542","GO:BP","defense response to other organism",20972,17559,"GO:0006952;GO:0051707","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.48326609415955e-08,1100,54,18,0.333333333333333,0.0163636363636364,"GO:0140546","GO:BP","defense response to symbiont",20972,18576,"GO:0098542","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.48326609415955e-08,1610,54,21,0.388888888888889,0.0130434782608696,"GO:0051707","GO:BP","response to other organism",20972,12978,"GO:0043207;GO:0044419","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.48326609415955e-08,1613,54,21,0.388888888888889,0.0130192188468692,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.48326609415955e-08,1777,54,22,0.407407407407407,0.0123804164321891,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,5.2256975324352e-08,1652,54,21,0.388888888888889,0.0127118644067797,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.01116725685401e-07,241,54,10,0.185185185185185,0.04149377593361,"GO:0007596","GO:BP","blood coagulation",20972,2915,"GO:0007599;GO:0042060;GO:0050817","Monocytes_Healthy_vs_SNMG_Pre","Up"
