"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00388713241917392,44,21,3,0.142857142857143,0.0681818181818182,"GO:0001774","GO:BP","microglial cell activation",20972,426,"GO:0002269;GO:0042116;GO:0061900","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00388713241917392,873,21,7,0.333333333333333,0.00801832760595647,"GO:0006954","GO:BP","inflammatory response",20972,2454,"GO:0006952","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00388713241917392,47,21,3,0.142857142857143,0.0638297872340425,"GO:0002269","GO:BP","leukocyte activation involved in inflammatory response",20972,776,"GO:0006954;GO:0045321","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00388713241917392,50,21,3,0.142857142857143,0.06,"GO:0061900","GO:BP","glial cell activation",20972,14617,"GO:0001775;GO:0150076","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00577347913687034,1883,21,9,0.428571428571429,0.00477960701009028,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00577347913687034,10,21,2,0.0952380952380952,0.2,"GO:0038196","GO:BP","type III interferon-mediated signaling pathway",20972,9138,"GO:0071358;GO:0140888","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00577347913687034,10,21,2,0.0952380952380952,0.2,"GO:0071358","GO:BP","cellular response to type III interferon",20972,15474,"GO:0034342;GO:0071345","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00592028237779296,12,21,2,0.0952380952380952,0.166666666666667,"GO:0034342","GO:BP","response to type III interferon",20972,8007,"GO:0034097;GO:0045087","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00592028237779296,6900,21,16,0.761904761904762,0.00231884057971014,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00592028237779296,77,21,3,0.142857142857143,0.038961038961039,"GO:0150076","GO:BP","neuroinflammatory response",20972,18873,"GO:0006954","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
