"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000173486108160597,1392,16,9,0.5625,0.00646551724137931,"GO:2000026","GO:BP","regulation of multicellular organismal development",20972,23538,"GO:0007275;GO:0050793;GO:0051239","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,933,16,7,0.4375,0.007502679528403,"GO:0000122","GO:BP","negative regulation of transcription by RNA polymerase II",20972,47,"GO:0006357;GO:0006366;GO:0045892","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,3080,16,11,0.6875,0.00357142857142857,"GO:0010605","GO:BP","negative regulation of macromolecule metabolic process",20972,4066,"GO:0009892;GO:0043170;GO:0060255","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,971,16,7,0.4375,0.00720906282183316,"GO:0030097","GO:BP","hemopoiesis",20972,6240,"GO:0048468","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,1275,16,8,0.5,0.00627450980392157,"GO:0045892","GO:BP","negative regulation of DNA-templated transcription",20972,10915,"GO:0006351;GO:0006355;GO:1902679","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,1284,16,8,0.5,0.00623052959501558,"GO:1902679","GO:BP","negative regulation of RNA biosynthetic process",20972,20894,"GO:0010558;GO:0032774;GO:0051253;GO:2001141","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,1389,16,8,0.5,0.00575953923686105,"GO:0051253","GO:BP","negative regulation of RNA metabolic process",20972,12702,"GO:0010605;GO:0016070;GO:0045934;GO:0051252","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,3276,16,11,0.6875,0.00335775335775336,"GO:0009892","GO:BP","negative regulation of metabolic process",20972,3591,"GO:0008152;GO:0019222;GO:0048523","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000374333599827582,5215,16,13,0.8125,0.0024928092042186,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000464845652875685,2802,16,10,0.625,0.00356887937187723,"GO:0009890","GO:BP","negative regulation of biosynthetic process",20972,3589,"GO:0009058;GO:0009889;GO:0009892","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
