"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000202265550817842,1123,21,9,0.428571428571429,0.00801424755120214,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000202265550817842,2913,21,13,0.619047619047619,0.00446275317542053,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000202265550817842,52,21,4,0.19047619047619,0.0769230769230769,"GO:0006968","GO:BP","cellular defense response",20972,2465,"GO:0006952","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000267682720688697,1594,21,10,0.476190476190476,0.00627352572145546,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000309788424722865,2118,21,11,0.523809523809524,0.00519357884796978,"GO:0006955","GO:BP","immune response",20972,2455,"GO:0002376;GO:0050896","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000331808355434917,970,21,8,0.380952380952381,0.00824742268041237,"GO:0050776","GO:BP","regulation of immune response",20972,12391,"GO:0002682;GO:0006955;GO:0048583","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000331808355434917,975,21,8,0.380952380952381,0.00820512820512821,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000331808355434917,3984,21,14,0.666666666666667,0.0035140562248996,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000715180035488605,1111,21,8,0.380952380952381,0.0072007200720072,"GO:0002684","GO:BP","positive regulation of immune system process",20972,1156,"GO:0002376;GO:0002682;GO:0048518","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000715180035488605,775,21,7,0.333333333333333,0.00903225806451613,"GO:0050778","GO:BP","positive regulation of immune response",20972,12393,"GO:0002684;GO:0006955;GO:0048584;GO:0050776","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000802446976884968,811,21,7,0.333333333333333,0.00863131935881628,"GO:0046649","GO:BP","lymphocyte activation",20972,11448,"GO:0045321","NK_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.000802446976884968,516,21,6,0.285714285714286,0.0116279069767442,"GO:0002757","GO:BP","immune response-activating signaling pathway",20972,1222,"GO:0002253;GO:0002764","NK_cells_Healthy_vs_AChR_MG","Down"
