"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,8.45896918813494e-06,2913,37,20,0.540540540540541,0.00686577411603158,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.45896918813494e-06,5739,37,27,0.72972972972973,0.00470465237846315,"GO:0048522","GO:BP","positive regulation of cellular process",20972,11956,"GO:0009987;GO:0048518;GO:0050794","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.20577312873222e-05,3410,37,21,0.567567567567568,0.006158357771261,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.20577312873222e-05,1594,37,15,0.405405405405405,0.00941028858218319,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,1.69808154806874e-05,6150,37,27,0.72972972972973,0.00439024390243902,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,3.31845346796808e-05,6900,37,28,0.756756756756757,0.00405797101449275,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,8.77677679933955e-05,3984,37,21,0.567567567567568,0.0052710843373494,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.05451604165855e-05,9051,37,31,0.837837837837838,0.00342503590763452,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.70364913589594e-05,5821,37,25,0.675675675675676,0.00429479470881292,"GO:0009889","GO:BP","regulation of biosynthetic process",20972,3588,"GO:0009058;GO:0019222","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.70364913589594e-05,2645,37,17,0.459459459459459,0.00642722117202268,"GO:0009891","GO:BP","positive regulation of biosynthetic process",20972,3590,"GO:0009058;GO:0009889;GO:0009893","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.70364913589594e-05,425,37,8,0.216216216216216,0.0188235294117647,"GO:1903706","GO:BP","regulation of hemopoiesis",20972,21591,"GO:0002682;GO:0030097;GO:0060284;GO:2000026","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000132970061391724,811,37,10,0.27027027027027,0.0123304562268804,"GO:0046649","GO:BP","lymphocyte activation",20972,11448,"GO:0045321","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000136235889344714,312,37,7,0.189189189189189,0.0224358974358974,"GO:0048545","GO:BP","response to steroid hormone",20972,11977,"GO:0009725;GO:0033993","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000143121416510129,3863,37,20,0.540540540540541,0.00517732332384157,"GO:0042221","GO:BP","response to chemical",20972,9400,"GO:0050896","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000155300376175005,3152,37,18,0.486486486486487,0.00571065989847716,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",20972,4065,"GO:0009893;GO:0043170;GO:0060255","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000155300376175005,113,37,5,0.135135135135135,0.0442477876106195,"GO:0051384","GO:BP","response to glucocorticoid",20972,12777,"GO:0031960","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000155300376175005,5647,37,24,0.648648648648649,0.00425004427129449,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",20972,4023,"GO:0009059;GO:0009889;GO:0060255","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169499358806952,2199,37,15,0.405405405405405,0.00682128240109141,"GO:0070887","GO:BP","cellular response to chemical stimulus",20972,15231,"GO:0042221;GO:0051716","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169499358806952,2538,37,16,0.432432432432432,0.00630417651694247,"GO:0010557","GO:BP","positive regulation of macromolecule biosynthetic process",20972,4024,"GO:0009059;GO:0009891;GO:0010556;GO:0010604","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169499358806952,1123,37,11,0.297297297297297,0.00979519145146928,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169499358806952,5753,37,24,0.648648648648649,0.00417173648531201,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169499358806952,506,37,8,0.216216216216216,0.0158102766798419,"GO:0051249","GO:BP","regulation of lymphocyte activation",20972,12698,"GO:0002694;GO:0046649","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169499358806952,51,37,4,0.108108108108108,0.0784313725490196,"GO:0140467","GO:BP","integrated stress response signaling",20972,18544,"GO:0033554;GO:0141124","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169938792933822,904,37,10,0.27027027027027,0.0110619469026549,"GO:0009725","GO:BP","response to hormone",20972,3463,"GO:0009719;GO:0042221","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000169938792933822,1652,37,13,0.351351351351351,0.00786924939467312,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000176355202699844,7337,37,27,0.72972972972973,0.00367997819272182,"GO:0032501","GO:BP","multicellular organismal process",20972,7116,"GO:0008150","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000195384391289744,2963,37,17,0.459459459459459,0.00573742828214647,"GO:0035556","GO:BP","intracellular signal transduction",20972,8505,"GO:0007165","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000195384391289744,131,37,5,0.135135135135135,0.0381679389312977,"GO:0031960","GO:BP","response to corticosteroid",20972,6839,"GO:0048545","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000202176947418403,6392,37,25,0.675675675675676,0.00391113892365457,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",20972,13487,"GO:0019222;GO:0043170","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000202176947418403,7425,37,27,0.72972972972973,0.00363636363636364,"GO:0051716","GO:BP","cellular response to stimulus",20972,12983,"GO:0009987;GO:0050896","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000259251960466789,971,37,10,0.27027027027027,0.0102986611740474,"GO:0030097","GO:BP","hemopoiesis",20972,6240,"GO:0048468","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000260476953903485,975,37,10,0.27027027027027,0.0102564102564103,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000270234870097167,5549,37,23,0.621621621621622,0.00414489097134619,"GO:0010468","GO:BP","regulation of gene expression",20972,3977,"GO:0010467;GO:0010556","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000271915634992697,572,37,8,0.216216216216216,0.013986013986014,"GO:0002694","GO:BP","regulation of leukocyte activation",20972,1166,"GO:0002682;GO:0045321;GO:0050865","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000271915634992697,1777,37,13,0.351351351351351,0.00731570061902082,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000272250705392275,993,37,10,0.27027027027027,0.0100704934541793,"GO:1901652","GO:BP","response to peptide",20972,20209,"GO:0042221","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000273559007756235,6063,37,24,0.648648648648649,0.00395843641761504,"GO:0007165","GO:BP","signal transduction",20972,2595,"GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00027650336777556,581,37,8,0.216216216216216,0.0137693631669535,"GO:0042110","GO:BP","T cell activation",20972,9331,"GO:0046649","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000284146071270121,2427,37,15,0.405405405405405,0.00618046971569839,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000336984372598282,5215,37,22,0.594594594594595,0.00421860019175455,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","NK_cells_Healthy_vs_SNMG_Pre","Down"
