"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000361058393800145,51,8,3,0.375,0.0588235294117647,"GO:0045071","GO:BP","negative regulation of viral genome replication",20972,10510,"GO:0019079;GO:0045069;GO:0048525","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000490442368455098,81,8,3,0.375,0.037037037037037,"GO:0045069","GO:BP","regulation of viral genome replication",20972,10508,"GO:0019079;GO:1903900","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000490442368455098,77,8,3,0.375,0.038961038961039,"GO:0048525","GO:BP","negative regulation of viral process",20972,11959,"GO:0016032;GO:0048519;GO:0050792","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000868705240332902,115,8,3,0.375,0.0260869565217391,"GO:0019079","GO:BP","viral genome replication",20972,5248,"GO:0016032;GO:0019058","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000868705240332902,116,8,3,0.375,0.0258620689655172,"GO:1903900","GO:BP","regulation of viral life cycle",20972,21725,"GO:0019058;GO:0050792","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00132812767434061,142,8,3,0.375,0.0211267605633803,"GO:0050792","GO:BP","regulation of viral process",20972,12399,"GO:0016032;GO:0050789","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00182691032420212,21,8,2,0.25,0.0952380952380952,"GO:0035455","GO:BP","response to interferon-alpha",20972,8461,"GO:0034097","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00835206760926899,290,8,3,0.375,0.0103448275862069,"GO:0019058","GO:BP","viral life cycle",20972,5234,"GO:0016032","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0101148328014586,322,8,3,0.375,0.0093167701863354,"GO:0051607","GO:BP","defense response to virus",20972,12899,"GO:0006952;GO:0009615","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0120714276683047,979,8,4,0.5,0.00408580183861083,"GO:0034097","GO:BP","response to cytokine",20972,7846,"GO:1901652","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0120714276683047,377,8,3,0.375,0.00795755968169761,"GO:0016032","GO:BP","viral process",20972,4829,"GO:0008150","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0120714276683047,993,8,4,0.5,0.0040281973816717,"GO:1901652","GO:BP","response to peptide",20972,20209,"GO:0042221","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0128658756649596,75,8,2,0.25,0.0266666666666667,"GO:0032729","GO:BP","positive regulation of type II interferon production",20972,7278,"GO:0001819;GO:0032609;GO:0032649","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0129314133775003,85,8,2,0.25,0.0235294117647059,"GO:0060337","GO:BP","type I interferon-mediated signaling pathway",20972,13558,"GO:0071357;GO:0140888","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0129314133775003,86,8,2,0.25,0.0232558139534884,"GO:0071357","GO:BP","cellular response to type I interferon",20972,15473,"GO:0034340;GO:0071345","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0129314133775003,2118,8,5,0.625,0.00236071765816808,"GO:0006955","GO:BP","immune response",20972,2455,"GO:0002376;GO:0050896","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0129314133775003,416,8,3,0.375,0.00721153846153846,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0139712946461939,92,8,2,0.25,0.0217391304347826,"GO:0034340","GO:BP","response to type I interferon",20972,8005,"GO:0034097;GO:0045087","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0166277993675618,492,8,3,0.375,0.00609756097560976,"GO:0001819","GO:BP","positive regulation of cytokine production",20972,463,"GO:0001816;GO:0001817;GO:0010628;GO:0051240","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0182721492881762,111,8,2,0.25,0.018018018018018,"GO:0140888","GO:BP","interferon-mediated signaling pathway",20972,18678,"GO:0019221","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0190742110402794,118,8,2,0.25,0.0169491525423729,"GO:0032649","GO:BP","regulation of type II interferon production",20972,7200,"GO:0001817;GO:0032609","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0190742110402794,119,8,2,0.25,0.0168067226890756,"GO:0032609","GO:BP","type II interferon production",20972,7161,"GO:0001816","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0204395822752824,564,8,3,0.375,0.00531914893617021,"GO:0019221","GO:BP","cytokine-mediated signaling pathway",20972,5275,"GO:0007166;GO:0071345","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0345067796975728,686,8,3,0.375,0.0043731778425656,"GO:0008285","GO:BP","negative regulation of cell population proliferation",20972,3012,"GO:0008283;GO:0042127;GO:0048523","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0357972331197235,2913,8,5,0.625,0.0017164435290079,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0357972331197235,1639,8,4,0.5,0.0024405125076266,"GO:0042127","GO:BP","regulation of cell population proliferation",20972,9340,"GO:0008283;GO:0050794","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0357972331197235,5,8,1,0.125,0.2,"GO:0032461","GO:BP","positive regulation of protein oligomerization",20972,7081,"GO:0031334;GO:0032459;GO:0051259","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0392032587371847,6,8,1,0.125,0.166666666666667,"GO:0032020","GO:BP","ISG15-protein conjugation",20972,6855,"GO:0032446","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0407957363101659,786,8,3,0.375,0.00381679389312977,"GO:0001816","GO:BP","cytokine production",20972,460,"GO:0010467;GO:0032501","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0407957363101659,780,8,3,0.375,0.00384615384615385,"GO:0001817","GO:BP","regulation of cytokine production",20972,461,"GO:0001816;GO:0010468;GO:0051239","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,9,8,1,0.125,0.111111111111111,"GO:0071352","GO:BP","cellular response to interleukin-2",20972,15468,"GO:0070669;GO:0071345","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,9,8,1,0.125,0.111111111111111,"GO:0032459","GO:BP","regulation of protein oligomerization",20972,7079,"GO:0043254;GO:0051259","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,8,8,1,0.125,0.125,"GO:0030311","GO:BP","poly-N-acetyllactosamine biosynthetic process",20972,6326,"GO:0006023;GO:0030309","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,9,8,1,0.125,0.111111111111111,"GO:0038110","GO:BP","interleukin-2-mediated signaling pathway",20972,9077,"GO:0019221;GO:0071352","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,9,8,1,0.125,0.111111111111111,"GO:0048102","GO:BP","autophagic cell death",20972,11683,"GO:0012501","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,856,8,3,0.375,0.00350467289719626,"GO:0043066","GO:BP","negative regulation of apoptotic process",20972,9849,"GO:0006915;GO:0042981;GO:0043069","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0444787220453407,9,8,1,0.125,0.111111111111111,"GO:0030309","GO:BP","poly-N-acetyllactosamine metabolic process",20972,6324,"GO:0006022","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.044591818519997,10,8,1,0.125,0.1,"GO:0035723","GO:BP","interleukin-15-mediated signaling pathway",20972,8603,"GO:0019221;GO:0071350","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.044591818519997,891,8,3,0.375,0.00336700336700337,"GO:0071345","GO:BP","cellular response to cytokine stimulus",20972,15461,"GO:0034097","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.044591818519997,10,8,1,0.125,0.1,"GO:0071350","GO:BP","cellular response to interleukin-15",20972,15466,"GO:0070672;GO:0071345","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.044591818519997,887,8,3,0.375,0.00338218714768884,"GO:0043069","GO:BP","negative regulation of programmed cell death",20972,9852,"GO:0012501;GO:0043067;GO:0048523","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0447853469852521,1961,8,4,0.5,0.00203977562468129,"GO:0008283","GO:BP","cell population proliferation",20972,3010,"GO:0009987","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0456989873190369,11,8,1,0.125,0.0909090909090909,"GO:0070669","GO:BP","response to interleukin-2",20972,15127,"GO:0034097","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0456989873190369,11,8,1,0.125,0.0909090909090909,"GO:0070672","GO:BP","response to interleukin-15",20972,15130,"GO:0034097","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0483860058616846,12,8,1,0.125,0.0833333333333333,"GO:0033689","GO:BP","negative regulation of osteoblast proliferation",20972,7794,"GO:0008285;GO:0033687;GO:0033688","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0483860058616846,970,8,3,0.375,0.00309278350515464,"GO:0050776","GO:BP","regulation of immune response",20972,12391,"GO:0002682;GO:0006955;GO:0048583","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0494907165519465,13,8,1,0.125,0.0769230769230769,"GO:0002503","GO:BP","peptide antigen assembly with MHC class II protein complex",20972,984,"GO:0002399;GO:0002495;GO:0002501","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0494907165519465,13,8,1,0.125,0.0769230769230769,"GO:0002399","GO:BP","MHC class II protein complex assembly",20972,882,"GO:0002396","NK_cells_Healthy_vs_SNMG_Pre","Up"
