"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0170701094743869,1883,5,4,0.8,0.00212426978226235,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0170701094743869,3984,5,5,1,0.00125502008032129,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0170701094743869,1,5,1,0.2,1,"GO:0060234","GO:BP","neuroblast delamination",20972,13473,"GO:0060232","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0170701094743869,124,5,2,0.4,0.0161290322580645,"GO:0034341","GO:BP","response to type II interferon",20972,8006,"GO:0034097;GO:0045087","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0170701094743869,111,5,2,0.4,0.018018018018018,"GO:0140888","GO:BP","interferon-mediated signaling pathway",20972,18678,"GO:0019221","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0252767834568791,873,5,3,0.6,0.00343642611683849,"GO:0006954","GO:BP","inflammatory response",20972,2454,"GO:0006952","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0252767834568791,3,5,1,0.2,0.333333333333333,"GO:0021849","GO:BP","neuroblast division in subventricular zone",20972,6001,"GO:0021846;GO:0055057","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0252767834568791,2427,5,4,0.8,0.00164812525751957,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0431127271942359,12,5,1,0.2,0.0833333333333333,"GO:0034342","GO:BP","response to type III interferon",20972,8007,"GO:0034097;GO:0045087","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0431127271942359,416,5,2,0.4,0.00480769230769231,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0431127271942359,16,5,1,0.2,0.0625,"GO:0030242","GO:BP","autophagy of peroxisome",20972,6300,"GO:0006914","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0431127271942359,322,5,2,0.4,0.0062111801242236,"GO:0051607","GO:BP","defense response to virus",20972,12899,"GO:0006952;GO:0009615","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0431127271942359,16,5,1,0.2,0.0625,"GO:0000425","GO:BP","pexophagy",20972,128,"GO:0016236;GO:0030242","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0431127271942359,15,5,1,0.2,0.0666666666666667,"GO:0055057","GO:BP","neuroblast division",20972,13246,"GO:0007405;GO:0051301","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
