"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.39275260448798e-06,1237,16,10,0.625,0.00808407437348424,"GO:0045944","GO:BP","positive regulation of transcription by RNA polymerase II",20972,10958,"GO:0006357;GO:0006366;GO:0045893","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.16282378193516e-05,51,16,4,0.25,0.0784313725490196,"GO:0140467","GO:BP","integrated stress response signaling",20972,18544,"GO:0033554;GO:0141124","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.16282378193516e-05,1674,16,10,0.625,0.00597371565113501,"GO:1902680","GO:BP","positive regulation of RNA biosynthetic process",20972,20895,"GO:0010557;GO:0032774;GO:0051254;GO:2001141","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.16282378193516e-05,1672,16,10,0.625,0.00598086124401914,"GO:0045893","GO:BP","positive regulation of DNA-templated transcription",20972,10916,"GO:0006351;GO:0006355;GO:1902680","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.79979571788578e-05,1804,16,10,0.625,0.00554323725055432,"GO:0051254","GO:BP","positive regulation of RNA metabolic process",20972,12703,"GO:0010604;GO:0016070;GO:0051252","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,2.73327887034163e-05,2538,16,11,0.6875,0.00433412135539795,"GO:0010557","GO:BP","positive regulation of macromolecule biosynthetic process",20972,4024,"GO:0009059;GO:0009891;GO:0010556;GO:0010604","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,2.97623767942832e-05,2645,16,11,0.6875,0.00415879017013232,"GO:0009891","GO:BP","positive regulation of biosynthetic process",20972,3590,"GO:0009058;GO:0009889;GO:0009893","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,2.97623767942832e-05,3410,16,12,0.75,0.00351906158357771,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,2.97623767942832e-05,2688,16,11,0.6875,0.0040922619047619,"GO:0006357","GO:BP","regulation of transcription by RNA polymerase II",20972,2026,"GO:0006355;GO:0006366","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,2.97623767942832e-05,77,16,4,0.25,0.051948051948052,"GO:0071277","GO:BP","cellular response to calcium ion",20972,15398,"GO:0051592;GO:0071248","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
