"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00150131030242774,4,11,2,0.181818181818182,0.5,"GO:0090271","GO:BP","positive regulation of fibroblast growth factor production",20972,16955,"GO:0001819;GO:0090269;GO:0090270","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00175002565828783,7,11,2,0.181818181818182,0.285714285714286,"GO:0090270","GO:BP","regulation of fibroblast growth factor production",20972,16954,"GO:0001817;GO:0090269","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00175002565828783,7,11,2,0.181818181818182,0.285714285714286,"GO:0090269","GO:BP","fibroblast growth factor production",20972,16953,"GO:0001816","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00182604623619055,1962,11,7,0.636363636363636,0.0035677879714577,"GO:0008219","GO:BP","cell death",20972,3006,"GO:0009987","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00182604623619055,10,11,2,0.181818181818182,0.2,"GO:0010269","GO:BP","response to selenium ion",20972,3871,"GO:0042221","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00182604623619055,1958,11,7,0.636363636363636,0.00357507660878447,"GO:0012501","GO:BP","programmed cell death",20972,4356,"GO:0008219","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00182604623619055,300,11,4,0.363636363636364,0.0133333333333333,"GO:0062197","GO:BP","cellular response to chemical stress",20972,14755,"GO:0033554;GO:0070887","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00182604623619055,1898,11,7,0.636363636363636,0.00368809272918862,"GO:0006915","GO:BP","apoptotic process",20972,2433,"GO:0012501","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00330673455635855,1426,11,6,0.545454545454545,0.00420757363253857,"GO:0042981","GO:BP","regulation of apoptotic process",20972,9804,"GO:0006915;GO:0043067","Neutrophils_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00330673455635855,133,11,3,0.272727272727273,0.0225563909774436,"GO:0045598","GO:BP","regulation of fat cell differentiation",20972,10680,"GO:0045444;GO:0045595","Neutrophils_Healthy_vs_AChR_MG","Down"
