"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,1.32686857799632e-16,416,26,15,0.576923076923077,0.0360576923076923,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,1.32686857799632e-16,322,26,14,0.538461538461538,0.0434782608695652,"GO:0051607","GO:BP","defense response to virus",20972,12899,"GO:0006952;GO:0009615","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,1.51295398367339e-15,51,26,9,0.346153846153846,0.176470588235294,"GO:0045071","GO:BP","negative regulation of viral genome replication",20972,10510,"GO:0019079;GO:0045069;GO:0048525","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,2.931235552804e-15,1652,26,20,0.769230769230769,0.0121065375302663,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,3.65429938714692e-14,77,26,9,0.346153846153846,0.116883116883117,"GO:0048525","GO:BP","negative regulation of viral process",20972,11959,"GO:0016032;GO:0048519;GO:0050792","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,3.65429938714692e-14,1613,26,19,0.730769230769231,0.0117792932424055,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,3.65429938714692e-14,1610,26,19,0.730769230769231,0.0118012422360248,"GO:0051707","GO:BP","response to other organism",20972,12978,"GO:0043207;GO:0044419","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,4.75964962319077e-14,81,26,9,0.346153846153846,0.111111111111111,"GO:0045069","GO:BP","regulation of viral genome replication",20972,10508,"GO:0019079;GO:1903900","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,1.70810236713857e-13,1777,26,19,0.730769230769231,0.0106921778277997,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,9.85927023263511e-13,116,26,9,0.346153846153846,0.0775862068965517,"GO:1903900","GO:BP","regulation of viral life cycle",20972,21725,"GO:0019058;GO:0050792","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,9.85927023263511e-13,115,26,9,0.346153846153846,0.0782608695652174,"GO:0019079","GO:BP","viral genome replication",20972,5248,"GO:0016032;GO:0019058","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,1.76283531230403e-12,2427,26,20,0.769230769230769,0.00824062628759786,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,5.36189881251094e-12,142,26,9,0.346153846153846,0.0633802816901408,"GO:0050792","GO:BP","regulation of viral process",20972,12399,"GO:0016032;GO:0050789","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,6.28069401025064e-12,1018,26,15,0.576923076923077,0.0147347740667976,"GO:0045087","GO:BP","innate immune response",20972,10511,"GO:0006955;GO:0140546","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,1.81025270499894e-11,1100,26,15,0.576923076923077,0.0136363636363636,"GO:0140546","GO:BP","defense response to symbiont",20972,18576,"GO:0098542","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,2.2334584080497e-11,1121,26,15,0.576923076923077,0.0133809099018733,"GO:0098542","GO:BP","defense response to other organism",20972,17559,"GO:0006952;GO:0051707","Neutrophils_Healthy_vs_AChR_MG","Up"
