"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.11819112805583e-31,322,34,23,0.676470588235294,0.0714285714285714,"GO:0051607","GO:BP","defense response to virus",20972,12899,"GO:0006952;GO:0009615","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.84877840161302e-31,416,34,24,0.705882352941177,0.0576923076923077,"GO:0009615","GO:BP","response to virus",20972,3384,"GO:0051707","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.51068841109682e-27,1610,34,30,0.882352941176471,0.0186335403726708,"GO:0051707","GO:BP","response to other organism",20972,12978,"GO:0043207;GO:0044419","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.51068841109682e-27,1613,34,30,0.882352941176471,0.018598884066956,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.10744119573658e-27,1652,34,30,0.882352941176471,0.0181598062953995,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.03368345512989e-26,1777,34,30,0.882352941176471,0.0168823860438942,"GO:0044419","GO:BP","biological process involved in interspecies interaction between organisms",20972,10288,"GO:0008150","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.09135003186827e-24,1121,34,26,0.764705882352941,0.0231935771632471,"GO:0098542","GO:BP","defense response to other organism",20972,17559,"GO:0006952;GO:0051707","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.5786044527803e-24,1018,34,25,0.735294117647059,0.0245579567779961,"GO:0045087","GO:BP","innate immune response",20972,10511,"GO:0006955;GO:0140546","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.24650434827803e-24,81,34,14,0.411764705882353,0.172839506172839,"GO:0045069","GO:BP","regulation of viral genome replication",20972,10508,"GO:0019079;GO:1903900","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.50724961850389e-23,1100,34,25,0.735294117647059,0.0227272727272727,"GO:0140546","GO:BP","defense response to symbiont",20972,18576,"GO:0098542","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.78342595119879e-22,2427,34,30,0.882352941176471,0.0123609394313968,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.85405446156848e-22,142,34,15,0.441176470588235,0.105633802816901,"GO:0050792","GO:BP","regulation of viral process",20972,12399,"GO:0016032;GO:0050789","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.44609518017487e-22,1883,34,28,0.823529411764706,0.0148698884758364,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","Neutrophils_Healthy_vs_SNMG_Pre","Up"
