"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,3.08075797934154e-07,975,47,16,0.340425531914894,0.0164102564102564,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.71005834298342e-07,1123,47,16,0.340425531914894,0.0142475512021371,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.71005834298342e-07,811,47,14,0.297872340425532,0.0172626387176326,"GO:0046649","GO:BP","lymphocyte activation",20972,11448,"GO:0045321","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.71005834298342e-07,2923,47,24,0.51063829787234,0.00821074238795758,"GO:0051239","GO:BP","regulation of multicellular organismal process",20972,12691,"GO:0032501;GO:0050789","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.77039059232076e-06,993,47,14,0.297872340425532,0.014098690835851,"GO:1901652","GO:BP","response to peptide",20972,20209,"GO:0042221","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,1.76965899085093e-05,2913,47,22,0.468085106382979,0.00755235152763474,"GO:0002376","GO:BP","immune system process",20972,867,"GO:0008150","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,3.99787033488156e-05,979,47,13,0.276595744680851,0.0132788559754852,"GO:0034097","GO:BP","response to cytokine",20972,7846,"GO:1901652","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,4.2457801265611e-05,1594,47,16,0.340425531914894,0.0100376411543287,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.55715323077366e-05,3863,47,24,0.51063829787234,0.00621278798860989,"GO:0042221","GO:BP","response to chemical",20972,9400,"GO:0050896","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.55715323077366e-05,891,47,12,0.25531914893617,0.0134680134680135,"GO:0071345","GO:BP","cellular response to cytokine stimulus",20972,15461,"GO:0034097","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,7.55715323077366e-05,572,47,10,0.212765957446809,0.0174825174825175,"GO:0002694","GO:BP","regulation of leukocyte activation",20972,1166,"GO:0002682;GO:0045321;GO:0050865","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,9.91473110392196e-05,1111,47,13,0.276595744680851,0.0117011701170117,"GO:0002684","GO:BP","positive regulation of immune system process",20972,1156,"GO:0002376;GO:0002682;GO:0048518","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000114361882566832,6900,47,32,0.680851063829787,0.00463768115942029,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000114361882566832,786,47,11,0.234042553191489,0.0139949109414758,"GO:0001816","GO:BP","cytokine production",20972,460,"GO:0010467;GO:0032501","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
