"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00150301222485122,10,8,2,0.25,0.2,"GO:1904628","GO:BP","cellular response to phorbol 13-acetate 12-myristate",20972,22240,"GO:0071396;GO:0097306;GO:1901655;GO:1904627","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00150301222485122,2923,8,7,0.875,0.00239479986315429,"GO:0051239","GO:BP","regulation of multicellular organismal process",20972,12691,"GO:0032501;GO:0050789","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00150301222485122,10,8,2,0.25,0.2,"GO:1904627","GO:BP","response to phorbol 13-acetate 12-myristate",20972,22239,"GO:0033993;GO:0097305;GO:1901654","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00368621822349001,5739,8,8,1,0.00139397107510019,"GO:0048522","GO:BP","positive regulation of cellular process",20972,11956,"GO:0009987;GO:0048518;GO:0050794","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00368621822349001,24,8,2,0.25,0.0833333333333333,"GO:0046697","GO:BP","decidualization",20972,11487,"GO:0001893;GO:0003006;GO:0009888","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00368621822349001,176,8,3,0.375,0.0170454545454545,"GO:0007565","GO:BP","female pregnancy",20972,2903,"GO:0044703;GO:0044706","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00382788184804434,205,8,3,0.375,0.0146341463414634,"GO:0044706","GO:BP","multi-multicellular organism process",20972,10372,"GO:0032501","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00382788184804434,196,8,3,0.375,0.0153061224489796,"GO:0044703","GO:BP","multi-organism reproductive process",20972,10371,"GO:0022414","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00382788184804434,6150,8,8,1,0.00130081300813008,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00407910265730737,1426,8,5,0.625,0.00350631136044881,"GO:0042981","GO:BP","regulation of apoptotic process",20972,9804,"GO:0006915;GO:0043067","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00407910265730737,34,8,2,0.25,0.0588235294117647,"GO:0001893","GO:BP","maternal placenta development",20972,505,"GO:0001890;GO:0003006;GO:0048856;GO:0060135","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00410262929408783,1467,8,5,0.625,0.00340831629175187,"GO:0043067","GO:BP","regulation of programmed cell death",20972,9850,"GO:0012501;GO:0050794","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00781901758146421,51,8,2,0.25,0.0392156862745098,"GO:0140467","GO:BP","integrated stress response signaling",20972,18544,"GO:0033554;GO:0141124","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00814393523554012,1958,8,5,0.625,0.00255362614913177,"GO:0012501","GO:BP","programmed cell death",20972,4356,"GO:0008219","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00814393523554012,3152,8,6,0.75,0.00190355329949239,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",20972,4065,"GO:0009893;GO:0043170;GO:0060255","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00814393523554012,7337,8,8,1,0.00109036390895461,"GO:0032501","GO:BP","multicellular organismal process",20972,7116,"GO:0008150","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00814393523554012,1856,8,5,0.625,0.00269396551724138,"GO:0033554","GO:BP","cellular response to stress",20972,7729,"GO:0006950;GO:0051716","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
