"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0255209078615874,33,12,2,0.166666666666667,0.0606060606060606,"GO:0002230","GO:BP","positive regulation of defense response to virus by host",20972,741,"GO:0050691","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,48,12,2,0.166666666666667,0.0416666666666667,"GO:0031295","GO:BP","T cell costimulation",20972,6664,"GO:0031294;GO:0050870","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,24,12,2,0.166666666666667,0.0833333333333333,"GO:0008156","GO:BP","negative regulation of DNA replication",20972,2988,"GO:0006260;GO:0006275;GO:0051053","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,210,12,3,0.25,0.0142857142857143,"GO:0010563","GO:BP","negative regulation of phosphorus metabolic process",20972,4030,"GO:0006793;GO:0009892;GO:0051174","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,49,12,2,0.166666666666667,0.0408163265306122,"GO:0031294","GO:BP","lymphocyte costimulation",20972,6663,"GO:0002376;GO:0051251","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,965,12,5,0.416666666666667,0.00518134715025907,"GO:0098609","GO:BP","cell-cell adhesion",20972,17570,"GO:0007155","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,627,12,4,0.333333333333333,0.00637958532695375,"GO:0050865","GO:BP","regulation of cell activation",20972,12450,"GO:0001775;GO:0050794;GO:0051239","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,380,12,4,0.333333333333333,0.0105263157894737,"GO:0050867","GO:BP","positive regulation of cell activation",20972,12452,"GO:0001775;GO:0048522;GO:0050865;GO:0051240","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,255,12,3,0.25,0.0117647058823529,"GO:0050870","GO:BP","positive regulation of T cell activation",20972,12455,"GO:0042110;GO:0050863;GO:0051251;GO:1903039","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,45,12,2,0.166666666666667,0.0444444444444444,"GO:0050691","GO:BP","regulation of defense response to virus by host",20972,12362,"GO:0050688","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0255209078615874,210,12,3,0.25,0.0142857142857143,"GO:0045936","GO:BP","negative regulation of phosphate metabolic process",20972,10951,"GO:0006796;GO:0010563","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0259739731719187,3984,12,8,0.666666666666667,0.00200803212851406,"GO:0006950","GO:BP","response to stress",20972,2451,"GO:0050896","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0272204005921155,276,12,3,0.25,0.0108695652173913,"GO:1903039","GO:BP","positive regulation of leukocyte cell-cell adhesion",20972,21142,"GO:0007159;GO:0022409;GO:1903037","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0278585733358767,1,12,1,0.0833333333333333,1,"GO:0060305","GO:BP","regulation of cell diameter",20972,13529,"GO:0008361","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0278585733358767,1,12,1,0.0833333333333333,1,"GO:0070560","GO:BP","protein secretion by platelet",20972,15060,"GO:0002576;GO:0009306;GO:0051649;GO:0140029","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0278585733358767,1,12,1,0.0833333333333333,1,"GO:0110027","GO:BP","negative regulation of DNA strand resection involved in replication fork processing",20972,18096,"GO:0110025;GO:0110026;GO:2000104","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0280393684334384,65,12,2,0.166666666666667,0.0307692307692308,"GO:0050688","GO:BP","regulation of defense response to virus",20972,12360,"GO:0002831;GO:0031347;GO:0032101;GO:0051607","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,831,12,4,0.333333333333333,0.00481347773766546,"GO:0031347","GO:BP","regulation of defense response",20972,6682,"GO:0006952;GO:0080134","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,2,12,1,0.0833333333333333,0.5,"GO:0030845","GO:BP","phospholipase C-inhibiting G protein-coupled receptor signaling pathway",20972,6483,"GO:0007186","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,352,12,3,0.25,0.00852272727272727,"GO:0006066","GO:BP","alcohol metabolic process",20972,1832,"GO:0044281","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,1512,12,5,0.416666666666667,0.00330687830687831,"GO:0007155","GO:BP","cell adhesion",20972,2585,"GO:0009987","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,328,12,3,0.25,0.00914634146341463,"GO:0022409","GO:BP","positive regulation of cell-cell adhesion",20972,6166,"GO:0022407;GO:0045785;GO:0098609","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,2,12,1,0.0833333333333333,0.5,"GO:0010920","GO:BP","negative regulation of inositol phosphate biosynthetic process",20972,4294,"GO:0010919;GO:0032958;GO:0045912;GO:0045936;GO:1902931","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,2,12,1,0.0833333333333333,0.5,"GO:0002585","GO:BP","positive regulation of antigen processing and presentation of peptide antigen",20972,1060,"GO:0002579;GO:0002583;GO:0048002","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,2,12,1,0.0833333333333333,0.5,"GO:0002588","GO:BP","positive regulation of antigen processing and presentation of peptide antigen via MHC class II",20972,1063,"GO:0002495;GO:0002582;GO:0002585;GO:0002586","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,363,12,3,0.25,0.00826446280991736,"GO:0002696","GO:BP","positive regulation of leukocyte activation",20972,1168,"GO:0002684;GO:0002694;GO:0045321;GO:0050867","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,2,12,1,0.0833333333333333,0.5,"GO:0002582","GO:BP","positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",20972,1057,"GO:0002504;GO:0002579;GO:0002580","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,2,12,1,0.0833333333333333,0.5,"GO:0110026","GO:BP","regulation of DNA strand resection involved in replication fork processing",20972,18095,"GO:0051052;GO:0110025","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,375,12,3,0.25,0.008,"GO:1903037","GO:BP","regulation of leukocyte cell-cell adhesion",20972,21140,"GO:0007159;GO:0022407","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,331,12,3,0.25,0.00906344410876133,"GO:0051251","GO:BP","positive regulation of lymphocyte activation",20972,12700,"GO:0002696;GO:0046649;GO:0051249","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287496949193245,9051,12,11,0.916666666666667,0.00121533532206386,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0292827876310012,386,12,3,0.25,0.0077720207253886,"GO:0050863","GO:BP","regulation of T cell activation",20972,12448,"GO:0042110;GO:0051249","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334806542146136,413,12,3,0.25,0.00726392251815981,"GO:0007159","GO:BP","leukocyte cell-cell adhesion",20972,2589,"GO:0098609","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334806542146136,1639,12,5,0.416666666666667,0.00305064063453325,"GO:0051240","GO:BP","positive regulation of multicellular organismal process",20972,12692,"GO:0032501;GO:0048518;GO:0051239","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0351713215491981,1694,12,5,0.416666666666667,0.00295159386068477,"GO:0044281","GO:BP","small molecule metabolic process",20972,10246,"GO:0008152","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0351713215491981,3,12,1,0.0833333333333333,0.333333333333333,"GO:0140647","GO:BP","P450-containing electron transport chain",20972,18603,"GO:0022900","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0351713215491981,970,12,4,0.333333333333333,0.00412371134020619,"GO:0050776","GO:BP","regulation of immune response",20972,12391,"GO:0002682;GO:0006955;GO:0048583","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0351713215491981,3,12,1,0.0833333333333333,0.333333333333333,"GO:0002277","GO:BP","myeloid dendritic cell activation involved in immune response",20972,782,"GO:0001773;GO:0002275","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.035669767663516,519,12,3,0.25,0.00578034682080925,"GO:0031349","GO:BP","positive regulation of defense response",20972,6684,"GO:0006952;GO:0031347;GO:0048584","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.035669767663516,138,12,2,0.166666666666667,0.0144927536231884,"GO:0030168","GO:BP","platelet activation",20972,6260,"GO:0001775;GO:0007596","T_cells_Healthy_vs_AChR_MG","Down"
