"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00948706147578273,1652,14,7,0.5,0.00423728813559322,"GO:0009607","GO:BP","response to biotic stimulus",20972,3378,"GO:0050896","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00948706147578273,1123,14,6,0.428571428571429,0.00534283170080142,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00948706147578273,85,14,3,0.214285714285714,0.0352941176470588,"GO:0042542","GO:BP","response to hydrogen peroxide",20972,9580,"GO:0000302","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00948706147578273,1632,14,7,0.5,0.00428921568627451,"GO:1901700","GO:BP","response to oxygen-containing compound",20972,20237,"GO:0042221","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0142671379729923,1883,14,7,0.5,0.00371747211895911,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,178,14,3,0.214285714285714,0.0168539325842697,"GO:0000302","GO:BP","response to reactive oxygen species",20972,87,"GO:0006979;GO:1901700","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,1613,14,6,0.428571428571429,0.0037197768133912,"GO:0043207","GO:BP","response to external biotic stimulus",20972,9908,"GO:0009605;GO:0009607","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,904,14,5,0.357142857142857,0.00553097345132743,"GO:0009725","GO:BP","response to hormone",20972,3463,"GO:0009719;GO:0042221","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,9051,14,13,0.928571428571429,0.00143630538062093,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,975,14,5,0.357142857142857,0.00512820512820513,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,218,14,3,0.214285714285714,0.0137614678899083,"GO:0045619","GO:BP","regulation of lymphocyte differentiation",20972,10701,"GO:0030098;GO:0051249;GO:1902105","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,196,14,3,0.214285714285714,0.0153061224489796,"GO:0046631","GO:BP","alpha-beta T cell activation",20972,11430,"GO:0042110","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0182486493925665,188,14,3,0.214285714285714,0.0159574468085106,"GO:0045580","GO:BP","regulation of T cell differentiation",20972,10662,"GO:0030217;GO:0045619;GO:0050863","T_cells_Healthy_vs_SNMG_Pre","Down"
