"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0273556768135911,5549,24,16,0.666666666666667,0.00288340241484952,"GO:0010468","GO:BP","regulation of gene expression",20972,3977,"GO:0010467;GO:0010556","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0273556768135911,5647,24,16,0.666666666666667,0.00283336284752966,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",20972,4023,"GO:0009059;GO:0009889;GO:0060255","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0273556768135911,5821,24,16,0.666666666666667,0.00274866861364027,"GO:0009889","GO:BP","regulation of biosynthetic process",20972,3588,"GO:0009058;GO:0019222","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0273556768135911,5215,24,15,0.625,0.00287631831255992,"GO:0080090","GO:BP","regulation of primary metabolic process",20972,16617,"GO:0019222;GO:0044238","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,3523,24,11,0.458333333333333,0.00312233891569685,"GO:0006351","GO:BP","DNA-templated transcription",20972,2020,"GO:0010467;GO:0032774","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,2802,24,10,0.416666666666667,0.00356887937187723,"GO:0009890","GO:BP","negative regulation of biosynthetic process",20972,3589,"GO:0009058;GO:0009889;GO:0009892","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,165,24,3,0.125,0.0181818181818182,"GO:0032680","GO:BP","regulation of tumor necrosis factor production",20972,7230,"GO:0032640;GO:1903555","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,29,24,2,0.0833333333333333,0.0689655172413793,"GO:0034143","GO:BP","regulation of toll-like receptor 4 signaling pathway",20972,7889,"GO:0034142;GO:0062207","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,26,24,2,0.0833333333333333,0.0769230769230769,"GO:0033119","GO:BP","negative regulation of RNA splicing",20972,7519,"GO:0008380;GO:0010629;GO:0043484","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,873,24,6,0.25,0.00687285223367698,"GO:0006954","GO:BP","inflammatory response",20972,2454,"GO:0006952","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,3385,24,11,0.458333333333333,0.00324963072378139,"GO:0006355","GO:BP","regulation of DNA-templated transcription",20972,2024,"GO:0006351;GO:0010468;GO:2001141","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,1883,24,8,0.333333333333333,0.00424853956452469,"GO:0006952","GO:BP","defense response",20972,2452,"GO:0006950","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,2733,24,10,0.416666666666667,0.00365898280278083,"GO:0010558","GO:BP","negative regulation of macromolecule biosynthetic process",20972,4025,"GO:0009059;GO:0009890;GO:0010556;GO:0010605","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,1,24,1,0.0416666666666667,1,"GO:0034147","GO:BP","regulation of toll-like receptor 5 signaling pathway",20972,7893,"GO:0034146;GO:0062207","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,165,24,3,0.125,0.0181818181818182,"GO:0032640","GO:BP","tumor necrosis factor production",20972,7191,"GO:0071706","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,169,24,3,0.125,0.0177514792899408,"GO:0050728","GO:BP","negative regulation of inflammatory response",20972,12368,"GO:0006954;GO:0031348;GO:0032102;GO:0050727","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,3654,24,11,0.458333333333333,0.0030103995621237,"GO:0051252","GO:BP","regulation of RNA metabolic process",20972,12701,"GO:0016070;GO:0019219;GO:0060255","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,3397,24,11,0.458333333333333,0.00323815130997939,"GO:2001141","GO:BP","regulation of RNA biosynthetic process",20972,24417,"GO:0010556;GO:0032774;GO:0051252","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,1,24,1,0.0416666666666667,1,"GO:0090472","GO:BP","dibasic protein processing",20972,17096,"GO:0016485","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,1,24,1,0.0416666666666667,1,"GO:0070429","GO:BP","negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway",20972,15002,"GO:0070425;GO:0070427;GO:0070428","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,170,24,3,0.125,0.0176470588235294,"GO:0071706","GO:BP","tumor necrosis factor superfamily cytokine production",20972,15729,"GO:0001816","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,6392,24,16,0.666666666666667,0.00250312891113892,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",20972,13487,"GO:0019222;GO:0043170","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,975,24,6,0.25,0.00615384615384615,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,186,24,3,0.125,0.0161290322580645,"GO:0043484","GO:BP","regulation of RNA splicing",20972,10051,"GO:0008380;GO:0010468;GO:0080090","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,1,24,1,0.0416666666666667,1,"GO:0034148","GO:BP","negative regulation of toll-like receptor 5 signaling pathway",20972,7894,"GO:0002683;GO:0009968;GO:0034146;GO:0034147","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,6900,24,16,0.666666666666667,0.00231884057971014,"GO:0019222","GO:BP","regulation of metabolic process",20972,5276,"GO:0008152;GO:0050794","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,831,24,6,0.25,0.0072202166064982,"GO:0031347","GO:BP","regulation of defense response",20972,6682,"GO:0006952;GO:0080134","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,1092,24,6,0.25,0.00549450549450549,"GO:0032101","GO:BP","regulation of response to external stimulus",20972,6887,"GO:0009605;GO:0048583","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,3080,24,10,0.416666666666667,0.00324675324675325,"GO:0010605","GO:BP","negative regulation of macromolecule metabolic process",20972,4066,"GO:0009892;GO:0043170;GO:0060255","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,170,24,3,0.125,0.0176470588235294,"GO:1903555","GO:BP","regulation of tumor necrosis factor superfamily cytokine production",20972,21493,"GO:0001817;GO:0071706","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,45,24,2,0.0833333333333333,0.0444444444444444,"GO:0050691","GO:BP","regulation of defense response to virus by host",20972,12362,"GO:0050688","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0411743720377163,395,24,4,0.166666666666667,0.010126582278481,"GO:0050727","GO:BP","regulation of inflammatory response",20972,12367,"GO:0006954;GO:0031347;GO:0032101","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0435848871033588,1123,24,6,0.25,0.00534283170080142,"GO:0001775","GO:BP","cell activation",20972,427,"GO:0009987;GO:0032501","T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0441528521012938,5753,24,14,0.583333333333333,0.00243351294976534,"GO:0048519","GO:BP","negative regulation of biological process",20972,11953,"GO:0008150;GO:0050789","T_cells_Healthy_vs_SNMG_Pre","Up"
