"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0119481697700905,786,18,6,0.333333333333333,0.00763358778625954,"GO:0001816","GO:BP","cytokine production",20972,460,"GO:0010467;GO:0032501","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0119481697700905,780,18,6,0.333333333333333,0.00769230769230769,"GO:0001817","GO:BP","regulation of cytokine production",20972,461,"GO:0001816;GO:0010468;GO:0051239","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,492,18,4,0.222222222222222,0.00813008130081301,"GO:0001819","GO:BP","positive regulation of cytokine production",20972,463,"GO:0001816;GO:0001817;GO:0010628;GO:0051240","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,5821,18,12,0.666666666666667,0.0020615014602302,"GO:0009889","GO:BP","regulation of biosynthetic process",20972,3588,"GO:0009058;GO:0019222","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,2645,18,8,0.444444444444444,0.00302457466918715,"GO:0009891","GO:BP","positive regulation of biosynthetic process",20972,3590,"GO:0009058;GO:0009889;GO:0009893","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,3410,18,9,0.5,0.00263929618768328,"GO:0009893","GO:BP","positive regulation of metabolic process",20972,3592,"GO:0008152;GO:0019222;GO:0048522","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,5549,18,12,0.666666666666667,0.00216255181113714,"GO:0010468","GO:BP","regulation of gene expression",20972,3977,"GO:0010467;GO:0010556","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,5647,18,12,0.666666666666667,0.00212502213564725,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",20972,4023,"GO:0009059;GO:0009889;GO:0060255","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,2538,18,8,0.444444444444444,0.00315208825847124,"GO:0010557","GO:BP","positive regulation of macromolecule biosynthetic process",20972,4024,"GO:0009059;GO:0009891;GO:0010556;GO:0010604","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,3152,18,9,0.5,0.00285532994923858,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",20972,4065,"GO:0009893;GO:0043170;GO:0060255","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,31,18,2,0.111111111111111,0.0645161290322581,"GO:0014850","GO:BP","response to muscle activity",20972,4507,"GO:0014823","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,1,18,1,0.0555555555555556,1,"GO:0060234","GO:BP","neuroblast delamination",20972,13473,"GO:0060232","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,214,18,3,0.166666666666667,0.014018691588785,"GO:0071222","GO:BP","cellular response to lipopolysaccharide",20972,15350,"GO:0032496;GO:0071219;GO:0071396;GO:1901701","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,225,18,3,0.166666666666667,0.0133333333333333,"GO:0071219","GO:BP","cellular response to molecule of bacterial origin",20972,15347,"GO:0002237;GO:0071216","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0434488808913233,1,18,1,0.0555555555555556,1,"GO:1905534","GO:BP","positive regulation of L-leucine import across plasma membrane",20972,22911,"GO:0032892;GO:0034764;GO:0051957;GO:1903801;GO:1905532","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.049619120127407,6150,18,12,0.666666666666667,0.00195121951219512,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","T_cells_SNMG_Pre_vs_SNMG_Post","Down"
