"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.62172304080363e-05,10,98,4,0.0408163265306122,0.4,"GO:0042571","GO:CC","immunoglobulin complex, circulating",22155,1756,"GO:0005615;GO:0019814","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.67943117066831e-05,2142,98,27,0.275510204081633,0.0126050420168067,"GO:0043230","GO:CC","extracellular organelle",22155,1844,"GO:0005576;GO:0043226","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.67943117066831e-05,2111,98,27,0.275510204081633,0.0127901468498342,"GO:0070062","GO:CC","extracellular exosome",22155,2352,"GO:0005615;GO:1903561","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.67943117066831e-05,2142,98,27,0.275510204081633,0.0126050420168067,"GO:0065010","GO:CC","extracellular membrane-bounded organelle",22155,2332,"GO:0043227;GO:0043230","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,2.67943117066831e-05,2141,98,27,0.275510204081633,0.0126109294722092,"GO:1903561","GO:CC","extracellular vesicle",22155,3698,"GO:0031982;GO:0065010","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000272872349147428,8,98,3,0.0306122448979592,0.375,"GO:0071735","GO:CC","IgG immunoglobulin complex",22155,2684,"GO:0019814","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00038652626595972,5607,98,45,0.459183673469388,0.00802568218298555,"GO:0005829","GO:CC","cytosol",22155,367,"GO:0005737;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00072183431940079,3252,98,31,0.316326530612245,0.00953259532595326,"GO:0005615","GO:CC","extracellular space",22155,227,"GO:0005576;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00076178892897879,2,98,2,0.0204081632653061,1,"GO:1990665","GO:CC","AnxA2-p11 complex",22155,3984,"GO:0032991","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000833596202068227,129,98,6,0.0612244897959184,0.0465116279069767,"GO:0016363","GO:CC","nuclear matrix",22155,715,"GO:0031981;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00170907327303201,3,98,2,0.0204081632653061,0.666666666666667,"GO:0071752","GO:CC","secretory dimeric IgA immunoglobulin complex",22155,2701,"GO:0071750;GO:0071751","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00170907327303201,3,98,2,0.0204081632653061,0.666666666666667,"GO:0071750","GO:CC","dimeric IgA immunoglobulin complex",22155,2699,"GO:0071749","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00197714178366771,4032,98,34,0.346938775510204,0.00843253968253968,"GO:0031982","GO:CC","vesicle",22155,1199,"GO:0043227","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00292137837078028,4,98,2,0.0204081632653061,0.5,"GO:0071748","GO:CC","monomeric IgA immunoglobulin complex",22155,2697,"GO:0071746","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00399815850800269,5,98,2,0.0204081632653061,0.4,"GO:0071746","GO:CC","IgA immunoglobulin complex, circulating",22155,2695,"GO:0042571;GO:0071745","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00399815850800269,5,98,2,0.0204081632653061,0.4,"GO:0071751","GO:CC","secretory IgA immunoglobulin complex",22155,2700,"GO:0071749","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00399815850800269,5,98,2,0.0204081632653061,0.4,"GO:0071749","GO:CC","polymeric IgA immunoglobulin complex",22155,2698,"GO:0071746","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0043297646565343,12601,98,73,0.744897959183674,0.00579319101658598,"GO:0005737","GO:CC","cytoplasm",22155,304,"GO:0005622;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00484089476568164,6,98,2,0.0204081632653061,0.333333333333333,"GO:0031265","GO:CC","CD95 death-inducing signaling complex",22155,1058,"GO:0031264","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00484089476568164,6,98,2,0.0204081632653061,0.333333333333333,"GO:0071745","GO:CC","IgA immunoglobulin complex",22155,2694,"GO:0019814","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00484089476568164,6,98,2,0.0204081632653061,0.333333333333333,"GO:0097342","GO:CC","ripoptosome",22155,2899,"GO:0005829;GO:1902494","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00497180581574616,4334,98,34,0.346938775510204,0.00784494693124135,"GO:0005654","GO:CC","nucleoplasm",22155,247,"GO:0031981;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00572866723529221,138,98,5,0.0510204081632653,0.036231884057971,"GO:0072562","GO:CC","blood microparticle",22155,2745,"GO:0005615;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00706234009330691,4249,98,33,0.336734693877551,0.0077665333019534,"GO:0005576","GO:CC","extracellular region",22155,194,"GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00967504292990921,9,98,2,0.0204081632653061,0.222222222222222,"GO:0031264","GO:CC","death-inducing signaling complex",22155,1057,"GO:0098797","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0126167838830898,6791,98,45,0.459183673469388,0.00662641731703725,"GO:0070013","GO:CC","intracellular organelle lumen",22155,2333,"GO:0043229;GO:0043233","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0126167838830898,6791,98,45,0.459183673469388,0.00662641731703725,"GO:0043233","GO:CC","organelle lumen",22155,1847,"GO:0031974;GO:0043226","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0126167838830898,6791,98,45,0.459183673469388,0.00662641731703725,"GO:0031974","GO:CC","membrane-enclosed lumen",22155,1193,"GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0126167838830898,256,98,6,0.0612244897959184,0.0234375,"GO:0090575","GO:CC","RNA polymerase II transcription regulator complex",22155,2789,"GO:0005667;GO:0140513","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0134782376670591,5622,98,39,0.397959183673469,0.00693703308431163,"GO:0031981","GO:CC","nuclear lumen",22155,1198,"GO:0005634;GO:0070013","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0134782376670591,177,98,5,0.0510204081632653,0.0282485875706215,"GO:0019814","GO:CC","immunoglobulin complex",22155,792,"GO:0032991","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0199743644304669,289,98,6,0.0612244897959184,0.0207612456747405,"GO:0045121","GO:CC","membrane raft",22155,2092,"GO:0098857","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0200529332356479,291,98,6,0.0612244897959184,0.0206185567010309,"GO:0098857","GO:CC","membrane microdomain",22155,3217,"GO:0016020","B_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0270493767239724,129,98,4,0.0408163265306122,0.0310077519379845,"GO:0090734","GO:CC","site of DNA damage",22155,2819,"GO:0005694;GO:0110165","B_cells_Healthy_vs_SNMG_Pre","Down"
