"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0387004246871616,4,6,1,0.166666666666667,0.25,"GO:0033256","GO:CC","I-kappaB/NF-kappaB complex",22155,1375,"GO:0140535","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,6,6,1,0.166666666666667,0.166666666666667,"GO:0098556","GO:CC","cytoplasmic side of rough endoplasmic reticulum membrane",22155,3122,"GO:0030867;GO:0098554","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,14,6,1,0.166666666666667,0.0714285714285714,"GO:0031089","GO:CC","platelet dense granule lumen",22155,1016,"GO:0034774;GO:0042827","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,9,6,1,0.166666666666667,0.111111111111111,"GO:0018995","GO:CC","host cellular component",22155,774,"GO:0044217","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,324,6,2,0.333333333333333,0.00617283950617284,"GO:0034774","GO:CC","secretory granule lumen",22155,1536,"GO:0030141;GO:0060205","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,9,6,1,0.166666666666667,0.111111111111111,"GO:0043657","GO:CC","host cell",22155,1900,"GO:0018995","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,329,6,2,0.333333333333333,0.0060790273556231,"GO:0060205","GO:CC","cytoplasmic vesicle lumen",22155,2222,"GO:0031410;GO:0031983;GO:0070013","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,14,6,1,0.166666666666667,0.0714285714285714,"GO:0044217","GO:CC","other organism part",22155,1983,"GO:0110165","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0387004246871616,330,6,2,0.333333333333333,0.00606060606060606,"GO:0031983","GO:CC","vesicle lumen",22155,1200,"GO:0031982;GO:0043233","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0476360507300104,21,6,1,0.166666666666667,0.0476190476190476,"GO:0042827","GO:CC","platelet dense granule",22155,1806,"GO:0030141","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0476360507300104,22,6,1,0.166666666666667,0.0454545454545455,"GO:0098554","GO:CC","cytoplasmic side of endoplasmic reticulum membrane",22155,3120,"GO:0005789;GO:0098562","CD8__T_cells_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0476360507300104,23,6,1,0.166666666666667,0.0434782608695652,"GO:0005868","GO:CC","cytoplasmic dynein complex",22155,393,"GO:0030286","CD8__T_cells_Healthy_vs_AChR_MG","Up"
